Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.11 [1.08-1.14],1.156e-08,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.09 [1.06-1.12],2.224e-05,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.09 [1.06-1.11],1.986e-05,***,Triglycerides to Total-Lipids in Large LDL percentage
IDL-PL%,1.09 [1.06-1.12],1.381e-04,***,Phospholipids to Total-Lipids in IDL percentage
M-LDL-TG%,1.08 [1.06-1.11],7.339e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.08 [1.05-1.11],0.009,**,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,0.94 [0.91-0.96],0.003,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
VLDL-CE,0.93 [0.91-0.96],0.033,*,Cholesteryl Esters in VLDL
Omega-3,0.93 [0.90-0.95],0.034,*,Omega-3 Fatty Acids
XS-VLDL-C%,0.93 [0.91-0.95],5.472e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-P,0.93 [0.90-0.95],0.005,**,Concentration of Small LDL Particles
LA,0.93 [0.90-0.95],0.001,**,Linoleic Acid
M-VLDL-FC,0.93 [0.90-0.95],0.005,**,Free Cholesterol in Medium VLDL
XS-VLDL-CE%,0.93 [0.90-0.95],1.810e-04,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC,0.92 [0.90-0.95],0.003,**,Free Cholesterol in Small VLDL
M-LDL-P,0.92 [0.90-0.95],0.002,**,Concentration of Medium LDL Particles
S-LDL-PL,0.92 [0.90-0.95],9.375e-04,***,Phospholipids in Small LDL
S-HDL-PL,0.92 [0.90-0.95],0.002,**,Phospholipids in Small HDL
S-VLDL-PL%,0.92 [0.90-0.95],8.819e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.92 [0.90-0.95],2.364e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-HDL-L,0.92 [0.90-0.95],0.007,**,Total-Lipids in Medium HDL
S-LDL-CE,0.92 [0.90-0.95],2.194e-04,***,Cholesteryl Esters in Small LDL
Omega-6,0.92 [0.90-0.94],8.966e-05,***,Omega-6 Fatty Acids
S-LDL-L,0.92 [0.90-0.94],1.300e-04,***,Total-Lipids in Small LDL
L-LDL-P,0.92 [0.90-0.94],2.875e-04,***,Concentration of Large LDL Particles
LDL-P,0.92 [0.90-0.94],2.346e-04,***,Concentration of LDL Particles
HDL-PL,0.92 [0.89-0.95],0.009,**,Phospholipids in HDL
ApoB,0.92 [0.89-0.94],5.360e-05,***,Apolipoprotein B
M-LDL-C%,0.92 [0.90-0.94],3.369e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-C,0.92 [0.89-0.94],4.878e-04,***,Cholesterol in Very Small VLDL
M-LDL-CE,0.92 [0.89-0.94],2.988e-05,***,Cholesteryl Esters in Medium LDL
S-HDL-L,0.92 [0.89-0.94],5.426e-05,***,Total-Lipids in Small HDL
DHA,0.92 [0.89-0.94],3.672e-04,***,Docosahexaenoic Acid
IDL-C%,0.92 [0.89-0.94],1.165e-07,***,Cholesterol to Total-Lipids in IDL percentage
S-LDL-C,0.92 [0.89-0.94],1.198e-05,***,Cholesterol in Small LDL
M-VLDL-C,0.92 [0.89-0.94],2.540e-05,***,Cholesterol in Medium VLDL
L-LDL-C%,0.91 [0.89-0.94],2.872e-07,***,Cholesterol to Total-Lipids in Large LDL percentage
PUFA,0.91 [0.89-0.94],5.170e-06,***,Polyunsaturated Fatty Acids
M-LDL-L,0.91 [0.89-0.94],4.668e-06,***,Total-Lipids in Medium LDL
M-HDL-CE,0.91 [0.89-0.94],7.053e-04,***,Cholesteryl Esters in Medium HDL
M-LDL-PL,0.91 [0.89-0.94],5.843e-06,***,Phospholipids in Medium LDL
M-HDL-P,0.91 [0.89-0.94],0.001,**,Concentration of Medium HDL Particles
Total-L,0.91 [0.89-0.94],3.988e-07,***,Total-Lipids in Lipoprotein Particles
IDL-CE%,0.91 [0.89-0.94],8.149e-08,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Remnant-C,0.91 [0.89-0.94],1.147e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-C,0.91 [0.89-0.94],1.460e-06,***,Cholesterol in Medium LDL
M-HDL-C,0.91 [0.89-0.94],3.430e-04,***,Cholesterol in Medium HDL
XS-VLDL-CE,0.91 [0.89-0.94],4.344e-05,***,Cholesteryl Esters in Very Small VLDL
M-VLDL-CE,0.91 [0.89-0.94],4.358e-06,***,Cholesteryl Esters in Medium VLDL
S-LDL-C%,0.91 [0.89-0.93],8.945e-08,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-P,0.91 [0.89-0.94],6.229e-06,***,Concentration of IDL Particles
HDL-L,0.91 [0.88-0.94],2.252e-04,***,Total-Lipids in HDL
S-LDL-FC,0.91 [0.89-0.93],6.434e-07,***,Free Cholesterol in Small LDL
S-HDL-FC,0.91 [0.89-0.93],9.048e-07,***,Free Cholesterol in Small HDL
Phosphoglyc,0.91 [0.88-0.93],4.193e-07,***,Phosphoglycerides
Non-HDL-C,0.91 [0.88-0.93],1.847e-08,***,Total-Cholesterol Minus HDL-C
ApoA1,0.91 [0.88-0.93],2.525e-05,***,Apolipoprotein A1
LDL-CE,0.91 [0.88-0.93],2.857e-08,***,Cholesteryl Esters in LDL
LDL-L,0.91 [0.88-0.93],1.846e-08,***,Total-Lipids in LDL
M-HDL-FC,0.91 [0.88-0.94],1.439e-04,***,Free Cholesterol in Medium HDL
LDL-PL,0.91 [0.88-0.93],2.365e-08,***,Phospholipids in LDL
S-HDL-CE,0.90 [0.88-0.93],7.434e-08,***,Cholesteryl Esters in Small HDL
LDL-C,0.90 [0.88-0.93],4.398e-09,***,LDL Cholesterol
M-LDL-FC,0.90 [0.88-0.93],1.851e-08,***,Free Cholesterol in Medium LDL
S-HDL-P,0.90 [0.88-0.93],6.225e-08,***,Concentration of Small HDL Particles
IDL-PL,0.90 [0.88-0.93],1.115e-07,***,Phospholipids in IDL
S-HDL-C,0.90 [0.88-0.93],2.048e-08,***,Cholesterol in Small HDL
Total-PL,0.90 [0.88-0.93],8.033e-09,***,Total-Phospholipids in Lipoprotein Particles
L-LDL-L,0.90 [0.88-0.93],1.666e-09,***,Total-Lipids in Large LDL
Clinical LDL-C,0.90 [0.88-0.93],6.218e-10,***,Clinical LDL Cholesterol
L-LDL-CE,0.90 [0.88-0.93],2.672e-09,***,Cholesteryl Esters in Large LDL
M-HDL-FC%,0.90 [0.88-0.93],2.082e-08,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Cholines,0.90 [0.88-0.93],1.096e-08,***,Total-Cholines
L-LDL-C,0.90 [0.88-0.92],6.385e-10,***,Cholesterol in Large LDL
PC,0.90 [0.88-0.93],1.478e-08,***,Phosphatidylcholines
SM,0.90 [0.88-0.93],2.914e-08,***,Sphingomyelins
Total-FC,0.90 [0.88-0.92],5.969e-10,***,Total-Free Cholesterol
LDL-FC,0.90 [0.88-0.92],7.219e-10,***,Free Cholesterol in LDL
L-LDL-PL,0.90 [0.88-0.92],8.382e-10,***,Phospholipids in Large LDL
