Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-HDL-TG%,657,1.033 [0.997-1.071],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
ApoB,565,1.029 [0.988-1.071],1.000,,Apolipoprotein B
XL-HDL-C,653,1.026 [0.989-1.064],1.000,,Cholesterol in Very Large HDL
S-VLDL-FC%,609,1.025 [0.983-1.069],1.000,,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-CE,502,1.016 [0.973-1.061],1.000,,Cholesteryl Esters in Large LDL
HDL-P,547,0.999 [0.955-1.046],1.000,,Concentration of HDL Particles
Omega-3,420,0.980 [0.953-1.008],1.000,,Omega-3 Fatty Acids
S-HDL-PL,489,0.977 [0.929-1.028],1.000,,Phospholipids in Small HDL
XXL-VLDL-TG%,153,0.939 [0.882-0.999],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
GlycA,385,0.919 [0.861-0.980],1.000,,Glycoprotein Acetyls
