Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ile,28,1.080 [0.910-1.282],1.000,,Isoleucine
M-HDL-PL,545,1.074 [1.036-1.114],1.000,,Phospholipids in Medium HDL
S-LDL-TG%,594,1.058 [1.026-1.092],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,508,1.031 [0.994-1.069],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
IDL-TG,602,1.012 [0.989-1.036],1.000,,Triglycerides in IDL
XL-HDL-CE%,259,0.985 [0.950-1.020],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Omega-3,420,0.970 [0.948-0.993],1.000,,Omega-3 Fatty Acids
IDL-P,505,0.967 [0.938-0.997],1.000,,Concentration of IDL Particles
L-LDL-FC,474,0.954 [0.925-0.983],1.000,,Free Cholesterol in Large LDL
XS-VLDL-C%,642,0.952 [0.921-0.985],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
