Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LA%,226,1.160 [1.096-1.227],0.063,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.098 [1.065-1.131],2.659e-04,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-L,514,1.043 [0.992-1.096],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
VLDL-CE,621,1.007 [0.964-1.052],1.000,,Cholesteryl Esters in VLDL
IDL-TG,602,1.006 [0.975-1.039],1.000,,Triglycerides in IDL
Omega-3,420,0.916 [0.890-0.942],4.412e-04,***,Omega-3 Fatty Acids
Omega-3%,215,0.909 [0.882-0.937],9.869e-05,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE,698,0.899 [0.864-0.936],0.034,*,Cholesteryl Esters in Large HDL
L-HDL-FC%,532,0.895 [0.861-0.931],0.006,**,Free Cholesterol to Total-Lipids in Large HDL percentage
Unsaturation,310,0.893 [0.864-0.923],3.595e-06,***,Degree of Unsaturation
DHA,289,0.889 [0.859-0.920],5.834e-06,***,Docosahexaenoic Acid
DHA%,240,0.881 [0.844-0.919],9.841e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-HDL-CE%,562,0.878 [0.836-0.922],0.044,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
