Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.168 [1.119-1.219],3.014e-07,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,240,1.147 [1.114-1.181],7.801e-15,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
HDL-P,547,1.143 [1.095-1.194],2.860e-04,***,Concentration of HDL Particles
M-HDL-CE,607,1.142 [1.101-1.185],2.116e-07,***,Cholesteryl Esters in Medium HDL
HDL-CE,611,1.139 [1.100-1.178],2.045e-08,***,Cholesteryl Esters in HDL
M-HDL-C,607,1.135 [1.095-1.177],1.556e-06,***,Cholesterol in Medium HDL
M-HDL-P,598,1.131 [1.092-1.172],2.019e-06,***,Concentration of Medium HDL Particles
HDL-C,621,1.130 [1.093-1.169],3.446e-07,***,HDL Cholesterol
L-LDL-C%,403,1.128 [1.082-1.177],0.005,**,Cholesterol to Total-Lipids in Large LDL percentage
ApoA1,587,1.128 [1.089-1.168],3.106e-06,***,Apolipoprotein A1
M-HDL-FC,597,1.127 [1.089-1.167],2.484e-06,***,Free Cholesterol in Medium HDL
PUFA/MUFA,484,1.126 [1.091-1.163],1.191e-07,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,310,1.124 [1.099-1.148],1.685e-20,***,Degree of Unsaturation
M-HDL-L,576,1.121 [1.082-1.162],6.957e-05,***,Total-Lipids in Medium HDL
HDL-L,598,1.117 [1.081-1.155],1.109e-05,***,Total-Lipids in HDL
DHA,289,1.115 [1.087-1.144],2.193e-11,***,Docosahexaenoic Acid
M-HDL-PL,545,1.114 [1.075-1.154],8.577e-04,***,Phospholipids in Medium HDL
HDL-PL,590,1.113 [1.077-1.151],4.749e-05,***,Phospholipids in HDL
L-HDL-CE,698,1.102 [1.069-1.135],4.726e-05,***,Cholesteryl Esters in Large HDL
M-HDL-FC%,609,1.099 [1.066-1.133],3.295e-04,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
HDL-FC,599,1.099 [1.065-1.134],6.024e-04,***,Free Cholesterol in HDL
Omega-3%,215,1.096 [1.076-1.118],1.536e-15,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-C,671,1.096 [1.064-1.129],2.265e-04,***,Cholesterol in Large HDL
L-HDL-PL,598,1.088 [1.057-1.121],0.003,**,Phospholipids in Large HDL
L-HDL-L,623,1.087 [1.056-1.120],0.006,**,Total-Lipids in Large HDL
Omega-3,420,1.086 [1.064-1.109],2.609e-09,***,Omega-3 Fatty Acids
L-HDL-FC,638,1.084 [1.054-1.116],0.008,**,Free Cholesterol in Large HDL
L-HDL-P,633,1.084 [1.053-1.116],0.012,*,Concentration of Large HDL Particles
L-HDL-TG%,637,0.919 [0.892-0.948],0.017,*,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,677,0.917 [0.888-0.946],0.014,*,Triglycerides to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,257,0.914 [0.896-0.933],8.046e-13,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
TG/PG,632,0.910 [0.878-0.943],0.040,*,Triglycerides to Phosphoglycerides ratio
MUFA%,525,0.892 [0.867-0.917],6.417e-10,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,489,0.877 [0.841-0.915],3.840e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,375,0.856 [0.817-0.896],7.732e-06,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
