Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XXL-VLDL-C%,176,1.008 [0.996-1.021],1.000,,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-CE,698,1.003 [0.996-1.010],1.000,,Cholesteryl Esters in Large HDL
XL-HDL-PL,562,1.003 [0.996-1.010],1.000,,Phospholipids in Very Large HDL
M-HDL-P,598,1.003 [0.994-1.012],1.000,,Concentration of Medium HDL Particles
Omega-3%,215,1.001 [0.995-1.006],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Albumin,72,1.000 [0.965-1.036],1.000,,Albumin
XL-HDL-TG,489,0.998 [0.991-1.005],1.000,,Triglycerides in Very Large HDL
L-HDL-PL%,508,0.996 [0.986-1.005],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-PL%,398,0.991 [0.980-1.001],1.000,,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-VLDL-PL,607,0.986 [0.978-0.995],1.000,,Phospholipids in Very Large VLDL
