Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.217 [1.130-1.311],0.051,,Phospholipids to Total-Lipids in Small LDL percentage
M-HDL-C%,632,1.176 [1.110-1.246],0.009,**,Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-CE%,557,1.174 [1.107-1.245],0.019,*,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-CE%,562,1.165 [1.096-1.238],0.237,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
Pyruvate,37,1.024 [0.812-1.293],1.000,,Pyruvate
XS-VLDL-L,632,0.867 [0.823-0.914],0.030,*,Total-Lipids in Very Small VLDL
XS-VLDL-TG,678,0.867 [0.822-0.914],0.027,*,Triglycerides in Very Small VLDL
XS-VLDL-PL,635,0.867 [0.822-0.913],0.022,*,Phospholipids in Very Small VLDL
S-HDL-TG,681,0.857 [0.809-0.908],0.035,*,Triglycerides in Small HDL
TG/PG,632,0.842 [0.792-0.895],0.008,**,Triglycerides to Phosphoglycerides ratio
Non-HDL-C,563,0.841 [0.789-0.896],0.020,*,Total-Cholesterol Minus HDL-C
M-LDL-L,531,0.841 [0.789-0.896],0.022,*,Total-Lipids in Medium LDL
XXL-VLDL-PL,556,0.839 [0.786-0.896],0.037,*,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-C,489,0.835 [0.785-0.889],0.003,**,Cholesterol in Small LDL
S-LDL-L,511,0.835 [0.785-0.887],0.001,**,Total-Lipids in Small LDL
ApoB/ApoA1,542,0.833 [0.785-0.886],8.996e-04,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-LDL-TG,690,0.833 [0.785-0.884],4.872e-04,***,Triglycerides in Small LDL
M-LDL-C,525,0.832 [0.780-0.887],0.005,**,Cholesterol in Medium LDL
M-LDL-CE,550,0.829 [0.777-0.884],0.003,**,Cholesteryl Esters in Medium LDL
XXL-VLDL-FC,557,0.829 [0.776-0.885],0.005,**,Free Cholesterol in Chylomicrons and Extremely Large VLDL
ApoB,565,0.829 [0.779-0.881],6.279e-04,***,Apolipoprotein B
XXL-VLDL-P,529,0.827 [0.773-0.885],0.010,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
SFA,553,0.827 [0.770-0.888],0.040,*,Saturated Fatty Acids
LDL-P,552,0.826 [0.776-0.880],6.126e-04,***,Concentration of LDL Particles
L-LDL-P,541,0.825 [0.775-0.879],7.094e-04,***,Concentration of Large LDL Particles
S-LDL-CE,543,0.824 [0.773-0.879],9.454e-04,***,Cholesteryl Esters in Small LDL
