Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA%,371,1.206 [1.141-1.275],9.270e-06,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,510,1.202 [1.140-1.267],2.052e-06,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-FC%,687,1.186 [1.134-1.240],1.921e-08,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,485,1.181 [1.121-1.244],7.585e-05,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Omega-6%,366,1.175 [1.109-1.245],0.010,*,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-C%,486,1.175 [1.116-1.237],2.402e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-LDL-FC%,578,1.167 [1.118-1.218],3.106e-07,***,Free Cholesterol to Total-Lipids in Small LDL percentage
IDL-FC%,332,1.165 [1.102-1.231],0.018,*,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-FC%,651,1.162 [1.115-1.211],4.116e-07,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,484,1.160 [1.111-1.212],5.922e-06,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,597,1.154 [1.105-1.205],2.263e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,604,1.152 [1.104-1.203],2.336e-05,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,644,1.138 [1.094-1.183],2.118e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,609,1.133 [1.087-1.180],5.881e-04,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,600,1.133 [1.087-1.180],5.807e-04,***,Phospholipids to Total-Lipids in Small VLDL percentage
XS-VLDL-C%,642,1.132 [1.089-1.178],1.048e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-C%,632,1.121 [1.079-1.164],9.227e-04,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-CE%,557,1.117 [1.076-1.159],0.002,**,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-TG%,637,0.909 [0.879-0.941],0.014,*,Triglycerides to Total-Lipids in Large HDL percentage
LDL-TG,630,0.900 [0.866-0.935],0.020,*,Triglycerides in LDL
M-HDL-TG%,657,0.900 [0.869-0.931],5.328e-04,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,580,0.899 [0.865-0.935],0.020,*,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG,617,0.899 [0.864-0.936],0.047,*,Triglycerides in Medium HDL
HDL-TG,593,0.898 [0.863-0.935],0.026,*,Triglycerides in HDL
XS-VLDL-TG,678,0.895 [0.863-0.928],4.931e-04,***,Triglycerides in Very Small VLDL
S-HDL-TG%,677,0.894 [0.863-0.927],2.250e-04,***,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-PL,664,0.887 [0.850-0.926],0.009,**,Phospholipids in Small VLDL
S-VLDL-TG%,564,0.886 [0.848-0.925],0.009,**,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-P,612,0.884 [0.847-0.924],0.006,**,Concentration of Medium VLDL Particles
M-VLDL-PL,632,0.884 [0.846-0.923],0.008,**,Phospholipids in Medium VLDL
XS-VLDL-TG%,661,0.883 [0.847-0.920],8.900e-04,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,489,0.880 [0.841-0.921],0.009,**,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,594,0.880 [0.845-0.917],2.742e-04,***,Triglycerides to Total-Lipids in Small LDL percentage
M-LDL-TG,658,0.879 [0.844-0.916],1.219e-04,***,Triglycerides in Medium LDL
