Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-FC%,578,1.035 [1.010-1.061],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-C%,642,1.022 [0.994-1.050],1.000,,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-FC%,331,1.022 [0.990-1.055],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
Omega-3,420,1.015 [0.996-1.034],1.000,,Omega-3 Fatty Acids
M-HDL-C%,632,1.007 [0.981-1.034],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-FC,411,0.995 [0.969-1.023],1.000,,Free Cholesterol in LDL
XS-VLDL-C,604,0.993 [0.970-1.016],1.000,,Cholesterol in Very Small VLDL
XL-HDL-C,653,0.987 [0.963-1.011],1.000,,Cholesterol in Very Large HDL
L-LDL-L,508,0.984 [0.958-1.012],1.000,,Total-Lipids in Large LDL
XL-HDL-TG%,642,0.979 [0.952-1.006],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
