Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-C,476,1.017 [0.994-1.042],1.000,,LDL Cholesterol
M-LDL-CE,550,1.016 [0.993-1.040],1.000,,Cholesteryl Esters in Medium LDL
IDL-FC,587,1.014 [0.991-1.038],1.000,,Free Cholesterol in IDL
XS-VLDL-FC%,460,1.014 [0.987-1.042],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,259,1.009 [0.988-1.031],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-VLDL-L,578,0.999 [0.976-1.023],1.000,,Total-Lipids in Very Large VLDL
XS-VLDL-CE,620,0.997 [0.978-1.017],1.000,,Cholesteryl Esters in Very Small VLDL
L-VLDL-L,609,0.995 [0.972-1.018],1.000,,Total-Lipids in Large VLDL
VLDL-P,640,0.994 [0.975-1.014],1.000,,Concentration of VLDL Particles
L-HDL-TG,449,0.994 [0.981-1.007],1.000,,Triglycerides in Large HDL
