Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Pyruvate,37,1.039 [0.983-1.097],1.000,,Pyruvate
Tyr,120,1.002 [0.973-1.032],1.000,,Tyrosine
LDL-CE,506,1.002 [0.990-1.013],1.000,,Cholesteryl Esters in LDL
M-LDL-PL,492,1.000 [0.989-1.012],1.000,,Phospholipids in Medium LDL
XXL-VLDL-TG%,153,1.000 [0.984-1.017],1.000,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-L,531,0.999 [0.986-1.011],1.000,,Total-Lipids in Medium LDL
XL-VLDL-CE%,485,0.998 [0.983-1.014],1.000,,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-L,514,0.988 [0.975-1.002],1.000,,Total-Lipids in Chylomicrons and Extremely Large VLDL
S-LDL-TG,690,0.983 [0.971-0.995],1.000,,Triglycerides in Small LDL
L-VLDL-P,622,0.982 [0.970-0.995],1.000,,Concentration of Large VLDL Particles
