Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.520 [0.502-0.54],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.338 [0.317-0.36],2.993e-223,***,Other diseases of urinary system,Genitourinary
F5_DEMINOTH,8,0.309 [0.286-0.33],5.846e-147,***,Dementia in other diseases classified elsewhere,Mental and behavioural
KRA_PSY_ANYMENTAL,2504,0.309 [0.293-0.32],1.000e-315,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1375,0.282 [0.269-0.29],1.000e-315,***,Diseases of male genital organs,Genitourinary
G6_DEGENOTH,14,0.275 [0.256-0.29],1.024e-168,***,Other and unspecified degenerative diseases of nervous system,Nervous
MEMLOSS,48,0.264 [0.232-0.30],9.438e-54,***,Memory loss,Mental and behavioural
K11_OTHDISDIG,25,0.246 [0.221-0.27],4.206e-78,***,Other diseases of the digestive system,Digestive
J10_ACUTEUPPERINFEC,241,0.214 [0.174-0.25],1.944e-20,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
E4_HYPERLIPMIX,365,0.194 [0.162-0.23],1.566e-27,***,Mixed hyperlipidaemia,Endocrine and metabolic
F5_DELIRIUM,173,0.187 [0.170-0.20],5.460e-100,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
VD_U,43,0.182 [0.165-0.20],1.174e-87,***,Vascular dementia (undefined),Mental and behavioural
F5_MENTORG,85,0.180 [0.143-0.22],2.162e-16,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
AB1_BACT_INTEST_OTH,357,0.178 [0.172-0.19],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
J10_INFLUPNEU,534,0.166 [0.148-0.18],2.394e-67,***,Influenza and pneumonia,Respiratory
N14_PROSTHYPERPLA,3795,0.153 [0.147-0.16],1.000e-315,***,Hyperplasia of prostate,Genitourinary
F5_VASCDEM,107,0.144 [0.120-0.17],4.695e-26,***,Vascular dementia,Mental and behavioural
H7_CHALAZION,671,0.142 [0.136-0.15],1.000e-315,***,Chalazion,Eye and adnexa
J10_UPPERINFEC,1002,0.138 [0.118-0.16],1.653e-36,***,Acute upper respiratory infections,Respiratory
F5_DEPRESSIO,2165,0.126 [0.116-0.14],2.230e-138,***,Depression,Mental and behavioural
C_DIFFICILE_ENTEROCOLITIS,2693,0.122 [0.119-0.13],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
M13_HAMMERTOE,331,0.102 [0.083-0.12],3.687e-19,***,Other hammer toe(s) (acquired),Musculoskeletal
