Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.507 [0.490-0.52],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.326 [0.306-0.35],2.038e-222,***,Other diseases of urinary system,Genitourinary
E4_HYPERLIPMIX,365,0.277 [0.240-0.31],2.897e-43,***,Mixed hyperlipidaemia,Endocrine and metabolic
KRA_PSY_ANYMENTAL,2504,0.250 [0.236-0.26],8.253e-256,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1376,0.247 [0.236-0.26],1.000e-315,***,Diseases of male genital organs,Genitourinary
K11_OTHDISDIG,25,0.166 [0.141-0.19],3.284e-34,***,Other diseases of the digestive system,Digestive
J10_ACUTEUPPERINFEC,241,0.152 [0.118-0.19],6.930e-13,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
AB1_BACT_INTEST_OTH,357,0.136 [0.129-0.14],1.254e-287,***,Other bacterial intestinal infections,Infectious and parasitic
N14_PROSTHYPERPLA,3796,0.134 [0.129-0.14],1.000e-315,***,Hyperplasia of prostate,Genitourinary
J10_INFLUPNEU,534,0.128 [0.113-0.14],2.468e-56,***,Influenza and pneumonia,Respiratory
H7_CHALAZION,671,0.120 [0.114-0.13],1.000e-315,***,Chalazion,Eye and adnexa
G6_DEGENOTH,14,0.117 [0.084-0.15],1.025e-06,***,Other and unspecified degenerative diseases of nervous system,Nervous
F5_DEPRESSIO,2165,0.116 [0.108-0.12],5.756e-162,***,Depression,Mental and behavioural
C_DIFFICILE_ENTEROCOLITIS,2693,0.109 [0.106-0.11],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
J10_UPPERINFEC,1002,0.104 [0.086-0.12],2.524e-25,***,Acute upper respiratory infections,Respiratory
M13_HAMMERTOE,331,0.099 [0.083-0.12],1.237e-28,***,Other hammer toe(s) (acquired),Musculoskeletal
M13_SOFTTISSUEOTH,600,0.090 [0.068-0.11],9.397e-11,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
K11_FISTULA,485,0.083 [0.079-0.09],1.000e-315,***,Colonic or urogenital fistula,Digestive
F5_ANXIETY,71,0.077 [0.057-0.10],8.730e-10,***,Other anxiety disorders,Mental and behavioural
K11_INTESTOTH,398,0.076 [0.061-0.09],1.008e-17,***,Other diseases of intestines,Digestive
N14_CHRONEPHROPATH,18,0.075 [0.064-0.09],1.090e-35,***,Chronic nephritic syndrome,Genitourinary
N14_MENSIRREG,59,0.075 [0.058-0.09],5.416e-13,***,Irregular menses,Genitourinary
L12_DISORDSKINAPPENDIX,424,0.073 [0.055-0.09],4.369e-11,***,Disorders of skin appendages,Skin
J10_PLEURA,140,0.072 [0.058-0.09],2.484e-19,***,Other diseases of pleura,Respiratory
J10_SEPTDEV,498,0.072 [0.058-0.09],7.872e-19,***,Deviated nasal septum,Respiratory
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.071 [0.064-0.08],1.700e-101,***,Melanocytic naevi of trunk,Neoplasms
F5_DELIRIUM,173,0.069 [0.056-0.08],3.989e-19,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
VD_U,43,0.069 [0.052-0.09],4.442e-10,***,Vascular dementia (undefined),Mental and behavioural
M13_ENTESOPATHYOTH,48,0.065 [0.046-0.08],4.894e-06,***,Other enthesopathies,Musculoskeletal
N14_OVARYCYST,987,0.065 [0.060-0.07],5.182e-128,***,Ovarian cyst,Genitourinary
N14_FEMALEINFERT,80,0.063 [0.047-0.08],1.328e-10,***,Female infertility,Genitourinary
O15_PREG_OTHER_MAT_DISORD,1961,0.062 [0.053-0.07],3.172e-35,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
J10_PLEURPLAGUE,310,0.060 [0.057-0.06],1.000e-315,***,Pleural plaque,Respiratory
H7_PARASTRAB,7,0.058 [0.038-0.08],0.003,**,Paralytic strabismus,Eye and adnexa
M13_HALLUXVALGUS,3980,0.058 [0.054-0.06],9.561e-128,***,Hallux valgus (acquired),Musculoskeletal
I9_HEARTFAIL,682,0.052 [0.042-0.06],4.371e-22,***,"Heart failure, strict",Circulatory
M13_MYALGIA,253,0.051 [0.042-0.06],8.155e-26,***,Myalgia,Musculoskeletal
M13_SYNOTEND,1267,0.050 [0.042-0.06],1.636e-28,***,Disorders of synovium and tendon,Musculoskeletal
N14_MENORRHAGIA,718,0.049 [0.039-0.06],3.540e-19,***,Menorrhagia,Genitourinary
J10_CHRONTONSADEN,5828,0.048 [0.044-0.05],8.284e-107,***,Chronic diseases of tonsils and adenoids,Respiratory
CD2_BENIGN_MELANOCYTIC,521,0.048 [0.037-0.06],1.384e-12,***,Melanocytic naevi,Neoplasms
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.048 [0.041-0.05],1.622e-37,***,Viral and other specified intestinal infections,Infectious and parasitic
H8_EXTERNAL,828,0.047 [0.041-0.05],2.296e-48,***,Diseases of external ear,Ear and mastoid
E4_LIPOPROT,7076,0.047 [0.031-0.06],7.430e-04,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
L12_INFECT_SKIN,518,0.044 [0.030-0.06],9.576e-04,***,Infections of the skin and subcutaneous tissue,Skin
COPD_EARLY,512,0.044 [0.040-0.05],1.596e-135,***,Early onset COPD,Respiratory
K11_HERNIA,6152,0.043 [0.039-0.05],1.225e-83,***,Hernia,Digestive
NEURODEGOTH,4178,0.041 [0.037-0.04],1.913e-95,***,Other degenerative diseases of the nervous system,Nervous
J10_PNEUMOTHORAX,46,0.040 [0.030-0.05],3.915e-10,***,Pneumothorax,Respiratory
L12_ROSACEANAS,82,0.040 [0.032-0.05],1.202e-19,***,Other and unspecified rosacea,Skin
CD2_LYMPHOID_LEUKAEMIA,767,0.040 [0.037-0.04],1.180e-192,***,Lymphoid leukaemia,Neoplasms
N14_ORHCEPINDIDYMITIS,99,0.038 [0.027-0.05],1.555e-05,***,Orchitis and epididymitis,Genitourinary
N14_NEUROMUSCDYSBLADD,98,0.038 [0.024-0.05],0.039,*,Neuromuscular dysfunction of bladder,Genitourinary
J10_UPPERDIS,4085,0.037 [0.029-0.05],9.980e-13,***,Other diseases of upper respiratory tract,Respiratory
J10_EMPHYSEMA,365,0.036 [0.033-0.04],6.200e-101,***,Emphysema,Respiratory
K11_DISORD_TEETH,111,0.035 [0.023-0.05],0.002,**,Other disorders of teeth and supporting structures,Digestive
N14_BENIGNMAMDYSP,134,0.034 [0.027-0.04],7.100e-15,***,Benign mammary dysplasia,Genitourinary
C3_BRONCHUS_LUNG,574,0.034 [0.031-0.04],3.630e-83,***,Malignant neoplasm of bronchus and lung,Neoplasms
I9_AORTANEUR,1277,0.033 [0.029-0.04],2.500e-68,***,Aortic aneurysm,Circulatory
O15_LABOUR_MALPOS,202,0.032 [0.024-0.04],2.015e-09,***,Obstructed labour due to malposition and malpresentation of fetus,Pregnancy
N14_OTHNONINFUTER,645,0.032 [0.028-0.04],2.269e-67,***,"Other noninflammatory disorders of uterus, except cervix",Genitourinary
C3_LUNG_NONSMALL,527,0.032 [0.029-0.03],9.046e-92,***,Non-small cell lung cancer,Neoplasms
N14_PHIMOSIS,4306,0.031 [0.029-0.03],1.046e-131,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
CD2_BENIGN_THYROID,151,0.031 [0.028-0.03],3.744e-100,***,Benign neoplasm of thyroid gland,Neoplasms
L12_EPIDERMALTHICKOTH,11,0.029 [0.019-0.04],0.009,**,Other epidermal thickening,Skin
H8_NONSUPPNAS,1145,0.029 [0.024-0.03],6.265e-32,***,Nonsuppurative otitis media,Ear and mastoid
