Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.194 [0.163-0.23],8.951e-30,***,Other diseases of the digestive system,Digestive
K11_GASTRODUOULC,227,0.116 [0.106-0.13],2.532e-107,***,Gastroduodenal ulcer,Digestive
N14_FEMALEINFERT,80,0.114 [0.092-0.14],1.006e-18,***,Female infertility,Genitourinary
M13_GANGLION,38,0.069 [0.055-0.08],3.761e-18,***,Ganglion,Musculoskeletal
N14_URINOTH,1485,0.068 [0.061-0.07],1.002e-79,***,Other diseases of urinary system,Genitourinary
I9_HEARTFAIL,682,0.065 [0.057-0.07],3.629e-50,***,"Heart failure, strict",Circulatory
M13_SOFTTISSUEOTH,600,0.064 [0.050-0.08],2.373e-14,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
D3_OTHERBLOOD,428,0.055 [0.053-0.06],1.000e-315,***,Other diseases of blood and blood-forming organs,Blood and immune
J10_ACUTEUPPERINFEC,241,0.053 [0.039-0.07],7.272e-08,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
K11_DULC,287,0.049 [0.041-0.06],2.999e-33,***,Duodenal ulcer,Digestive
M13_ARTHROSIS_OTH,570,0.046 [0.032-0.06],2.699e-05,***,Other arthrosis,Musculoskeletal
K11_CHOLECYST,114,0.044 [0.037-0.05],2.488e-33,***,Cholecystitis,Digestive
N14_CYSTITIS,693,0.041 [0.032-0.05],8.414e-17,***,Cystitis,Genitourinary
M13_HAMMERTOE,331,0.041 [0.029-0.05],7.482e-06,***,Other hammer toe(s) (acquired),Musculoskeletal
J10_INFLUPNEU,534,0.040 [0.030-0.05],4.091e-09,***,Influenza and pneumonia,Respiratory
L12_DISORDSKINAPPENDIX,424,0.037 [0.030-0.04],6.020e-20,***,Disorders of skin appendages,Skin
N14_URETHRAOTH,610,0.036 [0.028-0.04],3.979e-12,***,Other disorders of urethra and urinary system,Genitourinary
I9_OTHARR,798,0.033 [0.026-0.04],8.163e-16,***,Other arrhythmias,Circulatory
J10_PLEURA,140,0.033 [0.021-0.04],0.024,*,Other diseases of pleura,Respiratory
G6_PARKINSON,2693,0.032 [0.031-0.03],1.000e-315,***,Parkinson's disease,Nervous
I9_VASCINT,15,0.030 [0.022-0.04],6.983e-08,***,Vascular diseases of the intestine,Circulatory
KRA_PSY_ANXIETY,740,0.027 [0.018-0.04],9.293e-04,***,Anxiety disorders,Mental and behavioural
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.026 [0.021-0.03],1.596e-23,***,Melanocytic naevi of trunk,Neoplasms
I9_AORTANEUR,1277,0.026 [0.023-0.03],3.720e-54,***,Aortic aneurysm,Circulatory
H8_OTHEREAR,3939,0.026 [0.023-0.03],5.106e-49,***,Other disorders of ear,Ear and mastoid
I9_THAORTANEUR,1182,0.025 [0.023-0.03],4.266e-90,***,Thoracic aortic aneurysm,Circulatory
E4_HYPERLIPMIX,365,0.025 [0.018-0.03],3.261e-06,***,Mixed hyperlipidaemia,Endocrine and metabolic
THROMBOCYTAEMIA,728,0.025 [0.024-0.03],1.000e-315,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
AMN2,162,0.025 [0.020-0.03],4.878e-22,***,Transient global amnesia,Nervous
I9_AVBLOCK,403,0.023 [0.019-0.03],4.663e-17,***,AV-block,Circulatory
H8_HL_PRESBY,136,0.022 [0.016-0.03],3.307e-08,***,Presbycusis,Ear and mastoid
IPF,3405,0.019 [0.019-0.02],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
CHRONMYELOPRO,471,0.019 [0.019-0.02],1.000e-315,***,Chronic myeloproliferative disease,Neoplasms
L12_SEBORRKERAT,374,0.019 [0.014-0.02],3.206e-06,***,Seborrhoeic keratosis,Skin
H8_EXT_NAS,170,0.019 [0.013-0.02],1.389e-05,***,"Otitis externa, unspecified",Ear and mastoid
J10_UPPERINFEC,1002,0.019 [0.012-0.03],0.014,*,Acute upper respiratory infections,Respiratory
I9_PAROXTAC,262,0.018 [0.011-0.02],0.039,*,Paroxysmal tachycardia,Circulatory
CD2_LYMPHOID_LEUKAEMIA,767,0.017 [0.016-0.02],3.690e-91,***,Lymphoid leukaemia,Neoplasms
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.017 [0.013-0.02],5.904e-08,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
G6_XTRAPYROTH,275,0.017 [0.011-0.02],0.049,*,Other extrapyramidal and movement disorders in other diseases,Nervous
G6_TRINEU,93,0.017 [0.011-0.02],0.002,**,Trigeminal neuralgia,Nervous
AB1_VIRAL_HEPATITIS,81,0.016 [0.010-0.02],0.032,*,Viral hepatitis,Infectious and parasitic
H8_EXTERNAL,828,0.016 [0.012-0.02],7.697e-10,***,Diseases of external ear,Ear and mastoid
N14_PHIMOSIS,4306,0.015 [0.014-0.02],9.592e-171,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
G6_MYONEU,229,0.014 [0.011-0.02],3.909e-12,***,Diseases of the myoneural junction and muscle,Nervous
F5_PTSD,319,0.014 [0.011-0.02],1.349e-09,***,Post-traumatic stress disorder,Mental and behavioural
K11_FISTULA,485,0.014 [0.010-0.02],1.274e-05,***,Colonic or urogenital fistula,Digestive
N14_ENDOMETRIOSIS_DEEP,670,0.014 [0.011-0.02],1.269e-26,***,Deep endometriosis,Genitourinary
H8_EXTOTITIS,1164,0.014 [0.011-0.02],1.562e-20,***,Otitis externa,Ear and mastoid
POLYCYTVERA,838,0.013 [0.012-0.01],1.000e-315,***,Polycythaemia vera,Neoplasms
CD2_BENIGN_MELANOCYTIC_SCALPNECK,136,0.012 [0.008-0.02],0.002,**,Melanocytic naevi of scalp and neck,Neoplasms
H7_GLAUCSUSP,1846,0.012 [0.010-0.02],5.459e-15,***,Glaucoma suspect,Eye and adnexa
H7_DIVERGSTRAB,291,0.012 [0.009-0.02],2.155e-12,***,Divergent concomitant strabismus,Eye and adnexa
H7_GLAUCOMA,6452,0.012 [0.010-0.01],5.954e-36,***,Glaucoma,Eye and adnexa
N14_CALCUKIDUR,1321,0.010 [0.007-0.01],1.964e-05,***,Calculus of kidney and ureter,Genitourinary
NEURODEGOTH,4178,0.010 [0.008-0.01],1.604e-40,***,Other degenerative diseases of the nervous system,Nervous
N14_ENDOMETRIOSIS,3268,0.010 [0.008-0.01],1.134e-13,***,Endometriosis,Genitourinary
I9_THROMBOTH,852,0.009 [0.006-0.01],0.015,*,Other embolism and thrombosis,Circulatory
C3_CLL_WIDE,431,0.009 [0.008-0.01],1.383e-27,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
G6_RLS,898,0.009 [0.007-0.01],5.508e-11,***,Restless leg syndrome,Nervous
E4_MINERAL_MET,806,0.009 [0.007-0.01],5.874e-24,***,Disorders of mineral metabolism,Endocrine and metabolic
H7_OPTNERVE,2671,0.009 [0.008-0.01],8.322e-56,***,Disorders of optic nerve and visual pathways,Eye and adnexa
H7_CHALAZION,671,0.008 [0.006-0.01],9.117e-10,***,Chalazion,Eye and adnexa
H8_HL_SEN_NAS,5357,0.008 [0.006-0.01],2.456e-08,***,Sensorineural hearing loss,Ear and mastoid
I9_PHLETHROMBDVTLOW,3263,0.008 [0.007-0.01],2.287e-23,***,DVT of lower extremities,Circulatory
E4_GOITRENAS,1714,0.008 [0.007-0.01],8.287e-53,***,Other and/or unspecified nontoxic goitre,Endocrine and metabolic
COPD_EARLY,512,0.008 [0.006-0.01],1.704e-04,***,Early onset COPD,Respiratory
I9_AORTDIS,126,0.008 [0.005-0.01],0.017,*,Dissection of aorta,Circulatory
J10_EMPHYSEMA,365,0.008 [0.005-0.01],8.525e-05,***,Emphysema,Respiratory
ULCERPROCT,1091,0.007 [0.006-0.01],6.690e-16,***,Ulcerative proctitis,Digestive
C_DIFFICILE_ENTEROCOLITIS,2693,0.007 [0.005-0.01],6.316e-14,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
K11_HERING,7337,0.007 [0.005-0.01],8.186e-05,***,Inguinal hernia,Digestive
C3_BRONCHUS_LUNG,573,0.006 [0.004-0.01],0.027,*,Malignant neoplasm of bronchus and lung,Neoplasms
CD2_INSITU_CERVIX_UTERI,1636,0.006 [0.005-0.01],5.185e-15,***,Carcinoma in situ of cervix uteri,Neoplasms
I9_AF,9821,0.006 [0.004-0.01],1.209e-13,***,Atrial fibrillation and flutter,Circulatory
K11_FIBROCHIRLIV,942,0.006 [0.004-0.01],1.469e-04,***,Fibrosis and cirrhosis of liver,Digestive
L12_ATROPHICSKIN,3167,0.005 [0.004-0.01],5.243e-17,***,Atrophic disorders of skin,Skin
CD2_FOLLICULAR_LYMPHOMA,5808,0.004 [0.004-0.00],8.733e-95,***,"Follicular lymphoma, hilmo",Neoplasms
L12_LICHENSCLERATROPH,5062,0.004 [0.003-0.00],1.709e-32,***,Lichen sclerosus et atrophicus,Skin
E4_THYROID,25555,0.004 [0.003-0.01],1.920e-05,***,Disorders of the thyroid gland,Endocrine and metabolic
G6_OTHDEMYEL,3560,0.004 [0.003-0.00],6.718e-43,***,Other demyelinating diseases of the central nervous system,Nervous
E4_PORBILIR,370,0.003 [0.003-0.00],7.127e-12,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
M13_GIANTCELL,1909,0.003 [0.002-0.00],1.280e-09,***,Giant cell arteritis,Musculoskeletal
AB1_VIRAL_WARTS,3425,0.002 [0.002-0.00],0.002,**,Viral warts,Infectious and parasitic
E4_GILBERT,452,0.002 [0.002-0.00],6.524e-10,***,Gilbert syndrome,Endocrine and metabolic
E4_IRON_MET,3833,0.002 [0.002-0.00],1.305e-39,***,Disorders of iron metabolism,Endocrine and metabolic
RHEUMA_SEROPOS_WIDE,21443,0.002 [0.001-0.00],2.406e-22,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
RHEUMA_NOS,13051,0.001 [0.001-0.00],4.863e-04,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
M13_RHEUMA,20944,0.001 [0.001-0.00],9.211e-04,***,Rheumatoid arthritis,Musculoskeletal
M13_ANKYLOSPON,29005,-0.000 [-0.001--0.00],3.205e-05,***,Ankylosing spondylitis,Musculoskeletal
M13_SPONDYLINFLAMNAS,14599,-0.001 [-0.001--0.00],2.678e-12,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
AUTOHEP,2902,-0.001 [-0.001--0.00],4.721e-08,***,Autoimmune hepatitis,Digestive
SPONDYLOARTHRITIS,25038,-0.001 [-0.001--0.00],2.012e-19,***,Spondyloarthritis,Musculoskeletal
I9_HYPERTROCARDMYOP,484,-0.002 [-0.002--0.00],2.813e-06,***,Hypertrophic cardiomyopathy,Circulatory
I9_CARDMYOHYP,294,-0.002 [-0.002--0.00],1.036e-06,***,"Cardiomyopathy, Hypertrophic obstructive",Circulatory
K11_COELIAC,42111,-0.002 [-0.002--0.00],1.000e-315,***,Coeliac disease,Digestive
E4_GLUCOPANCREAS,8980,-0.002 [-0.002--0.00],1.099e-19,***,Other disorders of glucose regulation and pancreatic internal secretion,Endocrine and metabolic
M13_POLYARTHROPATHIES,18752,-0.002 [-0.003--0.00],0.032,*,Polyarthropathies,Musculoskeletal
D3_HEREDOTHCLOFACTORS,1113,-0.002 [-0.003--0.00],5.414e-15,***,Hereditary deficiency of other clotting factors,Blood and immune
RHEUMA_SERONEG,8327,-0.002 [-0.003--0.00],1.098e-11,***,Seronegative rheumatoid arthritis,Musculoskeletal
DRY_AMD,4885,-0.002 [-0.003--0.00],5.606e-07,***,Dry age-related macular degeneration (includes geographic atrophy),Eye and adnexa
M13_POLYMYALGIA,4532,-0.003 [-0.003--0.00],4.628e-05,***,Polymyalgia rheumatica,Musculoskeletal
L12_LUPUS,5381,-0.003 [-0.003--0.00],3.579e-54,***,Cutaneous lupus erythematosus,Skin
J10_NASALPOLYP,7370,-0.003 [-0.004--0.00],1.406e-05,***,Nasal polyp,Respiratory
N14_FEMALE_GENITAL_DYSPLASIA_ALL,7063,-0.003 [-0.004--0.00],5.382e-04,***,"All dysplastic lesions of the cervix uteri, vagina or vulva",Genitourinary
L12_PSORI_NAS,8866,-0.003 [-0.003--0.00],3.189e-70,***,Other and unspecified psoriasis,Skin
N14_DIALYSIS,1620,-0.003 [-0.004--0.00],2.253e-07,***,Dialysis,Genitourinary
DM_NEUROPATHY,5299,-0.003 [-0.004--0.00],5.072e-18,***,Diabetic neuropathy,Endocrine and metabolic
K11_CHOLANGI,1455,-0.003 [-0.004--0.00],0.002,**,"Cholangitis (primary sclerosing, PSC)",Digestive
D3_COAGDEFNAS,3630,-0.003 [-0.004--0.00],4.829e-34,***,Other and unspecified coagulation defects,Blood and immune
H7_SCLERACORNEA,15425,-0.003 [-0.004--0.00],3.508e-14,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
L12_ULCERLOWLIMB,2421,-0.003 [-0.005--0.00],0.007,**,"Ulcer of lower limb, not elsewhere classified",Skin
N14_CERVICAL_DYSPLASIA_ALL,5631,-0.003 [-0.005--0.00],5.089e-05,***,All dysplastic lesions of the cervix uteri,Genitourinary
H7_ORBIT,4635,-0.004 [-0.004--0.00],5.710e-56,***,Disorders of orbit,Eye and adnexa
L12_BULLOUS,10568,-0.004 [-0.004--0.00],1.880e-153,***,Bullous disorders,Skin
