Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.589 [0.557-0.62],5.325e-280,***,Cystitis,Genitourinary
K11_OTHDISDIG,25,0.582 [0.543-0.62],6.904e-183,***,Other diseases of the digestive system,Digestive
N14_URINOTH,1485,0.321 [0.289-0.35],5.223e-82,***,Other diseases of urinary system,Genitourinary
E4_HYPERLIPNAS,1251,0.298 [0.268-0.33],1.481e-77,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
E4_LIPOPROTNAS,242,0.285 [0.226-0.34],1.413e-15,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
MEMLOSS,48,0.278 [0.224-0.33],1.053e-18,***,Memory loss,Mental and behavioural
G6_DEGENOTH,14,0.271 [0.201-0.34],6.446e-09,***,Other and unspecified degenerative diseases of nervous system,Nervous
E4_FH,518,0.253 [0.218-0.29],3.120e-41,***,Familial hypercholesterolemia,Endocrine and metabolic
AB1_BACT_INTEST_OTH,357,0.251 [0.246-0.26],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
I9_POSTAMI,149,0.249 [0.202-0.30],7.463e-20,***,Status post-ami,Circulatory
E4_METABOLIA,4834,0.237 [0.215-0.26],2.243e-92,***,Metabolic disorders,Endocrine and metabolic
KRA_PSY_ANYMENTAL,2504,0.209 [0.195-0.22],3.619e-167,***,Any mental disorder,Mental and behavioural
VD_U,43,0.180 [0.148-0.21],6.279e-23,***,Vascular dementia (undefined),Mental and behavioural
E4_LIPOPROT,7076,0.178 [0.163-0.19],1.190e-105,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
N14_MALEGEN,1376,0.169 [0.158-0.18],5.936e-231,***,Diseases of male genital organs,Genitourinary
F5_MENTORG,85,0.168 [0.118-0.22],8.050e-06,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
F5_DELIRIUM,173,0.157 [0.128-0.19],2.217e-20,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
C_DIFFICILE_ENTEROCOLITIS,2693,0.156 [0.152-0.16],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
K11_INTESTOTH,398,0.134 [0.114-0.15],3.074e-35,***,Other diseases of intestines,Digestive
F5_VASCDEM,107,0.130 [0.093-0.17],5.594e-07,***,Vascular dementia,Mental and behavioural
E4_HYPERLIPMIX,365,0.126 [0.104-0.15],1.097e-22,***,Mixed hyperlipidaemia,Endocrine and metabolic
AUD,259,0.117 [0.097-0.14],1.655e-26,***,"Alcohol use disorder, ICD-based",Mental and behavioural
N14_CHRONEPHROPATH,18,0.112 [0.101-0.12],2.497e-85,***,Chronic nephritic syndrome,Genitourinary
I9_UAP,1483,0.102 [0.086-0.12],3.970e-31,***,Unstable angina pectoris,Circulatory
H7_CHALAZION,671,0.100 [0.095-0.11],1.000e-315,***,Chalazion,Eye and adnexa
N14_PROSTHYPERPLA,3796,0.095 [0.090-0.10],1.000e-315,***,Hyperplasia of prostate,Genitourinary
CD2_BENIGN_COLON_NOS,212,0.094 [0.064-0.12],1.679e-04,***,"Benign neoplasm: Colon, unspecified",Neoplasms
M13_RADICULOPATHY,15,0.084 [0.062-0.11],8.100e-09,***,Radiculopathy,Musculoskeletal
H8_NONSUPPNAS,1145,0.083 [0.077-0.09],2.012e-174,***,Nonsuppurative otitis media,Ear and mastoid
K11_FISTULA,485,0.080 [0.075-0.08],3.581e-237,***,Colonic or urogenital fistula,Digestive
I9_IHD,7725,0.078 [0.069-0.09],3.319e-59,***,"Ischaemic heart disease, wide definition",Circulatory
H7_PARASTRAB,7,0.077 [0.058-0.10],5.197e-09,***,Paralytic strabismus,Eye and adnexa
M13_HALLUXVALGUS,3980,0.076 [0.070-0.08],1.955e-153,***,Hallux valgus (acquired),Musculoskeletal
N14_FEMALEINFERT,80,0.075 [0.060-0.09],1.399e-17,***,Female infertility,Genitourinary
F5_DEPRESSIO,2165,0.074 [0.066-0.08],1.665e-74,***,Depression,Mental and behavioural
K11_HAEMORR,329,0.068 [0.046-0.09],8.976e-04,***,Haemorrhoids and perianal venous thrombosis,Digestive
M13_HAMMERTOE,331,0.067 [0.050-0.08],5.112e-09,***,Other hammer toe(s) (acquired),Musculoskeletal
AD_AM,451,0.067 [0.055-0.08],2.675e-23,***,Alzheimer disease (Atypical or mixed),Nervous
I9_CORATHER,8695,0.060 [0.053-0.07],7.193e-56,***,Coronary atherosclerosis,Circulatory
I9_ANGINA,5810,0.059 [0.051-0.07],5.775e-39,***,Angina pectoris,Circulatory
I9_CHD,6392,0.058 [0.050-0.07],9.544e-37,***,Major coronary heart disease event,Circulatory
J10_PLEURA,140,0.056 [0.044-0.07],6.054e-14,***,Other diseases of pleura,Respiratory
I9_HEARTFAIL,682,0.056 [0.048-0.06],5.629e-32,***,"Heart failure, strict",Circulatory
NEURODEGOTH,4178,0.055 [0.050-0.06],4.079e-117,***,Other degenerative diseases of the nervous system,Nervous
G6_NEURODEGENERATIVE,4070,0.055 [0.050-0.06],5.404e-133,***,Unspecific neurodegenerative disorder,Nervous
F5_DEMENTIA,3309,0.054 [0.050-0.06],1.100e-103,***,Dementia,Mental and behavioural
KRA_PSY_DEMENTIA,2863,0.052 [0.047-0.06],4.135e-80,***,Any dementia,Mental and behavioural
E4_PCOS_CONCORTIUM,205,0.051 [0.038-0.06],1.054e-09,***,"Polycystic ovarian syndrome, consortium definition",Endocrine and metabolic
CD2_BENIGN_OTHERDIGESTIVE,74,0.049 [0.038-0.06],1.868e-12,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
N14_MENORRHAGIA,718,0.048 [0.042-0.05],1.138e-48,***,Menorrhagia,Genitourinary
CD2_BENIGN_COLORECANI,1443,0.048 [0.038-0.06],2.657e-18,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
J10_SEPTDEV,498,0.047 [0.034-0.06],3.314e-06,***,Deviated nasal septum,Respiratory
G6_ALZHEIMER,2982,0.043 [0.039-0.05],5.722e-87,***,Alzheimer disease,Nervous
F5_ALZHDEMENT,2076,0.042 [0.037-0.05],6.098e-66,***,Dementia in Alzheimer disease,Mental and behavioural
N14_ORHCEPINDIDYMITIS,99,0.041 [0.029-0.05],3.018e-06,***,Orchitis and epididymitis,Genitourinary
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.039 [0.034-0.04],2.468e-57,***,Melanocytic naevi of trunk,Neoplasms
COPD_EARLY,512,0.038 [0.035-0.04],6.496e-120,***,Early onset COPD,Respiratory
L12_ABSCESS_CUT,66,0.037 [0.023-0.05],0.022,*,"Cutaneous abscess, furuncle and carbuncle",Skin
J10_CHRONTONSADEN,5827,0.036 [0.031-0.04],2.683e-44,***,Chronic diseases of tonsils and adenoids,Respiratory
K11_DISORD_TEETH,111,0.036 [0.026-0.05],1.691e-06,***,Other disorders of teeth and supporting structures,Digestive
K11_HERNIA,6152,0.036 [0.032-0.04],5.112e-85,***,Hernia,Digestive
N14_OVARYCYST,987,0.036 [0.031-0.04],4.189e-48,***,Ovarian cyst,Genitourinary
CD2_BENIGN_THYROID,151,0.036 [0.033-0.04],4.166e-138,***,Benign neoplasm of thyroid gland,Neoplasms
CD2_FOLLICULAR_LYMPHOMA,5808,0.035 [0.034-0.04],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
J10_PLEURPLAGUE,310,0.034 [0.031-0.04],5.917e-110,***,Pleural plaque,Respiratory
M13_POLYARTHRITIS,1672,0.033 [0.030-0.04],2.031e-100,***,"Polyarthritis, unspecified",Musculoskeletal
N14_BENIGNMAMDYSP,134,0.032 [0.024-0.04],1.844e-08,***,Benign mammary dysplasia,Genitourinary
J10_EMPHYSEMA,365,0.031 [0.028-0.03],1.207e-92,***,Emphysema,Respiratory
C3_BRONCHUS_LUNG,574,0.030 [0.026-0.03],1.570e-51,***,Malignant neoplasm of bronchus and lung,Neoplasms
N14_NEUROMUSCDYSBLADD,98,0.030 [0.019-0.04],0.021,*,Neuromuscular dysfunction of bladder,Genitourinary
H7_PTOSIS,64,0.029 [0.020-0.04],5.821e-06,***,Ptosis of eyelid,Eye and adnexa
C3_LUNG_NONSMALL,527,0.028 [0.025-0.03],3.839e-57,***,Non-small cell lung cancer,Neoplasms
O15_PREG_OTHER_MAT_DISORD,1961,0.028 [0.021-0.04],8.491e-08,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
M13_SYNOTEND,1267,0.028 [0.019-0.04],9.493e-04,***,Disorders of synovium and tendon,Musculoskeletal
J10_PNEUMOTHORAX,46,0.027 [0.020-0.03],1.131e-06,***,Pneumothorax,Respiratory
I9_OTHARR,798,0.027 [0.021-0.03],3.239e-13,***,Other arrhythmias,Circulatory
CD2_BENIGN_MELANOCYTIC,521,0.026 [0.019-0.03],2.923e-09,***,Melanocytic naevi,Neoplasms
L12_ROSACEANAS,82,0.024 [0.018-0.03],7.677e-09,***,Other and unspecified rosacea,Skin
CD2_BENIGN_OVARY,144,0.024 [0.017-0.03],4.572e-06,***,Benign neoplasm of ovary,Neoplasms
F5_PTSD,319,0.023 [0.017-0.03],2.027e-07,***,Post-traumatic stress disorder,Mental and behavioural
KRA_PSY_SPEELING,150,0.022 [0.015-0.03],4.227e-05,***,Speech and linguistic disorders,Mental and behavioural
N14_BREAST,659,0.022 [0.016-0.03],5.080e-09,***,Disorders of breast,Genitourinary
K11_GULC,244,0.020 [0.014-0.03],5.001e-05,***,Gastric ulcer,Digestive
N14_CALCUKIDUR,1321,0.020 [0.017-0.02],2.111e-28,***,Calculus of kidney and ureter,Genitourinary
I9_CEREBDOTH,105,0.018 [0.012-0.02],4.688e-04,***,"Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere",Circulatory
I9_ABAORTANEUR,210,0.017 [0.012-0.02],8.733e-05,***,Abdominal aortic aneurysm (AAA),Circulatory
N14_PHIMOSIS,4306,0.017 [0.015-0.02],4.660e-48,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
M13_SYSTSLCE,1075,0.017 [0.014-0.02],1.720e-24,***,Systemic sclerosis,Musculoskeletal
M13_POLYMYALGIA,4532,0.017 [0.014-0.02],1.033e-23,***,Polymyalgia rheumatica,Musculoskeletal
CD2_BENIGN_LEIOMYOMA_UTERI,9080,0.017 [0.015-0.02],1.930e-63,***,Leiomyoma of uterus,Neoplasms
L12_LICHSIMPANDPRURIGO,167,0.016 [0.013-0.02],6.912e-13,***,Lichen simplex chronicus and prurigo,Skin
C3_ANUS_ANALCANAL,76,0.016 [0.014-0.02],2.331e-28,***,Malignant neoplasm of anus and anal canal,Neoplasms
E4_HYPERPIT,147,0.016 [0.012-0.02],6.978e-08,***,Hyperfunction of pituitary gland,Endocrine and metabolic
C3_OTHER_SKIN,9911,0.016 [0.013-0.02],1.259e-19,***,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
