Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1338,0.1312,Creatinine
HDL-C,0.0698,0.1065,HDL Cholesterol
Acetate,0.0505,0.0678,Acetate
S-HDL-CE,0.0557,0.0495,Cholesteryl Esters in Small HDL
Tyr,0.0442,0.0410,Tyrosine
Citrate,0.0323,0.0374,Citrate
His,0.0347,0.0370,Histidine
Lactate,0.0378,0.0350,Lactate
M-HDL-PL,0.0360,0.0309,Phospholipids in Medium HDL
XL-HDL-CE%,0.0345,0.0296,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Pyruvate,0.0323,0.0285,Pyruvate
S-HDL-C,0.0235,0.0270,Cholesterol in Small HDL
SFA%,0.0340,0.0258,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.0215,0.0245,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-PL%,0.0258,0.0227,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-CE%,0.0282,0.0222,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,0.0247,0.0198,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
3-Hydroxybutyrate,0.0173,0.0154,3-Hydroxybutyrate
XS-VLDL-PL%,0.0155,0.0151,Phospholipids to Total-Lipids in Very Small VLDL percentage
Val,0.0147,0.0142,Valine
L-LDL-CE%,0.0133,0.0127,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Acetone,0.0127,0.0127,Acetone
Albumin,0.0168,0.0118,Albumin
Total-BCAA,0.0123,0.0116,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0107,0.0109,Isoleucine
Gly,0.0082,0.0108,Glycine
S-HDL-FC%,0.0102,0.0105,Free Cholesterol to Total-Lipids in Small HDL percentage
Gln,0.0092,0.0105,Glutamine
DHA%,0.0135,0.0095,Docosahexaenoic Acid to Total-Fatty Acids percentage
Phe,0.0107,0.0095,Phenylalanine
M-LDL-PL%,0.0085,0.0088,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-FC%,0.0053,0.0088,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-TG,0.0093,0.0083,Triglycerides in Chylomicrons and Extremely Large VLDL
IDL-PL%,0.0093,0.0081,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-CE%,0.0065,0.0076,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,0.0093,0.0074,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-CE,0.0055,0.0046,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Omega-3%,0.0072,0.0045,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-C%,0.0032,0.0044,Cholesterol to Total-Lipids in IDL percentage
Glu-lactate,0.0045,0.0040,Glucose-lactate
M-LDL-FC%,0.0017,0.0038,Free Cholesterol to Total-Lipids in Medium LDL percentage
GlycA,0.0055,0.0038,Glycoprotein Acetyls
XL-HDL-FC%,0.0037,0.0037,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG,0.0038,0.0033,Triglycerides in Large HDL
Sc-ala,0.0020,0.0031,Spectrometer-corrected alanine
Glu,0.0027,0.0029,Glucose
L-HDL-FC%,0.0033,0.0028,Free Cholesterol to Total-Lipids in Large HDL percentage
Acetoacetate,0.0025,0.0026,Acetoacetate
Ala,0.0033,0.0024,Alanine
L-LDL-PL%,0.0015,0.0018,Phospholipids to Total-Lipids in Large LDL percentage
LDL-size,0.0018,0.0018,Average Diameter for LDL Particles
L-VLDL-PL%,0.0028,0.0016,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-CE%,0.0025,0.0016,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.0023,0.0014,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-FC%,0.0028,0.0014,Free Cholesterol to Total-Lipids in Large VLDL percentage
Leu,0.0013,0.0007,Leucine
SFA,0.0007,0.0007,Saturated Fatty Acids
PUFA%,0.0005,0.0005,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-C%,0.0003,0.0005,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC%,0.0005,0.0004,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,0.0005,0.0004,Triglycerides to Total-Lipids in Very Large HDL percentage
S-HDL-PL,0.0002,0.0004,Phospholipids in Small HDL
XXL-VLDL-TG%,0.0005,0.0002,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA/MUFA,0.0002,0.0002,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
