Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1923,0.3362,Creatinine
Gly,0.0977,0.0590,Glycine
Gln,0.0717,0.0559,Glutamine
XL-VLDL-PL%,0.0467,0.0550,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-HDL-PL,0.0482,0.0457,Phospholipids in Medium HDL
L-HDL-FC%,0.0593,0.0408,Free Cholesterol to Total-Lipids in Large HDL percentage
DHA%,0.0392,0.0337,Docosahexaenoic Acid to Total-Fatty Acids percentage
Acetate,0.0298,0.0245,Acetate
His,0.0295,0.0238,Histidine
HDL-PL,0.0213,0.0231,Phospholipids in HDL
S-HDL-PL%,0.0222,0.0224,Phospholipids to Total-Lipids in Small HDL percentage
XXL-VLDL-CE%,0.0178,0.0171,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Citrate,0.0220,0.0169,Citrate
Ile,0.0205,0.0158,Isoleucine
Acetone,0.0137,0.0130,Acetone
SFA%,0.0100,0.0128,Saturated Fatty Acids to Total-Fatty Acids percentage
Pyruvate,0.0152,0.0112,Pyruvate
Albumin,0.0135,0.0112,Albumin
LDL-size,0.0118,0.0111,Average Diameter for LDL Particles
XS-VLDL-PL%,0.0107,0.0110,Phospholipids to Total-Lipids in Very Small VLDL percentage
Glu,0.0193,0.0107,Glucose
Glu-lactate,0.0150,0.0094,Glucose-lactate
XL-HDL-FC%,0.0132,0.0092,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Acetoacetate,0.0175,0.0090,Acetoacetate
DHA,0.0105,0.0077,Docosahexaenoic Acid
IDL-TG,0.0070,0.0075,Triglycerides in IDL
L-LDL-CE%,0.0073,0.0072,Cholesteryl Esters to Total-Lipids in Large LDL percentage
GlycA,0.0078,0.0070,Glycoprotein Acetyls
XXL-VLDL-PL%,0.0048,0.0059,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
PUFA%,0.0082,0.0059,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.0088,0.0058,Free Cholesterol in Very Large HDL
Unsaturation,0.0050,0.0054,Degree of Unsaturation
Tyr,0.0060,0.0052,Tyrosine
ApoA1,0.0060,0.0047,Apolipoprotein A1
L-HDL-TG,0.0063,0.0046,Triglycerides in Large HDL
XL-VLDL-FC%,0.0062,0.0043,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Ala,0.0020,0.0042,Alanine
Leu,0.0025,0.0038,Leucine
IDL-FC%,0.0042,0.0036,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-TG%,0.0083,0.0033,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Sc-ala,0.0035,0.0032,Spectrometer-corrected alanine
HDL-size,0.0020,0.0032,Average Diameter for HDL Particles
Phe,0.0030,0.0030,Phenylalanine
M-LDL-CE%,0.0032,0.0029,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,0.0027,0.0028,Phospholipids to Total-Lipids in Large VLDL percentage
Omega-6%,0.0038,0.0028,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-C%,0.0027,0.0020,Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-FC%,0.0020,0.0019,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-PL%,0.0022,0.0017,Phospholipids to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0015,0.0016,3-Hydroxybutyrate
LA%,0.0018,0.0014,Linoleic Acid to Total-Fatty Acids percentage
M-HDL-FC%,0.0035,0.0013,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-FC%,0.0007,0.0012,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-PL%,0.0007,0.0012,Phospholipids to Total-Lipids in IDL percentage
IDL-CE%,0.0010,0.0011,Cholesteryl Esters to Total-Lipids in IDL percentage
Val,0.0013,0.0010,Valine
Total-BCAA,0.0020,0.0009,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
HDL-FC,0.0017,0.0005,Free Cholesterol in HDL
M-LDL-TG%,0.0003,0.0004,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-PL,0.0002,0.0003,Phospholipids in Large LDL
L-VLDL-TG,0.0003,0.0003,Triglycerides in Large VLDL
XL-HDL-TG,0.0005,0.0002,Triglycerides in Very Large HDL
L-VLDL-FC%,0.0003,0.0002,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-FC%,0.0002,0.0002,Free Cholesterol to Total-Lipids in Small VLDL percentage
