Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2780,0.2419,Glycoprotein Acetyls
Albumin,0.2120,0.2165,Albumin
IDL-CE%,0.0650,0.1499,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-CE,0.0532,0.0891,Cholesteryl Esters in IDL
Sc-ala,0.0657,0.0494,Spectrometer-corrected alanine
Glu,0.0420,0.0428,Glucose
Glu-lactate,0.0438,0.0361,Glucose-lactate
Val,0.0482,0.0315,Valine
S-LDL-CE,0.0310,0.0262,Cholesteryl Esters in Small LDL
M-VLDL-L,0.0298,0.0247,Total-Lipids in Medium VLDL
L-LDL-C%,0.0140,0.0226,Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-CE%,0.0298,0.0184,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-LDL-FC,0.0057,0.0088,Free Cholesterol in Large LDL
Remnant-C,0.0123,0.0064,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-C%,0.0148,0.0063,Cholesterol to Total-Lipids in Small LDL percentage
PUFA,0.0092,0.0045,Polyunsaturated Fatty Acids
XL-VLDL-CE,0.0055,0.0029,Cholesteryl Esters in Very Large VLDL
LA,0.0055,0.0027,Linoleic Acid
Total-BCAA,0.0052,0.0027,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-C,0.0017,0.0025,Cholesterol in IDL
M-LDL-C,0.0013,0.0024,Cholesterol in Medium LDL
Creatinine,0.0067,0.0024,Creatinine
Omega-3,0.0035,0.0017,Omega-3 Fatty Acids
L-LDL-P,0.0020,0.0014,Concentration of Large LDL Particles
Omega-6,0.0028,0.0014,Omega-6 Fatty Acids
Citrate,0.0028,0.0014,Citrate
Tyr,0.0033,0.0012,Tyrosine
LDL-C,0.0008,0.0010,LDL Cholesterol
3-Hydroxybutyrate,0.0020,0.0007,3-Hydroxybutyrate
VLDL-size,0.0012,0.0006,Average Diameter for VLDL Particles
Leu,0.0008,0.0003,Leucine
XXL-VLDL-CE%,0.0003,0.0002,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
