Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Glu-lactate,0.2230,0.2712,Glucose-lactate
XS-VLDL-CE%,0.0940,0.2293,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,0.0405,0.0898,Triglycerides to Total-Lipids in Large LDL percentage
Glu,0.0795,0.0839,Glucose
L-HDL-PL%,0.0552,0.0592,Phospholipids to Total-Lipids in Large HDL percentage
IDL-CE,0.0400,0.0501,Cholesteryl Esters in IDL
S-LDL-CE%,0.0972,0.0467,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-CE%,0.0512,0.0295,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.0497,0.0264,Cholesterol to Total-Lipids in Large LDL percentage
Total-CE,0.0347,0.0208,Total-Esterified Cholesterol
IDL-L,0.0070,0.0138,Total-Lipids in IDL
Gly,0.0477,0.0123,Glycine
IDL-C,0.0100,0.0085,Cholesterol in IDL
XL-HDL-FC%,0.0250,0.0076,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG,0.0155,0.0076,Triglycerides in Large HDL
3-Hydroxybutyrate,0.0140,0.0060,3-Hydroxybutyrate
Sc-ala,0.0223,0.0057,Spectrometer-corrected alanine
XS-VLDL-PL%,0.0128,0.0046,Phospholipids to Total-Lipids in Very Small VLDL percentage
Creatinine,0.0072,0.0041,Creatinine
L-HDL-CE,0.0133,0.0038,Cholesteryl Esters in Large HDL
LA%,0.0068,0.0024,Linoleic Acid to Total-Fatty Acids percentage
Acetate,0.0052,0.0022,Acetate
L-HDL-P,0.0060,0.0021,Concentration of Large HDL Particles
IDL-FC%,0.0063,0.0020,Free Cholesterol to Total-Lipids in IDL percentage
Albumin,0.0087,0.0018,Albumin
L-LDL-PL%,0.0018,0.0013,Phospholipids to Total-Lipids in Large LDL percentage
Lactate,0.0035,0.0013,Lactate
Citrate,0.0038,0.0010,Citrate
Gln,0.0042,0.0010,Glutamine
GlycA,0.0040,0.0010,Glycoprotein Acetyls
S-LDL-PL%,0.0020,0.0005,Phospholipids to Total-Lipids in Small LDL percentage
IDL-TG%,0.0007,0.0005,Triglycerides to Total-Lipids in IDL percentage
IDL-C%,0.0005,0.0004,Cholesterol to Total-Lipids in IDL percentage
M-HDL-PL%,0.0013,0.0004,Phospholipids to Total-Lipids in Medium HDL percentage
Tyr,0.0013,0.0003,Tyrosine
His,0.0010,0.0002,Histidine
LDL-size,0.0008,0.0002,Average Diameter for LDL Particles
Phe,0.0003,0.0002,Phenylalanine
Unsaturation,0.0005,0.0002,Degree of Unsaturation
XS-VLDL-FC%,0.0008,0.0001,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetoacetate,0.0005,8.7237e-05,Acetoacetate
Pyruvate,0.0002,3.2304e-05,Pyruvate
