Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0873,0.0689,Albumin
Citrate,0.0517,0.0638,Citrate
S-LDL-CE%,0.0520,0.0590,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Acetoacetate,0.0520,0.0500,Acetoacetate
Tyr,0.0420,0.0455,Tyrosine
Creatinine,0.0463,0.0447,Creatinine
Acetate,0.0737,0.0436,Acetate
DHA%,0.0307,0.0403,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-C%,0.0483,0.0384,Cholesterol to Total-Lipids in IDL percentage
His,0.0267,0.0336,Histidine
Gln,0.0258,0.0316,Glutamine
Glu,0.0358,0.0309,Glucose
Gly,0.0315,0.0302,Glycine
LA%,0.0290,0.0279,Linoleic Acid to Total-Fatty Acids percentage
GlycA,0.0283,0.0213,Glycoprotein Acetyls
L-LDL-C%,0.0190,0.0208,Cholesterol to Total-Lipids in Large LDL percentage
Phe,0.0158,0.0205,Phenylalanine
XL-HDL-CE%,0.0195,0.0204,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
LDL-size,0.0217,0.0203,Average Diameter for LDL Particles
Ala,0.0128,0.0192,Alanine
Omega-6/Omega-3,0.0120,0.0191,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA,0.0168,0.0184,Linoleic Acid
3-Hydroxybutyrate,0.0235,0.0184,3-Hydroxybutyrate
MUFA%,0.0137,0.0181,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0113,0.0144,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-TG,0.0132,0.0127,Triglycerides in Large HDL
XXL-VLDL-PL%,0.0108,0.0122,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Pyruvate,0.0145,0.0122,Pyruvate
Ile,0.0135,0.0116,Isoleucine
IDL-PL%,0.0132,0.0109,Phospholipids to Total-Lipids in IDL percentage
Omega-3%,0.0072,0.0104,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0112,0.0104,Lactate
M-LDL-PL%,0.0068,0.0104,Phospholipids to Total-Lipids in Medium LDL percentage
Acetone,0.0073,0.0087,Acetone
L-LDL-PL%,0.0072,0.0077,Phospholipids to Total-Lipids in Large LDL percentage
S-VLDL-PL%,0.0065,0.0076,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-CE%,0.0070,0.0073,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.0083,0.0068,Cholesterol to Total-Lipids in Medium LDL percentage
Glu-lactate,0.0055,0.0067,Glucose-lactate
ApoB/ApoA1,0.0045,0.0061,Apolipoprotein B to Apolipoprotein A1 ratio
Val,0.0038,0.0049,Valine
IDL-TG,0.0032,0.0044,Triglycerides in IDL
XXL-VLDL-FC%,0.0037,0.0041,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-PL,0.0045,0.0038,Phospholipids in Very Large HDL
L-VLDL-FC%,0.0038,0.0035,Free Cholesterol to Total-Lipids in Large VLDL percentage
Sc-ala,0.0018,0.0035,Spectrometer-corrected alanine
XXL-VLDL-CE%,0.0025,0.0029,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE%,0.0032,0.0026,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Leu,0.0027,0.0022,Leucine
M-LDL-CE%,0.0010,0.0020,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.0018,0.0015,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-PL%,0.0017,0.0015,Phospholipids to Total-Lipids in Small HDL percentage
Total-BCAA,0.0010,0.0010,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Unsaturation,0.0007,0.0006,Degree of Unsaturation
DHA,0.0007,0.0004,Docosahexaenoic Acid
