Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Acetone,0.0893,0.0756,Acetone
LA%,0.0762,0.0732,Linoleic Acid to Total-Fatty Acids percentage
His,0.0790,0.0665,Histidine
Acetate,0.0483,0.0539,Acetate
XXL-VLDL-TG%,0.0485,0.0496,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0455,0.0406,Valine
Gln,0.0370,0.0338,Glutamine
LDL-size,0.0327,0.0319,Average Diameter for LDL Particles
GlycA,0.0333,0.0290,Glycoprotein Acetyls
HDL-L,0.0228,0.0270,Total-Lipids in HDL
Pyruvate,0.0225,0.0247,Pyruvate
XL-HDL-FC,0.0213,0.0238,Free Cholesterol in Very Large HDL
Ile,0.0130,0.0235,Isoleucine
M-LDL-TG%,0.0235,0.0224,Triglycerides to Total-Lipids in Medium LDL percentage
Albumin,0.0317,0.0221,Albumin
Tyr,0.0182,0.0184,Tyrosine
Gly,0.0195,0.0181,Glycine
XXL-VLDL-FC%,0.0150,0.0176,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-FC%,0.0110,0.0175,Free Cholesterol to Total-Lipids in Large VLDL percentage
SFA%,0.0130,0.0159,Saturated Fatty Acids to Total-Fatty Acids percentage
ApoA1,0.0115,0.0151,Apolipoprotein A1
L-VLDL-TG%,0.0122,0.0143,Triglycerides to Total-Lipids in Large VLDL percentage
IDL-PL%,0.0088,0.0133,Phospholipids to Total-Lipids in IDL percentage
Phe,0.0108,0.0132,Phenylalanine
IDL-FC%,0.0123,0.0132,Free Cholesterol to Total-Lipids in IDL percentage
Leu,0.0110,0.0120,Leucine
Ala,0.0092,0.0119,Alanine
Citrate,0.0132,0.0116,Citrate
L-LDL-CE%,0.0117,0.0112,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-3%,0.0120,0.0107,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE%,0.0118,0.0105,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-PL%,0.0098,0.0098,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-C%,0.0097,0.0089,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Creatinine,0.0092,0.0088,Creatinine
PUFA%,0.0038,0.0085,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-PL%,0.0087,0.0080,Phospholipids to Total-Lipids in Large LDL percentage
Omega-3,0.0055,0.0079,Omega-3 Fatty Acids
Lactate,0.0058,0.0079,Lactate
3-Hydroxybutyrate,0.0073,0.0078,3-Hydroxybutyrate
LA,0.0065,0.0074,Linoleic Acid
Acetoacetate,0.0087,0.0071,Acetoacetate
XXL-VLDL-CE,0.0083,0.0071,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-HDL-C%,0.0067,0.0067,Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,0.0095,0.0067,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-C%,0.0065,0.0063,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-PL%,0.0058,0.0061,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.0072,0.0059,Free Cholesterol to Total-Lipids in Large LDL percentage
Unsaturation,0.0037,0.0056,Degree of Unsaturation
S-LDL-CE%,0.0055,0.0055,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Glu-lactate,0.0047,0.0049,Glucose-lactate
XS-VLDL-FC%,0.0043,0.0042,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,0.0048,0.0041,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-CE%,0.0047,0.0039,Cholesteryl Esters to Total-Lipids in IDL percentage
L-VLDL-PL%,0.0027,0.0030,Phospholipids to Total-Lipids in Large VLDL percentage
Sc-ala,0.0023,0.0029,Spectrometer-corrected alanine
M-LDL-PL%,0.0030,0.0027,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-PL%,0.0035,0.0026,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-C%,0.0023,0.0024,Cholesterol to Total-Lipids in Large LDL percentage
DHA%,0.0018,0.0024,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,0.0032,0.0023,Docosahexaenoic Acid
MUFA%,0.0018,0.0023,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-FC%,0.0017,0.0020,Free Cholesterol to Total-Lipids in Large HDL percentage
Glu,0.0015,0.0019,Glucose
Total-BCAA,0.0017,0.0015,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-CE%,0.0005,0.0010,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-FC%,0.0008,0.0009,Free Cholesterol to Total-Lipids in Medium HDL percentage
VLDL-size,0.0007,0.0009,Average Diameter for VLDL Particles
