Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2927,0.2924,Creatinine
PC,0.0827,0.2243,Phosphatidylcholines
HDL-PL,0.0362,0.1006,Phospholipids in HDL
GlycA,0.1255,0.0646,Glycoprotein Acetyls
Omega-3,0.0705,0.0616,Omega-3 Fatty Acids
Albumin,0.0638,0.0373,Albumin
Leu,0.0478,0.0232,Leucine
L-HDL-TG,0.0277,0.0213,Triglycerides in Large HDL
Citrate,0.0342,0.0179,Citrate
L-LDL-C%,0.0300,0.0159,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-C%,0.0258,0.0155,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-L,0.0078,0.0149,Total-Lipids in Medium HDL
M-HDL-FC,0.0145,0.0141,Free Cholesterol in Medium HDL
DHA,0.0198,0.0131,Docosahexaenoic Acid
HDL-FC,0.0083,0.0122,Free Cholesterol in HDL
Gly,0.0315,0.0110,Glycine
L-HDL-PL,0.0070,0.0088,Phospholipids in Large HDL
XL-HDL-FC%,0.0075,0.0084,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-PL%,0.0102,0.0050,Phospholipids to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,0.0077,0.0048,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-HDL-PL,0.0028,0.0044,Phospholipids in Medium HDL
S-HDL-CE%,0.0038,0.0043,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Glu,0.0073,0.0042,Glucose
His,0.0063,0.0033,Histidine
Phosphoglyc,0.0025,0.0030,Phosphoglycerides
XS-VLDL-FC,0.0043,0.0025,Free Cholesterol in Very Small VLDL
Acetate,0.0053,0.0022,Acetate
XXL-VLDL-PL%,0.0032,0.0019,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-PL%,0.0035,0.0017,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-TG,0.0015,0.0012,Triglycerides in Medium HDL
L-LDL-CE%,0.0027,0.0011,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Tyr,0.0015,0.0008,Tyrosine
VLDL-size,0.0012,0.0007,Average Diameter for VLDL Particles
XXL-VLDL-FC%,0.0008,0.0006,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0008,0.0004,Glutamine
Glu-lactate,0.0005,0.0002,Glucose-lactate
IDL-TG,0.0003,0.0002,Triglycerides in IDL
SFA%,0.0002,5.9476e-05,Saturated Fatty Acids to Total-Fatty Acids percentage
Pyruvate,0.0002,4.8965e-05,Pyruvate
