Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Pyruvate,0.0498,0.0481,Pyruvate
Acetoacetate,0.0738,0.0443,Acetoacetate
His,0.0358,0.0419,Histidine
Leu,0.0380,0.0410,Leucine
IDL-FC%,0.0357,0.0407,Free Cholesterol to Total-Lipids in IDL percentage
Sc-ala,0.0422,0.0402,Spectrometer-corrected alanine
Ala,0.0210,0.0388,Alanine
Albumin,0.0403,0.0356,Albumin
SFA%,0.0492,0.0347,Saturated Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0200,0.0319,Lactate
Citrate,0.0203,0.0309,Citrate
3-Hydroxybutyrate,0.0435,0.0302,3-Hydroxybutyrate
IDL-CE%,0.0413,0.0299,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.0265,0.0263,Linoleic Acid to Total-Fatty Acids percentage
Glu,0.0330,0.0262,Glucose
Ile,0.0127,0.0239,Isoleucine
Creatinine,0.0293,0.0238,Creatinine
Acetone,0.0248,0.0232,Acetone
Val,0.0235,0.0219,Valine
LDL-size,0.0205,0.0214,Average Diameter for LDL Particles
DHA,0.0185,0.0194,Docosahexaenoic Acid
Acetate,0.0208,0.0172,Acetate
MUFA%,0.0143,0.0164,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-FC%,0.0058,0.0162,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-PL%,0.0062,0.0162,Phospholipids to Total-Lipids in Large LDL percentage
Tyr,0.0118,0.0162,Tyrosine
XL-HDL-TG%,0.0048,0.0158,Triglycerides to Total-Lipids in Very Large HDL percentage
Gly,0.0065,0.0116,Glycine
M-LDL-PL%,0.0113,0.0111,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-CE%,0.0182,0.0111,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Omega-6/Omega-3,0.0120,0.0109,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,0.0100,0.0108,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-TG%,0.0183,0.0101,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,0.0042,0.0075,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-C%,0.0052,0.0074,Cholesterol to Total-Lipids in IDL percentage
L-LDL-CE%,0.0080,0.0068,Cholesteryl Esters to Total-Lipids in Large LDL percentage
IDL-PL%,0.0023,0.0068,Phospholipids to Total-Lipids in IDL percentage
XL-HDL-C%,0.0115,0.0063,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE%,0.0052,0.0058,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-FC%,0.0080,0.0057,Free Cholesterol to Total-Lipids in Very Large HDL percentage
HDL-P,0.0022,0.0057,Concentration of HDL Particles
IDL-P,0.0038,0.0055,Concentration of IDL Particles
S-LDL-PL,0.0038,0.0053,Phospholipids in Small LDL
PUFA,0.0013,0.0052,Polyunsaturated Fatty Acids
L-HDL-PL%,0.0015,0.0052,Phospholipids to Total-Lipids in Large HDL percentage
Omega-3,0.0072,0.0052,Omega-3 Fatty Acids
L-HDL-CE%,0.0072,0.0050,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-C%,0.0037,0.0050,Cholesterol to Total-Lipids in Small HDL percentage
GlycA,0.0075,0.0048,Glycoprotein Acetyls
Omega-6%,0.0078,0.0048,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-CE%,0.0053,0.0047,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Gln,0.0072,0.0047,Glutamine
Total-BCAA,0.0068,0.0042,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-CE%,0.0017,0.0038,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.0037,0.0037,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-PL%,0.0022,0.0035,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-FC%,0.0043,0.0033,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-P,0.0050,0.0031,Concentration of Medium LDL Particles
S-HDL-CE,0.0030,0.0031,Cholesteryl Esters in Small HDL
XS-VLDL-PL%,0.0032,0.0031,Phospholipids to Total-Lipids in Very Small VLDL percentage
Phe,0.0020,0.0030,Phenylalanine
S-HDL-PL%,0.0035,0.0028,Phospholipids to Total-Lipids in Small HDL percentage
Omega-3%,0.0040,0.0028,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,0.0042,0.0024,Phospholipids to Total-Lipids in Small LDL percentage
S-LDL-CE%,0.0023,0.0023,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-CE,0.0012,0.0020,Total-Esterified Cholesterol
S-HDL-PL,0.0023,0.0018,Phospholipids in Small HDL
Omega-6,0.0013,0.0017,Omega-6 Fatty Acids
M-HDL-TG,0.0008,0.0017,Triglycerides in Medium HDL
M-HDL-C%,0.0013,0.0016,Cholesterol to Total-Lipids in Medium HDL percentage
XXL-VLDL-C%,0.0012,0.0015,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,0.0007,0.0012,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-TG,0.0012,0.0010,Triglycerides in Large HDL
S-LDL-C%,0.0010,0.0007,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-L,0.0003,0.0005,Total-Lipids in Large HDL
