Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.1917,0.2738,Glycoprotein Acetyls
Creatinine,0.2093,0.2004,Creatinine
XL-HDL-C%,0.0698,0.0835,Cholesterol to Total-Lipids in Very Large HDL percentage
Leu,0.0835,0.0605,Leucine
L-HDL-TG,0.0462,0.0523,Triglycerides in Large HDL
Albumin,0.0630,0.0412,Albumin
XL-HDL-PL%,0.0268,0.0348,Phospholipids to Total-Lipids in Very Large HDL percentage
LA%,0.0385,0.0288,Linoleic Acid to Total-Fatty Acids percentage
Omega-3,0.0297,0.0281,Omega-3 Fatty Acids
Total-BCAA,0.0287,0.0255,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Omega-3%,0.0390,0.0252,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-size,0.0183,0.0238,Average Diameter for HDL Particles
L-HDL-PL,0.0222,0.0197,Phospholipids in Large HDL
Omega-6/Omega-3,0.0240,0.0185,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-FC%,0.0112,0.0177,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-CE%,0.0127,0.0161,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Glu,0.0183,0.0114,Glucose
His,0.0205,0.0110,Histidine
L-LDL-TG%,0.0120,0.0085,Triglycerides to Total-Lipids in Large LDL percentage
S-LDL-C%,0.0088,0.0042,Cholesterol to Total-Lipids in Small LDL percentage
Citrate,0.0058,0.0030,Citrate
Val,0.0035,0.0021,Valine
VLDL-size,0.0028,0.0020,Average Diameter for VLDL Particles
XXL-VLDL-FC%,0.0022,0.0017,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0018,0.0015,Docosahexaenoic Acid
IDL-CE%,0.0020,0.0012,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-PL%,0.0020,0.0009,Phospholipids to Total-Lipids in IDL percentage
PC,0.0015,0.0006,Phosphatidylcholines
L-LDL-TG,0.0010,0.0005,Triglycerides in Large LDL
S-HDL-CE,0.0008,0.0004,Cholesteryl Esters in Small HDL
Lactate,0.0008,0.0003,Lactate
Gly,0.0008,0.0003,Glycine
XS-VLDL-FC%,0.0003,0.0001,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-CE,0.0002,7.8783e-05,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Acetate,0.0002,5.7323e-05,Acetate
