Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XS-VLDL-PL%,0.0598,0.0572,Phospholipids to Total-Lipids in Very Small VLDL percentage
Citrate,0.0650,0.0516,Citrate
Albumin,0.0475,0.0508,Albumin
IDL-CE%,0.0537,0.0501,Cholesteryl Esters to Total-Lipids in IDL percentage
Gly,0.0555,0.0477,Glycine
Unsaturation,0.0672,0.0462,Degree of Unsaturation
Creatinine,0.0465,0.0440,Creatinine
His,0.0227,0.0411,Histidine
Gln,0.0375,0.0394,Glutamine
Tyr,0.0178,0.0340,Tyrosine
Acetone,0.0225,0.0277,Acetone
DHA%,0.0325,0.0265,Docosahexaenoic Acid to Total-Fatty Acids percentage
Lactate,0.0208,0.0264,Lactate
XXL-VLDL-PL%,0.0230,0.0263,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-PL%,0.0347,0.0242,Phospholipids to Total-Lipids in Large LDL percentage
ApoB/ApoA1,0.0270,0.0224,Apolipoprotein B to Apolipoprotein A1 ratio
Leu,0.0243,0.0220,Leucine
Sc-ala,0.0128,0.0212,Spectrometer-corrected alanine
Phe,0.0178,0.0194,Phenylalanine
Pyruvate,0.0187,0.0186,Pyruvate
IDL-PL%,0.0193,0.0171,Phospholipids to Total-Lipids in IDL percentage
Acetoacetate,0.0120,0.0167,Acetoacetate
MUFA%,0.0090,0.0161,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-TG%,0.0208,0.0160,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
3-Hydroxybutyrate,0.0100,0.0155,3-Hydroxybutyrate
XXL-VLDL-FC%,0.0093,0.0147,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,0.0260,0.0139,Cholesterol to Total-Lipids in Medium LDL percentage
DHA,0.0058,0.0107,Docosahexaenoic Acid
Glu,0.0080,0.0098,Glucose
L-LDL-FC%,0.0095,0.0096,Free Cholesterol to Total-Lipids in Large LDL percentage
Ile,0.0050,0.0096,Isoleucine
Ala,0.0095,0.0094,Alanine
L-LDL-CE%,0.0083,0.0091,Cholesteryl Esters to Total-Lipids in Large LDL percentage
GlycA,0.0072,0.0077,Glycoprotein Acetyls
IDL-FC,0.0133,0.0077,Free Cholesterol in IDL
Val,0.0080,0.0073,Valine
M-LDL-FC,0.0097,0.0070,Free Cholesterol in Medium LDL
L-HDL-FC%,0.0075,0.0066,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-PL%,0.0048,0.0065,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-P,0.0102,0.0065,Concentration of LDL Particles
Acetate,0.0063,0.0061,Acetate
M-LDL-CE,0.0063,0.0059,Cholesteryl Esters in Medium LDL
XS-VLDL-FC%,0.0043,0.0059,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
LA%,0.0052,0.0052,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-C%,0.0032,0.0049,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-TG%,0.0070,0.0048,Triglycerides to Total-Lipids in Large VLDL percentage
Omega-3%,0.0040,0.0048,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Glu-lactate,0.0040,0.0042,Glucose-lactate
LDL-size,0.0032,0.0041,Average Diameter for LDL Particles
SFA%,0.0040,0.0040,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-C%,0.0022,0.0036,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Total-CE,0.0050,0.0034,Total-Esterified Cholesterol
L-HDL-PL%,0.0012,0.0033,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-P,0.0020,0.0033,Concentration of Very Large HDL Particles
Omega-6/Omega-3,0.0022,0.0028,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-FC%,0.0028,0.0027,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-3,0.0012,0.0027,Omega-3 Fatty Acids
S-HDL-C%,0.0017,0.0027,Cholesterol to Total-Lipids in Small HDL percentage
IDL-FC%,0.0022,0.0025,Free Cholesterol to Total-Lipids in IDL percentage
XL-VLDL-TG%,0.0025,0.0023,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-HDL-CE%,0.0020,0.0021,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,0.0035,0.0018,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-C%,0.0012,0.0015,Cholesterol to Total-Lipids in IDL percentage
M-LDL-TG%,0.0012,0.0009,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,0.0012,0.0005,Triglycerides to Total-Lipids in Small LDL percentage
