Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.1797,0.2581,Albumin
IDL-CE%,0.1020,0.0998,Cholesteryl Esters to Total-Lipids in IDL percentage
LA%,0.0762,0.0848,Linoleic Acid to Total-Fatty Acids percentage
Creatinine,0.0865,0.0838,Creatinine
Citrate,0.1042,0.0755,Citrate
Leu,0.0330,0.0460,Leucine
L-LDL-C%,0.0310,0.0314,Cholesterol to Total-Lipids in Large LDL percentage
GlycA,0.0402,0.0268,Glycoprotein Acetyls
IDL-PL%,0.0253,0.0213,Phospholipids to Total-Lipids in IDL percentage
Acetate,0.0237,0.0206,Acetate
XS-VLDL-FC%,0.0200,0.0197,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Tyr,0.0257,0.0187,Tyrosine
L-LDL-CE%,0.0228,0.0164,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gly,0.0185,0.0161,Glycine
XS-VLDL-PL%,0.0177,0.0156,Phospholipids to Total-Lipids in Very Small VLDL percentage
PUFA%,0.0165,0.0125,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Pyruvate,0.0093,0.0115,Pyruvate
PUFA/MUFA,0.0135,0.0106,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Lactate,0.0147,0.0105,Lactate
MUFA%,0.0113,0.0100,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0077,0.0092,Acetone
XL-HDL-FC,0.0105,0.0089,Free Cholesterol in Very Large HDL
LA,0.0083,0.0082,Linoleic Acid
Ile,0.0063,0.0080,Isoleucine
3-Hydroxybutyrate,0.0123,0.0075,3-Hydroxybutyrate
LDL-size,0.0112,0.0073,Average Diameter for LDL Particles
Acetoacetate,0.0062,0.0062,Acetoacetate
Phe,0.0053,0.0056,Phenylalanine
Sc-ala,0.0072,0.0054,Spectrometer-corrected alanine
Ala,0.0043,0.0042,Alanine
Val,0.0050,0.0040,Valine
Glu,0.0045,0.0036,Glucose
XXL-VLDL-PL%,0.0042,0.0035,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0038,0.0033,Glucose-lactate
M-LDL-PL%,0.0023,0.0026,Phospholipids to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.0033,0.0024,Phospholipids to Total-Lipids in Very Large VLDL percentage
L-VLDL-FC%,0.0028,0.0022,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-C%,0.0025,0.0020,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-3,0.0023,0.0019,Omega-3 Fatty Acids
His,0.0022,0.0017,Histidine
XL-HDL-TG,0.0022,0.0015,Triglycerides in Very Large HDL
XXL-VLDL-CE%,0.0027,0.0015,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0013,0.0014,Glutamine
S-LDL-C%,0.0020,0.0014,Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-PL%,0.0015,0.0013,Phospholipids to Total-Lipids in Large HDL percentage
VLDL-size,0.0008,0.0012,Average Diameter for VLDL Particles
PUFA,0.0017,0.0011,Polyunsaturated Fatty Acids
S-VLDL-CE%,0.0005,0.0009,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XXL-VLDL-TG%,0.0010,0.0008,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA%,0.0013,0.0007,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-HDL-FC%,0.0008,0.0007,Free Cholesterol to Total-Lipids in Large HDL percentage
SFA%,0.0002,9.4292e-05,Saturated Fatty Acids to Total-Fatty Acids percentage
