Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XS-VLDL-PL%,0.0693,0.1024,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,0.1052,0.0994,Glycoprotein Acetyls
Albumin,0.0813,0.0912,Albumin
L-LDL-FC,0.0395,0.0820,Free Cholesterol in Large LDL
Creatinine,0.0907,0.0713,Creatinine
Leu,0.0400,0.0475,Leucine
His,0.0572,0.0425,Histidine
LA%,0.0515,0.0364,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-C%,0.0288,0.0350,Cholesterol to Total-Lipids in Small LDL percentage
Sc-ala,0.0327,0.0305,Spectrometer-corrected alanine
L-LDL-C%,0.0285,0.0282,Cholesterol to Total-Lipids in Large LDL percentage
Glu-lactate,0.0347,0.0276,Glucose-lactate
Gly,0.0305,0.0241,Glycine
Gln,0.0200,0.0212,Glutamine
Omega-3,0.0242,0.0185,Omega-3 Fatty Acids
Val,0.0177,0.0171,Valine
Unsaturation,0.0263,0.0159,Degree of Unsaturation
SFA%,0.0177,0.0151,Saturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,0.0123,0.0141,Triglycerides to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0125,0.0123,3-Hydroxybutyrate
Lactate,0.0102,0.0116,Lactate
Glu,0.0123,0.0110,Glucose
Acetoacetate,0.0132,0.0102,Acetoacetate
Ala,0.0080,0.0087,Alanine
IDL-C,0.0047,0.0082,Cholesterol in IDL
Total-C,0.0040,0.0081,Total-Cholesterol
Acetone,0.0087,0.0080,Acetone
DHA,0.0102,0.0078,Docosahexaenoic Acid
M-LDL-C%,0.0090,0.0078,Cholesterol to Total-Lipids in Medium LDL percentage
Tyr,0.0082,0.0071,Tyrosine
S-LDL-PL%,0.0075,0.0067,Phospholipids to Total-Lipids in Small LDL percentage
M-HDL-PL%,0.0067,0.0065,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-FC%,0.0058,0.0055,Free Cholesterol to Total-Lipids in Small HDL percentage
Pyruvate,0.0067,0.0053,Pyruvate
Citrate,0.0053,0.0050,Citrate
XS-VLDL-FC%,0.0047,0.0046,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-BCAA,0.0037,0.0043,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-CE%,0.0045,0.0039,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Phe,0.0047,0.0038,Phenylalanine
DHA%,0.0057,0.0035,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.0050,0.0034,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-LDL-PL%,0.0030,0.0033,Phospholipids to Total-Lipids in Large LDL percentage
Ile,0.0037,0.0030,Isoleucine
LDL-size,0.0028,0.0023,Average Diameter for LDL Particles
Omega-3%,0.0038,0.0022,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-CE%,0.0023,0.0022,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XXL-VLDL-C%,0.0020,0.0021,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetate,0.0022,0.0021,Acetate
XXL-VLDL-FC%,0.0023,0.0018,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,0.0020,0.0017,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-TG%,0.0020,0.0017,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE%,0.0017,0.0015,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-PL%,0.0007,0.0009,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-PL%,0.0012,0.0008,Phospholipids to Total-Lipids in Large VLDL percentage
S-HDL-PL%,0.0005,0.0005,Phospholipids to Total-Lipids in Small HDL percentage
PUFA%,0.0008,0.0003,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
