Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0463,0.0626,Albumin
Omega-3,0.0565,0.0608,Omega-3 Fatty Acids
Tyr,0.0482,0.0461,Tyrosine
Citrate,0.0665,0.0448,Citrate
Glu,0.0530,0.0401,Glucose
XL-HDL-TG,0.0392,0.0394,Triglycerides in Very Large HDL
Gln,0.0463,0.0385,Glutamine
Omega-3%,0.0540,0.0379,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0323,0.0340,Creatinine
HDL-size,0.0208,0.0289,Average Diameter for HDL Particles
Phe,0.0297,0.0279,Phenylalanine
GlycA,0.0358,0.0259,Glycoprotein Acetyls
Glu-lactate,0.0227,0.0249,Glucose-lactate
Acetone,0.0217,0.0244,Acetone
Acetoacetate,0.0223,0.0241,Acetoacetate
S-LDL-FC%,0.0340,0.0191,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-PL%,0.0163,0.0187,Phospholipids to Total-Lipids in Large HDL percentage
Gly,0.0140,0.0174,Glycine
Unsaturation,0.0052,0.0164,Degree of Unsaturation
Ala,0.0095,0.0161,Alanine
His,0.0103,0.0143,Histidine
IDL-CE%,0.0203,0.0141,Cholesteryl Esters to Total-Lipids in IDL percentage
DHA%,0.0190,0.0140,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-PL%,0.0125,0.0138,Phospholipids to Total-Lipids in IDL percentage
Ile,0.0075,0.0132,Isoleucine
LA%,0.0133,0.0126,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-PL%,0.0112,0.0117,Phospholipids to Total-Lipids in Very Large HDL percentage
Omega-6/Omega-3,0.0122,0.0116,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LDL-size,0.0138,0.0105,Average Diameter for LDL Particles
XL-HDL-PL,0.0082,0.0101,Phospholipids in Very Large HDL
MUFA%,0.0095,0.0100,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-TG,0.0093,0.0098,Triglycerides in Large HDL
VLDL-size,0.0063,0.0096,Average Diameter for VLDL Particles
DHA,0.0112,0.0096,Docosahexaenoic Acid
M-LDL-C%,0.0085,0.0090,Cholesterol to Total-Lipids in Medium LDL percentage
Lactate,0.0095,0.0089,Lactate
Acetate,0.0088,0.0088,Acetate
L-LDL-PL%,0.0118,0.0088,Phospholipids to Total-Lipids in Large LDL percentage
IDL-FC%,0.0067,0.0083,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-PL%,0.0067,0.0082,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC%,0.0083,0.0080,Free Cholesterol to Total-Lipids in Very Large HDL percentage
