Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.0373,0.0594,Creatinine
Pyruvate,0.0638,0.0539,Pyruvate
Lactate,0.0295,0.0448,Lactate
Gln,0.0673,0.0438,Glutamine
Acetate,0.0337,0.0432,Acetate
Omega-3%,0.0728,0.0405,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.0508,0.0405,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-PL%,0.0340,0.0398,Phospholipids to Total-Lipids in IDL percentage
Ala,0.0295,0.0345,Alanine
GlycA,0.0215,0.0302,Glycoprotein Acetyls
LDL-size,0.0167,0.0248,Average Diameter for LDL Particles
Albumin,0.0272,0.0238,Albumin
Sc-ala,0.0125,0.0237,Spectrometer-corrected alanine
Gly,0.0125,0.0231,Glycine
IDL-CE%,0.0225,0.0229,Cholesteryl Esters to Total-Lipids in IDL percentage
Glu,0.0167,0.0217,Glucose
Acetone,0.0232,0.0209,Acetone
M-LDL-C%,0.0132,0.0201,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-TG,0.0228,0.0178,Triglycerides in Very Large HDL
Leu,0.0407,0.0178,Leucine
XL-VLDL-PL%,0.0235,0.0174,Phospholipids to Total-Lipids in Very Large VLDL percentage
Acetoacetate,0.0123,0.0170,Acetoacetate
SFA%,0.0117,0.0169,Saturated Fatty Acids to Total-Fatty Acids percentage
Citrate,0.0113,0.0164,Citrate
Glu-lactate,0.0188,0.0141,Glucose-lactate
L-VLDL-TG%,0.0198,0.0140,Triglycerides to Total-Lipids in Large VLDL percentage
3-Hydroxybutyrate,0.0072,0.0130,3-Hydroxybutyrate
Val,0.0163,0.0118,Valine
Tyr,0.0087,0.0115,Tyrosine
Ile,0.0148,0.0111,Isoleucine
S-HDL-FC%,0.0112,0.0107,Free Cholesterol to Total-Lipids in Small HDL percentage
VLDL-size,0.0160,0.0107,Average Diameter for VLDL Particles
L-LDL-CE%,0.0068,0.0104,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Phe,0.0060,0.0097,Phenylalanine
His,0.0092,0.0096,Histidine
Clinical_LDL-C,0.0068,0.0087,
S-LDL-C%,0.0060,0.0084,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.0073,0.0074,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-TG%,0.0127,0.0072,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-PL,0.0098,0.0066,Phospholipids in Small LDL
L-HDL-PL%,0.0070,0.0065,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-P,0.0088,0.0063,Concentration of Medium LDL Particles
S-LDL-FC%,0.0020,0.0063,Free Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-PL%,0.0020,0.0063,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-PL,0.0032,0.0061,Phospholipids in Very Large HDL
XXL-VLDL-FC%,0.0042,0.0061,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-VLDL-CE,0.0112,0.0059,Cholesteryl Esters in Medium VLDL
L-LDL-PL%,0.0032,0.0059,Phospholipids to Total-Lipids in Large LDL percentage
PUFA%,0.0020,0.0058,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,0.0020,0.0043,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-VLDL-FC,0.0077,0.0043,Free Cholesterol in Small VLDL
HDL-P,0.0008,0.0041,Concentration of HDL Particles
Omega-6%,0.0030,0.0040,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-TG,0.0022,0.0039,Triglycerides in Chylomicrons and Extremely Large VLDL
PUFA,0.0052,0.0038,Polyunsaturated Fatty Acids
M-HDL-C,0.0040,0.0035,Cholesterol in Medium HDL
XXL-VLDL-CE%,0.0040,0.0033,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C,0.0055,0.0033,Cholesterol in Large HDL
Total-BCAA,0.0032,0.0033,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XS-VLDL-PL%,0.0027,0.0032,Phospholipids to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,0.0055,0.0031,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,0.0035,0.0031,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-TG%,0.0022,0.0030,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-TG%,0.0048,0.0029,Triglycerides to Total-Lipids in Very Large VLDL percentage
Cholines,0.0065,0.0028,Total-Cholines
PUFA/MUFA,0.0022,0.0019,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-PL%,0.0012,0.0017,Phospholipids to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.0005,0.0014,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Unsaturation,0.0008,0.0013,Degree of Unsaturation
L-VLDL-FC%,0.0025,0.0013,Free Cholesterol to Total-Lipids in Large VLDL percentage
IDL-FC%,0.0012,0.0006,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-TG%,0.0007,0.0006,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-PL,0.0003,0.0001,Phospholipids in Small HDL
