Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
His,0.0408,0.0537,Histidine
Ile,0.0382,0.0439,Isoleucine
Leu,0.0278,0.0415,Leucine
IDL-PL%,0.0363,0.0413,Phospholipids to Total-Lipids in IDL percentage
Citrate,0.0477,0.0391,Citrate
Phe,0.0330,0.0367,Phenylalanine
Albumin,0.0553,0.0355,Albumin
IDL-CE%,0.0407,0.0351,Cholesteryl Esters to Total-Lipids in IDL percentage
DHA%,0.0430,0.0340,Docosahexaenoic Acid to Total-Fatty Acids percentage
Tyr,0.0352,0.0339,Tyrosine
Omega-6/Omega-3,0.0400,0.0311,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-FC%,0.0400,0.0304,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
3-Hydroxybutyrate,0.0185,0.0299,3-Hydroxybutyrate
MUFA%,0.0375,0.0289,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Val,0.0343,0.0286,Valine
Sc-ala,0.0252,0.0254,Spectrometer-corrected alanine
L-LDL-CE%,0.0232,0.0249,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Ala,0.0218,0.0241,Alanine
Gly,0.0267,0.0239,Glycine
Unsaturation,0.0290,0.0236,Degree of Unsaturation
Acetone,0.0157,0.0208,Acetone
Gln,0.0163,0.0203,Glutamine
GlycA,0.0155,0.0201,Glycoprotein Acetyls
XL-VLDL-FC%,0.0202,0.0189,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Acetate,0.0132,0.0176,Acetate
S-LDL-C%,0.0168,0.0175,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-FC%,0.0140,0.0161,Free Cholesterol to Total-Lipids in Small HDL percentage
LDL-size,0.0125,0.0156,Average Diameter for LDL Particles
L-HDL-PL%,0.0130,0.0148,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-PL%,0.0152,0.0136,Phospholipids to Total-Lipids in Very Large VLDL percentage
Acetoacetate,0.0128,0.0126,Acetoacetate
Creatinine,0.0070,0.0126,Creatinine
Pyruvate,0.0133,0.0123,Pyruvate
XL-HDL-TG%,0.0115,0.0097,Triglycerides to Total-Lipids in Very Large HDL percentage
M-VLDL-TG,0.0083,0.0087,Triglycerides in Medium VLDL
IDL-C,0.0058,0.0077,Cholesterol in IDL
Glu,0.0065,0.0076,Glucose
L-VLDL-PL%,0.0050,0.0075,Phospholipids to Total-Lipids in Large VLDL percentage
Omega-3%,0.0062,0.0063,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-CE%,0.0088,0.0059,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-C%,0.0047,0.0052,Cholesterol to Total-Lipids in IDL percentage
PUFA,0.0070,0.0050,Polyunsaturated Fatty Acids
M-HDL-PL%,0.0073,0.0050,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-CE%,0.0047,0.0049,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-L,0.0032,0.0048,Total-Lipids in Chylomicrons and Extremely Large VLDL
Glu-lactate,0.0048,0.0044,Glucose-lactate
Lactate,0.0047,0.0041,Lactate
S-HDL-CE,0.0025,0.0041,Cholesteryl Esters in Small HDL
IDL-TG%,0.0037,0.0033,Triglycerides to Total-Lipids in IDL percentage
L-LDL-C%,0.0037,0.0032,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE%,0.0022,0.0030,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE%,0.0015,0.0029,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-PL%,0.0032,0.0029,Phospholipids to Total-Lipids in Small HDL percentage
L-LDL-PL%,0.0035,0.0024,Phospholipids to Total-Lipids in Large LDL percentage
Total-BCAA,0.0033,0.0024,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-HDL-C%,0.0013,0.0021,Cholesterol to Total-Lipids in Large HDL percentage
XXL-VLDL-C%,0.0028,0.0019,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-TG,0.0005,0.0018,Triglycerides in Medium LDL
XS-VLDL-TG,0.0007,0.0014,Triglycerides in Very Small VLDL
M-LDL-PL%,0.0008,0.0014,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,0.0012,0.0011,Free Cholesterol to Total-Lipids in Large VLDL percentage
LA%,0.0007,0.0006,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-TG,0.0003,0.0005,Triglycerides in Large HDL
