Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1943,0.3767,Creatinine
Gly,0.1327,0.0963,Glycine
GlycA,0.1153,0.0835,Glycoprotein Acetyls
Phosphoglyc,0.0522,0.0398,Phosphoglycerides
3-Hydroxybutyrate,0.0432,0.0371,3-Hydroxybutyrate
L-LDL-PL%,0.0475,0.0273,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-TG,0.0355,0.0240,Triglycerides in Large HDL
His,0.0242,0.0212,Histidine
S-HDL-PL%,0.0305,0.0206,Phospholipids to Total-Lipids in Small HDL percentage
L-LDL-C%,0.0145,0.0206,Cholesterol to Total-Lipids in Large LDL percentage
Sc-ala,0.0177,0.0181,Spectrometer-corrected alanine
XXL-VLDL-PL%,0.0200,0.0168,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-size,0.0220,0.0163,Average Diameter for LDL Particles
XL-HDL-FC%,0.0243,0.0151,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Albumin,0.0202,0.0142,Albumin
L-HDL-L,0.0213,0.0142,Total-Lipids in Large HDL
Gln,0.0170,0.0127,Glutamine
Omega-6/Omega-3,0.0137,0.0105,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Tyr,0.0038,0.0099,Tyrosine
XL-HDL-C,0.0108,0.0090,Cholesterol in Very Large HDL
Pyruvate,0.0127,0.0085,Pyruvate
Citrate,0.0108,0.0080,Citrate
L-LDL-CE%,0.0092,0.0072,Cholesteryl Esters to Total-Lipids in Large LDL percentage
DHA%,0.0083,0.0068,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.0088,0.0062,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Phe,0.0102,0.0061,Phenylalanine
XXL-VLDL-FC%,0.0045,0.0059,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,0.0055,0.0057,Degree of Unsaturation
LA%,0.0050,0.0055,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-C%,0.0042,0.0051,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-CE,0.0067,0.0051,Cholesteryl Esters in Very Large HDL
Glu,0.0052,0.0048,Glucose
Acetone,0.0057,0.0046,Acetone
XL-HDL-C%,0.0058,0.0042,Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-PL,0.0067,0.0041,Phospholipids in Large HDL
XXL-VLDL-TG%,0.0043,0.0041,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0027,0.0037,Valine
XS-VLDL-FC%,0.0022,0.0031,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Acetoacetate,0.0028,0.0030,Acetoacetate
SFA%,0.0038,0.0024,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetate,0.0023,0.0023,Acetate
Ala,0.0013,0.0019,Alanine
XL-HDL-CE%,0.0018,0.0013,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Lactate,0.0013,0.0011,Lactate
Leu,0.0017,0.0011,Leucine
IDL-CE%,0.0003,0.0009,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-PL%,0.0010,0.0009,Phospholipids to Total-Lipids in IDL percentage
Glu-lactate,0.0010,0.0006,Glucose-lactate
Ile,0.0010,0.0006,Isoleucine
Omega-3,0.0012,0.0006,Omega-3 Fatty Acids
M-LDL-PL%,0.0005,0.0004,Phospholipids to Total-Lipids in Medium LDL percentage
XS-VLDL-PL%,0.0005,0.0003,Phospholipids to Total-Lipids in Very Small VLDL percentage
DHA,0.0002,0.0002,Docosahexaenoic Acid
IDL-FC%,0.0002,0.0001,Free Cholesterol to Total-Lipids in IDL percentage
