Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE%,0.0893,0.1303,Cholesteryl Esters to Total-Lipids in IDL percentage
Creatinine,0.1215,0.0861,Creatinine
GlycA,0.0752,0.0634,Glycoprotein Acetyls
IDL-P,0.0408,0.0523,Concentration of IDL Particles
Val,0.0333,0.0409,Valine
His,0.0265,0.0307,Histidine
Albumin,0.0393,0.0296,Albumin
LA%,0.0355,0.0295,Linoleic Acid to Total-Fatty Acids percentage
Glu-lactate,0.0328,0.0281,Glucose-lactate
Citrate,0.0368,0.0272,Citrate
XXL-VLDL-PL%,0.0283,0.0262,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,0.0282,0.0254,Free Cholesterol to Total-Lipids in IDL percentage
S-LDL-P,0.0252,0.0240,Concentration of Small LDL Particles
Tyr,0.0237,0.0203,Tyrosine
M-LDL-FC,0.0132,0.0196,Free Cholesterol in Medium LDL
IDL-C%,0.0145,0.0194,Cholesterol to Total-Lipids in IDL percentage
Sc-ala,0.0195,0.0191,Spectrometer-corrected alanine
M-VLDL-CE,0.0130,0.0175,Cholesteryl Esters in Medium VLDL
Ala,0.0145,0.0173,Alanine
Lactate,0.0137,0.0169,Lactate
Acetone,0.0167,0.0166,Acetone
Gly,0.0175,0.0147,Glycine
S-LDL-FC,0.0083,0.0143,Free Cholesterol in Small LDL
XS-VLDL-FC%,0.0183,0.0135,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-P,0.0115,0.0118,Concentration of Medium LDL Particles
SFA%,0.0123,0.0117,Saturated Fatty Acids to Total-Fatty Acids percentage
Acetate,0.0125,0.0116,Acetate
M-LDL-CE%,0.0118,0.0104,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Leu,0.0063,0.0102,Leucine
Pyruvate,0.0062,0.0096,Pyruvate
LDL-size,0.0138,0.0096,Average Diameter for LDL Particles
Glu,0.0097,0.0095,Glucose
L-LDL-CE%,0.0073,0.0095,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XXL-VLDL-TG%,0.0075,0.0089,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0083,0.0089,Isoleucine
S-HDL-CE,0.0065,0.0081,Cholesteryl Esters in Small HDL
XXL-VLDL-CE%,0.0055,0.0081,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,0.0077,0.0079,Acetoacetate
IDL-PL%,0.0088,0.0076,Phospholipids to Total-Lipids in IDL percentage
Gln,0.0070,0.0067,Glutamine
S-LDL-CE%,0.0073,0.0067,Cholesteryl Esters to Total-Lipids in Small LDL percentage
DHA%,0.0087,0.0065,Docosahexaenoic Acid to Total-Fatty Acids percentage
MUFA%,0.0037,0.0062,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-C%,0.0060,0.0048,Cholesterol to Total-Lipids in Very Small VLDL percentage
Phe,0.0037,0.0046,Phenylalanine
S-LDL-PL%,0.0037,0.0044,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-C%,0.0060,0.0043,Cholesterol to Total-Lipids in Large LDL percentage
XXL-VLDL-C%,0.0043,0.0042,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,0.0030,0.0039,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-CE%,0.0035,0.0037,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-PL%,0.0032,0.0035,Phospholipids to Total-Lipids in Very Small VLDL percentage
Total-BCAA,0.0018,0.0029,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-HDL-PL%,0.0053,0.0027,Phospholipids to Total-Lipids in Small HDL percentage
M-HDL-PL%,0.0023,0.0021,Phospholipids to Total-Lipids in Medium HDL percentage
3-Hydroxybutyrate,0.0030,0.0018,3-Hydroxybutyrate
M-HDL-TG,0.0008,0.0009,Triglycerides in Medium HDL
Omega-3%,0.0005,0.0009,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-LDL-C%,0.0012,0.0009,Cholesterol to Total-Lipids in Small LDL percentage
Unsaturation,0.0022,0.0009,Degree of Unsaturation
PUFA%,0.0007,0.0007,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0007,0.0004,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
