Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1652,0.2031,Creatinine
Citrate,0.0825,0.0744,Citrate
LDL-size,0.0677,0.0510,Average Diameter for LDL Particles
Leu,0.0672,0.0500,Leucine
3-Hydroxybutyrate,0.0468,0.0495,3-Hydroxybutyrate
Lactate,0.0518,0.0438,Lactate
L-LDL-PL%,0.0432,0.0407,Phospholipids to Total-Lipids in Large LDL percentage
GlycA,0.0282,0.0323,Glycoprotein Acetyls
DHA,0.0398,0.0274,Docosahexaenoic Acid
Acetate,0.0355,0.0257,Acetate
SFA%,0.0183,0.0247,Saturated Fatty Acids to Total-Fatty Acids percentage
Gly,0.0232,0.0222,Glycine
Pyruvate,0.0197,0.0220,Pyruvate
Ala,0.0200,0.0192,Alanine
M-HDL-FC%,0.0170,0.0189,Free Cholesterol to Total-Lipids in Medium HDL percentage
Glu,0.0173,0.0189,Glucose
IDL-PL%,0.0143,0.0187,Phospholipids to Total-Lipids in IDL percentage
Ile,0.0267,0.0182,Isoleucine
Glu-lactate,0.0165,0.0178,Glucose-lactate
MUFA%,0.0052,0.0176,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Acetone,0.0233,0.0166,Acetone
LA%,0.0147,0.0162,Linoleic Acid to Total-Fatty Acids percentage
Val,0.0063,0.0142,Valine
His,0.0215,0.0136,Histidine
IDL-CE%,0.0078,0.0108,Cholesteryl Esters to Total-Lipids in IDL percentage
Tyr,0.0057,0.0090,Tyrosine
L-HDL-FC,0.0108,0.0084,Free Cholesterol in Large HDL
Unsaturation,0.0070,0.0083,Degree of Unsaturation
Omega-6%,0.0073,0.0080,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,0.0097,0.0072,Triglycerides to Total-Lipids in Large VLDL percentage
Total-BCAA,0.0038,0.0069,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
VLDL-size,0.0067,0.0069,Average Diameter for VLDL Particles
Omega-3,0.0043,0.0063,Omega-3 Fatty Acids
Acetoacetate,0.0073,0.0059,Acetoacetate
XL-HDL-FC,0.0043,0.0054,Free Cholesterol in Very Large HDL
Phe,0.0050,0.0052,Phenylalanine
XXL-VLDL-L,0.0023,0.0051,Total-Lipids in Chylomicrons and Extremely Large VLDL
Omega-3%,0.0052,0.0045,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,0.0047,0.0038,Free Cholesterol to Total-Lipids in IDL percentage
Albumin,0.0045,0.0037,Albumin
XS-VLDL-PL%,0.0025,0.0035,Phospholipids to Total-Lipids in Very Small VLDL percentage
XXL-VLDL-CE%,0.0022,0.0033,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-FC%,0.0035,0.0032,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.0035,0.0032,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-C%,0.0020,0.0030,Cholesterol to Total-Lipids in Small LDL percentage
XXL-VLDL-TG%,0.0025,0.0030,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-C%,0.0018,0.0028,Cholesterol to Total-Lipids in Large HDL percentage
XXL-VLDL-C%,0.0020,0.0027,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-P,0.0023,0.0024,Concentration of IDL Particles
PUFA/MUFA,0.0022,0.0024,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-C%,0.0012,0.0022,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC%,0.0023,0.0018,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE%,0.0015,0.0010,Cholesteryl Esters to Total-Lipids in Large LDL percentage
PUFA%,0.0005,0.0007,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0003,0.0007,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Gln,0.0008,0.0005,Glutamine
S-HDL-TG%,0.0003,0.0005,Triglycerides to Total-Lipids in Small HDL percentage
Sc-ala,0.0002,0.0004,Spectrometer-corrected alanine
