Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Glu-lactate,0.2632,0.3897,Glucose-lactate
XS-VLDL-CE%,0.1433,0.2095,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-CE,0.1148,0.1567,Cholesteryl Esters in IDL
L-HDL-PL%,0.0620,0.0615,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-C%,0.0672,0.0451,Cholesterol to Total-Lipids in Large LDL percentage
Glu,0.0763,0.0447,Glucose
S-LDL-CE%,0.0897,0.0353,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-C,0.0060,0.0114,Cholesterol in IDL
LA,0.0267,0.0086,Linoleic Acid
IDL-CE%,0.0270,0.0067,Cholesteryl Esters to Total-Lipids in IDL percentage
L-HDL-TG,0.0267,0.0058,Triglycerides in Large HDL
3-Hydroxybutyrate,0.0150,0.0044,3-Hydroxybutyrate
S-LDL-PL%,0.0075,0.0035,Phospholipids to Total-Lipids in Small LDL percentage
Albumin,0.0255,0.0030,Albumin
Gln,0.0140,0.0028,Glutamine
Total-CE,0.0035,0.0020,Total-Esterified Cholesterol
XS-VLDL-PL%,0.0040,0.0019,Phospholipids to Total-Lipids in Very Small VLDL percentage
Sc-ala,0.0062,0.0018,Spectrometer-corrected alanine
XL-HDL-FC%,0.0073,0.0015,Free Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-FC,0.0007,0.0013,Free Cholesterol in IDL
IDL-L,0.0005,0.0010,Total-Lipids in IDL
Gly,0.0063,0.0009,Glycine
Citrate,0.0022,0.0003,Citrate
XL-HDL-P,0.0010,0.0002,Concentration of Very Large HDL Particles
His,0.0023,0.0002,Histidine
LA%,0.0007,0.0002,Linoleic Acid to Total-Fatty Acids percentage
Acetate,0.0003,2.8846e-05,Acetate
XS-VLDL-FC%,0.0002,2.7185e-05,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
