Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-HDL-PL%,0.1515,0.3585,Phospholipids to Total-Lipids in Large HDL percentage
Albumin,0.2445,0.1753,Albumin
GlycA,0.2340,0.1610,Glycoprotein Acetyls
L-LDL-C%,0.0508,0.0912,Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,0.0358,0.0440,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Glu-lactate,0.0488,0.0337,Glucose-lactate
MUFA%,0.0298,0.0312,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,0.0225,0.0253,Linoleic Acid to Total-Fatty Acids percentage
Pyruvate,0.0247,0.0134,Pyruvate
Tyr,0.0202,0.0084,Tyrosine
S-LDL-CE%,0.0162,0.0082,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-FC%,0.0267,0.0081,Free Cholesterol to Total-Lipids in Large VLDL percentage
DHA,0.0127,0.0076,Docosahexaenoic Acid
LA,0.0158,0.0065,Linoleic Acid
PUFA%,0.0052,0.0040,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,0.0067,0.0033,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-CE%,0.0087,0.0031,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Gln,0.0073,0.0025,Glutamine
3-Hydroxybutyrate,0.0053,0.0020,3-Hydroxybutyrate
XL-HDL-TG,0.0042,0.0020,Triglycerides in Very Large HDL
Glu,0.0038,0.0019,Glucose
Omega-3,0.0028,0.0016,Omega-3 Fatty Acids
L-HDL-TG,0.0053,0.0015,Triglycerides in Large HDL
VLDL-size,0.0033,0.0013,Average Diameter for VLDL Particles
IDL-FC%,0.0022,0.0009,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-CE%,0.0027,0.0007,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-LDL-PL%,0.0012,0.0007,Phospholipids to Total-Lipids in Small LDL percentage
Citrate,0.0010,0.0004,Citrate
XS-VLDL-FC%,0.0010,0.0004,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA,0.0010,0.0004,Polyunsaturated Fatty Acids
XS-VLDL-PL%,0.0015,0.0003,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC%,0.0012,0.0003,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Val,0.0007,0.0002,Valine
Phe,0.0005,0.0002,Phenylalanine
Gly,0.0003,0.0001,Glycine
Creatinine,0.0002,5.3689e-05,Creatinine
