Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
S-LDL-C%,0.0908,0.0961,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-TG%,0.0498,0.0718,Triglycerides to Total-Lipids in Medium LDL percentage
Glu,0.0595,0.0602,Glucose
Tyr,0.0508,0.0435,Tyrosine
Albumin,0.0502,0.0434,Albumin
IDL-CE%,0.0477,0.0372,Cholesteryl Esters to Total-Lipids in IDL percentage
Omega-3%,0.0400,0.0346,Omega-3 Fatty Acids to Total-Fatty Acids percentage
His,0.0418,0.0329,Histidine
Acetate,0.0290,0.0289,Acetate
Glu-lactate,0.0342,0.0283,Glucose-lactate
Citrate,0.0215,0.0277,Citrate
IDL-PL%,0.0262,0.0277,Phospholipids to Total-Lipids in IDL percentage
LDL-size,0.0235,0.0269,Average Diameter for LDL Particles
LA%,0.0307,0.0269,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-FC%,0.0250,0.0256,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-FC%,0.0217,0.0240,Free Cholesterol to Total-Lipids in Large VLDL percentage
Gln,0.0228,0.0238,Glutamine
Ala,0.0163,0.0207,Alanine
Creatinine,0.0250,0.0204,Creatinine
IDL-FC%,0.0202,0.0193,Free Cholesterol to Total-Lipids in IDL percentage
Acetone,0.0140,0.0184,Acetone
Omega-6/Omega-3,0.0247,0.0178,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Leu,0.0163,0.0165,Leucine
GlycA,0.0192,0.0163,Glycoprotein Acetyls
Lactate,0.0143,0.0161,Lactate
SFA%,0.0160,0.0153,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-C%,0.0173,0.0146,Cholesterol to Total-Lipids in Medium LDL percentage
Phe,0.0152,0.0142,Phenylalanine
Unsaturation,0.0133,0.0132,Degree of Unsaturation
L-LDL-PL%,0.0117,0.0126,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-PL%,0.0090,0.0109,Phospholipids to Total-Lipids in Large HDL percentage
XXL-VLDL-CE%,0.0078,0.0109,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,0.0057,0.0106,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetoacetate,0.0090,0.0104,Acetoacetate
L-LDL-TG%,0.0075,0.0083,Triglycerides to Total-Lipids in Large LDL percentage
XXL-VLDL-TG%,0.0065,0.0083,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
DHA,0.0088,0.0074,Docosahexaenoic Acid
XXL-VLDL-FC%,0.0058,0.0062,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0052,0.0061,Isoleucine
L-LDL-C%,0.0065,0.0052,Cholesterol to Total-Lipids in Large LDL percentage
Pyruvate,0.0050,0.0047,Pyruvate
MUFA%,0.0018,0.0040,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,0.0037,0.0034,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-BCAA,0.0030,0.0034,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Gly,0.0040,0.0030,Glycine
S-VLDL-CE%,0.0035,0.0028,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XS-VLDL-PL%,0.0027,0.0025,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,0.0020,0.0024,Phospholipids to Total-Lipids in Small LDL percentage
Val,0.0013,0.0024,Valine
3-Hydroxybutyrate,0.0022,0.0019,3-Hydroxybutyrate
PUFA%,0.0017,0.0019,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,0.0017,0.0018,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
DHA%,0.0025,0.0016,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-HDL-FC%,0.0007,0.0016,Free Cholesterol to Total-Lipids in Small HDL percentage
Sc-ala,0.0010,0.0013,Spectrometer-corrected alanine
L-VLDL-PL%,0.0018,0.0012,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.0010,0.0008,Free Cholesterol to Total-Lipids in Medium LDL percentage
