Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.1573,0.1211,Albumin
Gly,0.0543,0.0605,Glycine
L-VLDL-PL%,0.0595,0.0591,Phospholipids to Total-Lipids in Large VLDL percentage
Gln,0.0317,0.0469,Glutamine
S-LDL-PL%,0.0505,0.0427,Phospholipids to Total-Lipids in Small LDL percentage
LDL-size,0.0250,0.0392,Average Diameter for LDL Particles
Citrate,0.0303,0.0370,Citrate
PUFA%,0.0438,0.0346,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0232,0.0282,Creatinine
Lactate,0.0280,0.0268,Lactate
3-Hydroxybutyrate,0.0318,0.0256,3-Hydroxybutyrate
Acetoacetate,0.0257,0.0241,Acetoacetate
Glu,0.0127,0.0233,Glucose
LA%,0.0138,0.0218,Linoleic Acid to Total-Fatty Acids percentage
Pyruvate,0.0232,0.0212,Pyruvate
Omega-6/Omega-3,0.0393,0.0207,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Acetate,0.0167,0.0185,Acetate
LDL-TG,0.0213,0.0164,Triglycerides in LDL
Tyr,0.0063,0.0151,Tyrosine
Acetone,0.0137,0.0149,Acetone
L-LDL-PL%,0.0088,0.0142,Phospholipids to Total-Lipids in Large LDL percentage
His,0.0132,0.0139,Histidine
Glu-lactate,0.0078,0.0134,Glucose-lactate
Val,0.0100,0.0131,Valine
S-LDL-CE%,0.0105,0.0118,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Leu,0.0060,0.0116,Leucine
IDL-PL%,0.0180,0.0111,Phospholipids to Total-Lipids in IDL percentage
S-HDL-FC,0.0153,0.0111,Free Cholesterol in Small HDL
XXL-VLDL-CE%,0.0145,0.0102,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-TG,0.0092,0.0097,Triglycerides in Large HDL
GlycA,0.0102,0.0093,Glycoprotein Acetyls
DHA%,0.0095,0.0090,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-HDL-L,0.0118,0.0089,Total-Lipids in Small HDL
XS-VLDL-FC%,0.0065,0.0087,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-P,0.0068,0.0085,Concentration of Very Small VLDL Particles
Omega-3,0.0145,0.0082,Omega-3 Fatty Acids
L-LDL-PL,0.0050,0.0082,Phospholipids in Large LDL
XL-HDL-CE%,0.0063,0.0078,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Ile,0.0050,0.0075,Isoleucine
XL-HDL-FC%,0.0072,0.0073,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Sc-ala,0.0070,0.0071,Spectrometer-corrected alanine
IDL-TG,0.0107,0.0061,Triglycerides in IDL
XS-VLDL-PL,0.0078,0.0060,Phospholipids in Very Small VLDL
L-LDL-TG%,0.0055,0.0056,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,0.0048,0.0055,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,0.0028,0.0055,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-FC,0.0052,0.0051,Free Cholesterol in Very Large HDL
Total-BCAA,0.0050,0.0049,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ala,0.0062,0.0048,Alanine
XXL-VLDL-PL%,0.0035,0.0044,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Unsaturation,0.0018,0.0043,Degree of Unsaturation
Omega-6%,0.0060,0.0042,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0018,0.0042,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-CE%,0.0023,0.0034,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Omega-3%,0.0038,0.0033,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,0.0038,0.0031,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-C%,0.0005,0.0025,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-FC%,0.0038,0.0024,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-FC%,0.0007,0.0024,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-CE%,0.0010,0.0024,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XL-HDL-PL%,0.0020,0.0023,Phospholipids to Total-Lipids in Very Large HDL percentage
S-HDL-FC%,0.0018,0.0022,Free Cholesterol to Total-Lipids in Small HDL percentage
MUFA%,0.0008,0.0019,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Phe,0.0020,0.0015,Phenylalanine
TG/PG,0.0018,0.0014,Triglycerides to Phosphoglycerides ratio
XL-HDL-C%,0.0015,0.0010,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-C%,0.0003,0.0010,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-CE,0.0007,0.0003,Cholesteryl Esters in Very Small VLDL
L-LDL-FC%,0.0002,0.0001,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-PL%,0.0003,8.9003e-05,Phospholipids to Total-Lipids in Medium VLDL percentage
