Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Lactate,0.0598,0.0822,Lactate
His,0.0733,0.0615,Histidine
XL-VLDL-TG%,0.0827,0.0568,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-CE%,0.0622,0.0540,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Albumin,0.0560,0.0402,Albumin
Citrate,0.0452,0.0387,Citrate
3-Hydroxybutyrate,0.0232,0.0372,3-Hydroxybutyrate
Glu,0.0275,0.0357,Glucose
Ile,0.0348,0.0337,Isoleucine
Creatinine,0.0288,0.0310,Creatinine
Val,0.0190,0.0278,Valine
Gln,0.0202,0.0257,Glutamine
Pyruvate,0.0288,0.0256,Pyruvate
Acetate,0.0195,0.0236,Acetate
Sc-ala,0.0123,0.0235,Spectrometer-corrected alanine
Omega-3%,0.0288,0.0214,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Tyr,0.0277,0.0197,Tyrosine
Phe,0.0153,0.0194,Phenylalanine
L-LDL-PL%,0.0178,0.0181,Phospholipids to Total-Lipids in Large LDL percentage
SFA%,0.0252,0.0166,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,0.0110,0.0159,Phospholipids to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.0108,0.0139,Apolipoprotein B to Apolipoprotein A1 ratio
IDL-FC%,0.0142,0.0136,Free Cholesterol to Total-Lipids in IDL percentage
Acetone,0.0120,0.0131,Acetone
Gly,0.0137,0.0131,Glycine
Acetoacetate,0.0083,0.0130,Acetoacetate
M-LDL-CE%,0.0093,0.0127,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
IDL-PL%,0.0173,0.0126,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0082,0.0115,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-HDL-C%,0.0107,0.0108,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-C%,0.0095,0.0103,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-FC%,0.0078,0.0099,Free Cholesterol to Total-Lipids in Small HDL percentage
IDL-TG%,0.0108,0.0098,Triglycerides to Total-Lipids in IDL percentage
L-LDL-CE%,0.0052,0.0080,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Ala,0.0090,0.0076,Alanine
Glu-lactate,0.0067,0.0070,Glucose-lactate
XL-HDL-CE%,0.0067,0.0070,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-VLDL-FC%,0.0072,0.0068,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
LDL-size,0.0042,0.0066,Average Diameter for LDL Particles
GlycA,0.0065,0.0065,Glycoprotein Acetyls
DHA%,0.0063,0.0061,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-HDL-TG,0.0090,0.0061,Triglycerides in Large HDL
Total-BCAA,0.0063,0.0058,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-C%,0.0028,0.0055,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-FC%,0.0072,0.0050,Free Cholesterol to Total-Lipids in Medium HDL percentage
LA%,0.0038,0.0049,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-TG%,0.0057,0.0049,Triglycerides to Total-Lipids in Large VLDL percentage
Omega-6/Omega-3,0.0045,0.0048,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-VLDL-C%,0.0072,0.0046,Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-PL%,0.0055,0.0043,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-FC%,0.0023,0.0042,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Omega-3,0.0023,0.0040,Omega-3 Fatty Acids
L-VLDL-PL%,0.0027,0.0039,Phospholipids to Total-Lipids in Large VLDL percentage
S-LDL-CE%,0.0017,0.0038,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-HDL-FC%,0.0050,0.0038,Free Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-TG%,0.0058,0.0035,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,0.0032,0.0033,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-TG%,0.0038,0.0030,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-C%,0.0053,0.0026,Cholesterol to Total-Lipids in Small HDL percentage
DHA,0.0018,0.0026,Docosahexaenoic Acid
XXL-VLDL-CE,0.0018,0.0025,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XS-VLDL-FC%,0.0008,0.0021,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA%,0.0018,0.0019,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,0.0015,0.0016,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC,0.0010,0.0013,Free Cholesterol in Very Large HDL
L-VLDL-CE%,0.0022,0.0012,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XXL-VLDL-CE%,0.0013,0.0007,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
