Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.3207,0.3650,Glycoprotein Acetyls
Albumin,0.2947,0.3305,Albumin
LA%,0.0873,0.1093,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-PL%,0.0313,0.0351,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-P,0.0283,0.0242,Concentration of Medium VLDL Particles
Val,0.0340,0.0210,Valine
L-LDL-C%,0.0290,0.0189,Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-L,0.0225,0.0165,Total-Lipids in Medium VLDL
L-LDL-CE%,0.0250,0.0135,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Lactate,0.0217,0.0115,Lactate
ApoB/ApoA1,0.0087,0.0059,Apolipoprotein B to Apolipoprotein A1 ratio
His,0.0117,0.0056,Histidine
Omega-3,0.0102,0.0055,Omega-3 Fatty Acids
S-LDL-CE,0.0075,0.0054,Cholesteryl Esters in Small LDL
LA,0.0082,0.0051,Linoleic Acid
Sc-ala,0.0100,0.0047,Spectrometer-corrected alanine
Tyr,0.0097,0.0038,Tyrosine
Leu,0.0065,0.0034,Leucine
3-Hydroxybutyrate,0.0078,0.0031,3-Hydroxybutyrate
Creatinine,0.0042,0.0019,Creatinine
Pyruvate,0.0032,0.0016,Pyruvate
PUFA%,0.0020,0.0015,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE,0.0023,0.0013,Cholesteryl Esters in Large VLDL
Total-BCAA,0.0022,0.0012,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-LDL-CE%,0.0028,0.0010,Cholesteryl Esters to Total-Lipids in Small LDL percentage
HDL-P,0.0025,0.0007,Concentration of HDL Particles
DHA,0.0012,0.0007,Docosahexaenoic Acid
Omega-3%,0.0017,0.0007,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.0007,0.0003,Docosahexaenoic Acid to Total-Fatty Acids percentage
XXL-VLDL-CE,0.0003,0.0003,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-PL%,0.0005,0.0002,Phospholipids to Total-Lipids in Small LDL percentage
Glu-lactate,0.0007,0.0002,Glucose-lactate
Acetate,0.0005,0.0001,Acetate
XL-HDL-FC,0.0002,9.4511e-05,Free Cholesterol in Very Large HDL
XL-VLDL-PL%,0.0002,7.2288e-05,Phospholipids to Total-Lipids in Very Large VLDL percentage
Phe,0.0002,6.0675e-05,Phenylalanine
Omega-6/Omega-3,0.0002,4.9133e-05,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
