Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE%,0.0922,0.1137,Cholesteryl Esters to Total-Lipids in IDL percentage
Tyr,0.0957,0.1094,Tyrosine
L-LDL-C%,0.0644,0.0994,Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.0830,0.0814,Linoleic Acid to Total-Fatty Acids percentage
Gln,0.0832,0.0599,Glutamine
Glu,0.0535,0.0501,Glucose
L-LDL-TG%,0.0412,0.0481,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-CE%,0.0435,0.0480,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Albumin,0.0473,0.0428,Albumin
GlycA,0.0629,0.0404,Glycoprotein Acetyls
Citrate,0.0445,0.0394,Citrate
Leu,0.0150,0.0252,Leucine
L-HDL-PL%,0.0325,0.0229,Phospholipids to Total-Lipids in Large HDL percentage
Creatinine,0.0220,0.0227,Creatinine
Glu-lactate,0.0250,0.0186,Glucose-lactate
Acetoacetate,0.0078,0.0122,Acetoacetate
S-HDL-P,0.0157,0.0119,Concentration of Small HDL Particles
SFA%,0.0160,0.0111,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,0.0053,0.0100,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,0.0072,0.0097,Isoleucine
PUFA/MUFA,0.0118,0.0078,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,0.0030,0.0075,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE,0.0087,0.0075,Cholesteryl Esters in Small HDL
L-HDL-CE%,0.0072,0.0063,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-C,0.0067,0.0060,Cholesterol in Small HDL
L-VLDL-FC%,0.0085,0.0059,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-HDL-PL,0.0068,0.0058,Phospholipids in Small HDL
Omega-3%,0.0098,0.0058,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-size,0.0042,0.0053,Average Diameter for VLDL Particles
Omega-3,0.0047,0.0051,Omega-3 Fatty Acids
Val,0.0022,0.0043,Valine
IDL-PL%,0.0048,0.0041,Phospholipids to Total-Lipids in IDL percentage
Sc-ala,0.0048,0.0041,Spectrometer-corrected alanine
XL-HDL-C,0.0045,0.0041,Cholesterol in Very Large HDL
XXL-VLDL-CE%,0.0030,0.0037,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL%,0.0057,0.0037,Phospholipids to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,0.0037,0.0036,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Pyruvate,0.0055,0.0035,Pyruvate
IDL-C%,0.0035,0.0029,Cholesterol to Total-Lipids in IDL percentage
Gly,0.0045,0.0027,Glycine
XXL-VLDL-PL%,0.0028,0.0025,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Lactate,0.0023,0.0023,Lactate
SM,0.0022,0.0020,Sphingomyelins
Phe,0.0023,0.0020,Phenylalanine
IDL-FC%,0.0022,0.0020,Free Cholesterol to Total-Lipids in IDL percentage
MUFA%,0.0028,0.0019,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
His,0.0028,0.0018,Histidine
L-HDL-FC%,0.0028,0.0017,Free Cholesterol to Total-Lipids in Large HDL percentage
Unsaturation,0.0017,0.0016,Degree of Unsaturation
LA,0.0015,0.0009,Linoleic Acid
LDL-size,0.0010,0.0007,Average Diameter for LDL Particles
Acetate,0.0008,0.0007,Acetate
Ala,0.0005,0.0006,Alanine
S-LDL-PL%,0.0003,0.0005,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-C%,0.0005,0.0005,Cholesterol to Total-Lipids in Medium LDL percentage
Acetone,0.0003,0.0005,Acetone
IDL-TG,0.0007,0.0003,Triglycerides in IDL
M-LDL-PL%,0.0003,0.0003,Phospholipids to Total-Lipids in Medium LDL percentage
DHA%,0.0002,0.0002,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-CE%,0.0003,0.0002,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
