Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1635,0.1422,Creatinine
Acetone,0.0607,0.0570,Acetone
S-LDL-CE%,0.0563,0.0514,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XXL-VLDL-FC%,0.0528,0.0492,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Leu,0.0293,0.0471,Leucine
Acetate,0.0312,0.0436,Acetate
Albumin,0.0500,0.0435,Albumin
GlycA,0.0462,0.0396,Glycoprotein Acetyls
Citrate,0.0372,0.0344,Citrate
Acetoacetate,0.0390,0.0332,Acetoacetate
Omega-3%,0.0245,0.0260,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Ala,0.0278,0.0233,Alanine
Gln,0.0142,0.0207,Glutamine
Omega-6%,0.0265,0.0177,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Gly,0.0133,0.0171,Glycine
Pyruvate,0.0153,0.0167,Pyruvate
3-Hydroxybutyrate,0.0170,0.0166,3-Hydroxybutyrate
Total-P,0.0137,0.0166,Total-Concentration of Lipoprotein Particles
His,0.0112,0.0165,Histidine
LDL-size,0.0118,0.0144,Average Diameter for LDL Particles
Glu-lactate,0.0157,0.0143,Glucose-lactate
S-HDL-FC%,0.0137,0.0140,Free Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-PL%,0.0158,0.0133,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,0.0125,0.0127,Triglycerides to Total-Lipids in Small VLDL percentage
L-LDL-CE%,0.0120,0.0122,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Sc-ala,0.0072,0.0121,Spectrometer-corrected alanine
IDL-PL%,0.0088,0.0108,Phospholipids to Total-Lipids in IDL percentage
XL-VLDL-FC%,0.0142,0.0102,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Tyr,0.0098,0.0100,Tyrosine
S-LDL-PL%,0.0072,0.0099,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6/Omega-3,0.0090,0.0094,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ile,0.0110,0.0093,Isoleucine
Phe,0.0047,0.0093,Phenylalanine
Unsaturation,0.0115,0.0092,Degree of Unsaturation
IDL-FC%,0.0060,0.0085,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,0.0070,0.0077,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-TG%,0.0042,0.0075,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-CE,0.0087,0.0072,Cholesteryl Esters in Large HDL
M-LDL-PL%,0.0067,0.0069,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-C%,0.0045,0.0058,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE%,0.0065,0.0057,Cholesteryl Esters to Total-Lipids in IDL percentage
XXL-VLDL-PL%,0.0038,0.0056,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-FC%,0.0043,0.0055,Free Cholesterol to Total-Lipids in Large LDL percentage
Val,0.0053,0.0051,Valine
L-VLDL-PL%,0.0052,0.0050,Phospholipids to Total-Lipids in Large VLDL percentage
MUFA%,0.0062,0.0048,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Lactate,0.0032,0.0046,Lactate
SFA%,0.0025,0.0044,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-C%,0.0033,0.0041,Cholesterol to Total-Lipids in Very Large HDL percentage
PUFA,0.0030,0.0038,Polyunsaturated Fatty Acids
L-LDL-PL%,0.0025,0.0032,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-PL%,0.0025,0.0032,Phospholipids to Total-Lipids in Very Large VLDL percentage
Omega-6,0.0040,0.0029,Omega-6 Fatty Acids
DHA,0.0027,0.0028,Docosahexaenoic Acid
M-LDL-C%,0.0028,0.0024,Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.0025,0.0024,Linoleic Acid to Total-Fatty Acids percentage
Total-BCAA,0.0023,0.0021,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-HDL-P,0.0033,0.0021,Concentration of Small HDL Particles
Glu,0.0017,0.0021,Glucose
M-HDL-PL%,0.0003,0.0004,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-PL%,0.0003,0.0003,Phospholipids to Total-Lipids in Small HDL percentage
DHA%,0.0002,0.0002,Docosahexaenoic Acid to Total-Fatty Acids percentage
