Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.1367,0.1429,Albumin
GlycA,0.1380,0.1209,Glycoprotein Acetyls
IDL-CE%,0.0540,0.0793,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0633,0.0710,Phospholipids to Total-Lipids in Very Small VLDL percentage
Creatinine,0.0765,0.0553,Creatinine
Glu,0.0408,0.0472,Glucose
Lactate,0.0307,0.0405,Lactate
XXL-VLDL-PL%,0.0343,0.0301,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Leu,0.0343,0.0294,Leucine
Ile,0.0317,0.0293,Isoleucine
Tyr,0.0220,0.0290,Tyrosine
Total-BCAA,0.0260,0.0279,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
L-LDL-CE%,0.0267,0.0258,Cholesteryl Esters to Total-Lipids in Large LDL percentage
LA%,0.0345,0.0229,Linoleic Acid to Total-Fatty Acids percentage
L-VLDL-FC%,0.0213,0.0200,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-CE%,0.0203,0.0199,Cholesteryl Esters to Total-Lipids in Small LDL percentage
His,0.0220,0.0173,Histidine
Gln,0.0122,0.0154,Glutamine
M-LDL-C%,0.0158,0.0147,Cholesterol to Total-Lipids in Medium LDL percentage
Acetate,0.0177,0.0146,Acetate
Citrate,0.0138,0.0142,Citrate
Gly,0.0188,0.0133,Glycine
MUFA%,0.0128,0.0129,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA%,0.0065,0.0084,Saturated Fatty Acids to Total-Fatty Acids percentage
3-Hydroxybutyrate,0.0058,0.0076,3-Hydroxybutyrate
Glu-lactate,0.0048,0.0075,Glucose-lactate
XL-VLDL-PL%,0.0062,0.0074,Phospholipids to Total-Lipids in Very Large VLDL percentage
Omega-6/Omega-3,0.0052,0.0058,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3,0.0047,0.0054,Omega-3 Fatty Acids
Val,0.0067,0.0050,Valine
Acetoacetate,0.0053,0.0049,Acetoacetate
Sc-ala,0.0030,0.0044,Spectrometer-corrected alanine
Ala,0.0035,0.0042,Alanine
IDL-PL%,0.0042,0.0038,Phospholipids to Total-Lipids in IDL percentage
Phe,0.0032,0.0034,Phenylalanine
LDL-size,0.0025,0.0034,Average Diameter for LDL Particles
Pyruvate,0.0040,0.0033,Pyruvate
L-LDL-PL%,0.0030,0.0032,Phospholipids to Total-Lipids in Large LDL percentage
DHA%,0.0043,0.0031,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,0.0025,0.0030,Degree of Unsaturation
M-HDL-PL%,0.0030,0.0030,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-CE%,0.0018,0.0025,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
IDL-C%,0.0013,0.0025,Cholesterol to Total-Lipids in IDL percentage
M-LDL-PL%,0.0027,0.0024,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-TG%,0.0022,0.0024,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-FC%,0.0018,0.0019,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-CE%,0.0015,0.0018,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-FC%,0.0015,0.0017,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-C%,0.0017,0.0016,Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE%,0.0008,0.0010,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,0.0008,0.0010,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,0.0012,0.0009,Cholesterol to Total-Lipids in Large LDL percentage
