Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XL-HDL-FC%,0.1455,0.1314,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Gly,0.0768,0.0631,Glycine
Acetate,0.0589,0.0616,Acetate
LDL-size,0.0434,0.0590,Average Diameter for LDL Particles
GlycA,0.0564,0.0508,Glycoprotein Acetyls
M-LDL-C%,0.0502,0.0481,Cholesterol to Total-Lipids in Medium LDL percentage
Ile,0.0689,0.0471,Isoleucine
Acetoacetate,0.0364,0.0437,Acetoacetate
3-Hydroxybutyrate,0.0320,0.0341,3-Hydroxybutyrate
Gln,0.0399,0.0300,Glutamine
S-HDL-C%,0.0164,0.0213,Cholesterol to Total-Lipids in Small HDL percentage
Phe,0.0194,0.0196,Phenylalanine
Citrate,0.0274,0.0184,Citrate
MUFA,0.0159,0.0166,Monounsaturated Fatty Acids
Albumin,0.0090,0.0157,Albumin
M-VLDL-PL%,0.0137,0.0145,Phospholipids to Total-Lipids in Medium VLDL percentage
Glu-lactate,0.0135,0.0142,Glucose-lactate
XXL-VLDL-CE%,0.0072,0.0134,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LA,0.0088,0.0131,Linoleic Acid
Creatinine,0.0033,0.0131,Creatinine
XL-HDL-C%,0.0152,0.0116,Cholesterol to Total-Lipids in Very Large HDL percentage
Lactate,0.0067,0.0110,Lactate
S-VLDL-CE%,0.0088,0.0108,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
SFA%,0.0129,0.0108,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3,0.0055,0.0107,Omega-3 Fatty Acids
Pyruvate,0.0143,0.0104,Pyruvate
L-LDL-C%,0.0122,0.0103,Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-PL%,0.0087,0.0101,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-6/Omega-3,0.0100,0.0097,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
L-VLDL-FC%,0.0114,0.0093,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-PL%,0.0083,0.0093,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetone,0.0184,0.0088,Acetone
Omega-3%,0.0075,0.0087,Omega-3 Fatty Acids to Total-Fatty Acids percentage
MUFA%,0.0052,0.0087,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
His,0.0040,0.0083,Histidine
IDL-FC%,0.0053,0.0081,Free Cholesterol to Total-Lipids in IDL percentage
Sc-ala,0.0070,0.0075,Spectrometer-corrected alanine
L-LDL-PL%,0.0060,0.0072,Phospholipids to Total-Lipids in Large LDL percentage
LA%,0.0037,0.0062,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-PL,0.0080,0.0061,Phospholipids in Very Large HDL
L-VLDL-PL%,0.0122,0.0055,Phospholipids to Total-Lipids in Large VLDL percentage
Glu,0.0075,0.0052,Glucose
PC,0.0037,0.0052,Phosphatidylcholines
S-HDL-FC%,0.0040,0.0049,Free Cholesterol to Total-Lipids in Small HDL percentage
DHA%,0.0037,0.0042,Docosahexaenoic Acid to Total-Fatty Acids percentage
XXL-VLDL-FC%,0.0010,0.0041,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-PL,0.0015,0.0039,Phospholipids in Small LDL
XL-VLDL-TG%,0.0043,0.0038,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-PL%,0.0055,0.0037,Phospholipids to Total-Lipids in Small HDL percentage
Omega-6,0.0053,0.0036,Omega-6 Fatty Acids
XXL-VLDL-C%,0.0005,0.0035,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-PL,0.0015,0.0034,Phospholipids in Very Small VLDL
XXL-VLDL-CE,0.0045,0.0033,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG%,0.0007,0.0031,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0025,0.0031,Valine
M-VLDL-C%,0.0015,0.0027,Cholesterol to Total-Lipids in Medium VLDL percentage
Unsaturation,0.0022,0.0025,Degree of Unsaturation
S-VLDL-C%,0.0005,0.0024,Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-FC,0.0020,0.0021,Free Cholesterol in Very Small VLDL
DHA,0.0015,0.0020,Docosahexaenoic Acid
S-LDL-PL%,0.0027,0.0020,Phospholipids to Total-Lipids in Small LDL percentage
PUFA%,0.0008,0.0019,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-CE%,0.0003,0.0019,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-VLDL-FC%,0.0015,0.0017,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-PL%,0.0007,0.0015,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,0.0005,0.0015,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Ala,0.0017,0.0014,Alanine
L-HDL-PL%,0.0010,0.0013,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-CE%,0.0018,0.0013,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-PL%,0.0005,0.0008,Phospholipids to Total-Lipids in Very Small VLDL percentage
Tyr,0.0003,0.0002,Tyrosine
XL-VLDL-TG,0.0002,7.6165e-05,Triglycerides in Very Large VLDL
