Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Albumin,0.0808,0.0769,Albumin
Citrate,0.0838,0.0642,Citrate
Pyruvate,0.0455,0.0465,Pyruvate
DHA%,0.0500,0.0437,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,0.0593,0.0412,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Sc-ala,0.0430,0.0361,Spectrometer-corrected alanine
LDL-size,0.0243,0.0350,Average Diameter for LDL Particles
Gln,0.0242,0.0303,Glutamine
M-LDL-PL%,0.0222,0.0297,Phospholipids to Total-Lipids in Medium LDL percentage
His,0.0303,0.0295,Histidine
GlycA,0.0282,0.0255,Glycoprotein Acetyls
Acetate,0.0223,0.0249,Acetate
Leu,0.0200,0.0240,Leucine
3-Hydroxybutyrate,0.0193,0.0237,3-Hydroxybutyrate
Gly,0.0207,0.0228,Glycine
S-HDL-FC%,0.0257,0.0225,Free Cholesterol to Total-Lipids in Small HDL percentage
Acetoacetate,0.0283,0.0220,Acetoacetate
XXL-VLDL-FC%,0.0100,0.0205,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-CE%,0.0233,0.0204,Cholesteryl Esters to Total-Lipids in IDL percentage
SFA%,0.0223,0.0196,Saturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,0.0200,0.0189,Creatinine
XL-HDL-CE%,0.0193,0.0183,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
IDL-PL%,0.0187,0.0178,Phospholipids to Total-Lipids in IDL percentage
Lactate,0.0138,0.0173,Lactate
Ala,0.0112,0.0168,Alanine
Acetone,0.0160,0.0161,Acetone
Tyr,0.0090,0.0151,Tyrosine
XS-VLDL-PL%,0.0155,0.0145,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-L,0.0128,0.0143,Total-Lipids in Large LDL
Phe,0.0127,0.0140,Phenylalanine
M-LDL-CE%,0.0123,0.0132,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
LA%,0.0095,0.0131,Linoleic Acid to Total-Fatty Acids percentage
S-HDL-PL%,0.0085,0.0116,Phospholipids to Total-Lipids in Small HDL percentage
XL-VLDL-PL%,0.0142,0.0105,Phospholipids to Total-Lipids in Very Large VLDL percentage
Glu-lactate,0.0072,0.0103,Glucose-lactate
S-LDL-FC%,0.0065,0.0081,Free Cholesterol to Total-Lipids in Small LDL percentage
SM,0.0100,0.0078,Sphingomyelins
Unsaturation,0.0065,0.0074,Degree of Unsaturation
Omega-6/Omega-3,0.0053,0.0073,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Glu,0.0062,0.0069,Glucose
S-LDL-PL%,0.0068,0.0068,Phospholipids to Total-Lipids in Small LDL percentage
MUFA%,0.0053,0.0064,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0068,0.0061,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,0.0052,0.0061,Free Cholesterol to Total-Lipids in IDL percentage
MUFA,0.0045,0.0054,Monounsaturated Fatty Acids
L-LDL-CE%,0.0072,0.0054,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-VLDL-FC%,0.0047,0.0047,Free Cholesterol to Total-Lipids in Large VLDL percentage
IDL-P,0.0053,0.0046,Concentration of IDL Particles
L-LDL-PL%,0.0040,0.0045,Phospholipids to Total-Lipids in Large LDL percentage
XL-HDL-FC%,0.0020,0.0044,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,0.0050,0.0041,Phospholipids to Total-Lipids in Medium HDL percentage
L-HDL-C%,0.0037,0.0039,Cholesterol to Total-Lipids in Large HDL percentage
LA,0.0033,0.0030,Linoleic Acid
L-LDL-C%,0.0038,0.0026,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-TG,0.0028,0.0021,Triglycerides in Large HDL
M-LDL-C%,0.0017,0.0020,Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,0.0013,0.0019,Omega-6 Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,0.0022,0.0018,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-VLDL-PL%,0.0018,0.0017,Phospholipids to Total-Lipids in Large VLDL percentage
L-HDL-PL%,0.0020,0.0016,Phospholipids to Total-Lipids in Large HDL percentage
Val,0.0003,0.0010,Valine
Ile,0.0005,0.0006,Isoleucine
PUFA%,0.0005,0.0005,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA,0.0002,0.0003,Docosahexaenoic Acid
XXL-VLDL-CE%,0.0002,9.1129e-05,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
