Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.1982,0.2257,Creatinine
LA%,0.1075,0.1360,Linoleic Acid to Total-Fatty Acids percentage
S-LDL-CE%,0.1082,0.1234,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Albumin,0.0953,0.0854,Albumin
L-LDL-TG%,0.0432,0.0543,Triglycerides to Total-Lipids in Large LDL percentage
IDL-CE%,0.0308,0.0465,Cholesteryl Esters to Total-Lipids in IDL percentage
L-VLDL-PL%,0.0462,0.0440,Phospholipids to Total-Lipids in Large VLDL percentage
L-HDL-FC%,0.0340,0.0373,Free Cholesterol to Total-Lipids in Large HDL percentage
His,0.0332,0.0204,Histidine
Gly,0.0290,0.0196,Glycine
LA,0.0177,0.0194,Linoleic Acid
L-VLDL-FC%,0.0270,0.0190,Free Cholesterol to Total-Lipids in Large VLDL percentage
IDL-FC%,0.0228,0.0154,Free Cholesterol to Total-Lipids in IDL percentage
3-Hydroxybutyrate,0.0227,0.0151,3-Hydroxybutyrate
L-HDL-PL%,0.0118,0.0145,Phospholipids to Total-Lipids in Large HDL percentage
Citrate,0.0195,0.0121,Citrate
Ile,0.0183,0.0111,Isoleucine
Tyr,0.0173,0.0110,Tyrosine
XXL-VLDL-PL%,0.0108,0.0087,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-CE%,0.0030,0.0079,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Gln,0.0112,0.0076,Glutamine
Leu,0.0123,0.0075,Leucine
S-HDL-PL%,0.0125,0.0072,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-C%,0.0072,0.0071,Cholesterol to Total-Lipids in Medium LDL percentage
Pyruvate,0.0108,0.0058,Pyruvate
L-HDL-CE%,0.0027,0.0045,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,0.0032,0.0043,Cholesterol to Total-Lipids in Large HDL percentage
Omega-6,0.0038,0.0036,Omega-6 Fatty Acids
Val,0.0033,0.0025,Valine
Acetone,0.0042,0.0024,Acetone
XL-VLDL-FC%,0.0023,0.0020,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Glu,0.0033,0.0019,Glucose
IDL-PL%,0.0035,0.0018,Phospholipids to Total-Lipids in IDL percentage
Total-BCAA,0.0022,0.0017,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-PL%,0.0033,0.0015,Phospholipids to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,0.0023,0.0015,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Glu-lactate,0.0028,0.0015,Glucose-lactate
Sc-ala,0.0020,0.0014,Spectrometer-corrected alanine
Unsaturation,0.0015,0.0012,Degree of Unsaturation
VLDL-size,0.0017,0.0012,Average Diameter for VLDL Particles
Acetoacetate,0.0020,0.0011,Acetoacetate
Phe,0.0010,0.0011,Phenylalanine
L-LDL-PL%,0.0013,0.0008,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-FC%,0.0010,0.0006,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-PL%,0.0008,0.0005,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-LDL-PL%,0.0005,0.0004,Phospholipids to Total-Lipids in Small LDL percentage
Acetate,0.0005,0.0003,Acetate
SFA%,0.0002,0.0001,Saturated Fatty Acids to Total-Fatty Acids percentage
