Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-PL%,0.0693,0.0609,Phospholipids to Total-Lipids in IDL percentage
M-HDL-C%,0.0613,0.0488,Cholesterol to Total-Lipids in Medium HDL percentage
Acetate,0.0525,0.0474,Acetate
Creatinine,0.0398,0.0454,Creatinine
Pyruvate,0.0428,0.0417,Pyruvate
Albumin,0.0303,0.0404,Albumin
His,0.0355,0.0397,Histidine
3-Hydroxybutyrate,0.0420,0.0389,3-Hydroxybutyrate
Gln,0.0357,0.0388,Glutamine
Tyr,0.0332,0.0387,Tyrosine
IDL-CE%,0.0477,0.0371,Cholesteryl Esters to Total-Lipids in IDL percentage
Ala,0.0293,0.0357,Alanine
Gly,0.0300,0.0350,Glycine
L-LDL-CE%,0.0347,0.0313,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Acetoacetate,0.0283,0.0278,Acetoacetate
Omega-6/Omega-3,0.0343,0.0275,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
GlycA,0.0183,0.0237,Glycoprotein Acetyls
XS-VLDL-PL%,0.0233,0.0220,Phospholipids to Total-Lipids in Very Small VLDL percentage
LDL-size,0.0140,0.0165,Average Diameter for LDL Particles
LA%,0.0163,0.0160,Linoleic Acid to Total-Fatty Acids percentage
Lactate,0.0080,0.0157,Lactate
Phe,0.0152,0.0155,Phenylalanine
Citrate,0.0175,0.0154,Citrate
Acetone,0.0123,0.0153,Acetone
Glu-lactate,0.0113,0.0153,Glucose-lactate
S-LDL-C%,0.0237,0.0152,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.0188,0.0126,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE%,0.0087,0.0115,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,0.0112,0.0113,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC%,0.0133,0.0104,Free Cholesterol to Total-Lipids in Small HDL percentage
L-LDL-PL%,0.0045,0.0100,Phospholipids to Total-Lipids in Large LDL percentage
Sc-ala,0.0093,0.0098,Spectrometer-corrected alanine
SFA%,0.0058,0.0090,Saturated Fatty Acids to Total-Fatty Acids percentage
Glu,0.0058,0.0090,Glucose
Total-P,0.0087,0.0080,Total-Concentration of Lipoprotein Particles
S-LDL-PL%,0.0112,0.0080,Phospholipids to Total-Lipids in Small LDL percentage
Leu,0.0058,0.0065,Leucine
M-HDL-PL%,0.0083,0.0063,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-PL%,0.0082,0.0063,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,0.0035,0.0061,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-FC%,0.0045,0.0060,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0065,0.0054,Valine
L-LDL-C%,0.0073,0.0054,Cholesterol to Total-Lipids in Large LDL percentage
Ile,0.0035,0.0054,Isoleucine
L-LDL-FC%,0.0028,0.0046,Free Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-TG%,0.0053,0.0044,Triglycerides to Total-Lipids in Small HDL percentage
PUFA/MUFA,0.0027,0.0037,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-CE%,0.0037,0.0035,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
DHA%,0.0045,0.0033,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-LDL-CE%,0.0030,0.0031,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-BCAA,0.0025,0.0030,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-C%,0.0017,0.0029,Cholesterol to Total-Lipids in IDL percentage
Omega-3,0.0037,0.0025,Omega-3 Fatty Acids
S-HDL-PL%,0.0020,0.0025,Phospholipids to Total-Lipids in Small HDL percentage
L-VLDL-TG%,0.0028,0.0024,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-TG%,0.0018,0.0024,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.0028,0.0023,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-TG,0.0030,0.0022,Triglycerides in Large HDL
XXL-VLDL-TG%,0.0023,0.0017,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,0.0028,0.0016,Free Cholesterol to Total-Lipids in IDL percentage
VLDL-size,0.0007,0.0014,Average Diameter for VLDL Particles
