Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Acetate,0.0610,0.0739,Acetate
GlycA,0.0905,0.0558,Glycoprotein Acetyls
Ile,0.0293,0.0427,Isoleucine
His,0.0558,0.0416,Histidine
LA%,0.0575,0.0406,Linoleic Acid to Total-Fatty Acids percentage
Pyruvate,0.0617,0.0393,Pyruvate
LDL-size,0.0237,0.0391,Average Diameter for LDL Particles
Gly,0.0425,0.0364,Glycine
Albumin,0.0267,0.0360,Albumin
MUFA%,0.0398,0.0333,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Acetoacetate,0.0410,0.0333,Acetoacetate
Glu,0.0210,0.0325,Glucose
Gln,0.0520,0.0279,Glutamine
3-Hydroxybutyrate,0.0313,0.0276,3-Hydroxybutyrate
Ala,0.0302,0.0264,Alanine
Citrate,0.0210,0.0253,Citrate
Omega-6/Omega-3,0.0207,0.0249,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-CE%,0.0190,0.0245,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-C%,0.0185,0.0225,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu-lactate,0.0105,0.0216,Glucose-lactate
IDL-CE%,0.0238,0.0198,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-PL%,0.0127,0.0179,Phospholipids to Total-Lipids in IDL percentage
L-VLDL-TG%,0.0122,0.0174,Triglycerides to Total-Lipids in Large VLDL percentage
Phe,0.0077,0.0157,Phenylalanine
Lactate,0.0110,0.0143,Lactate
Acetone,0.0097,0.0135,Acetone
Sc-ala,0.0125,0.0112,Spectrometer-corrected alanine
Creatinine,0.0125,0.0108,Creatinine
XXL-VLDL-TG%,0.0067,0.0104,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Val,0.0107,0.0098,Valine
XXL-VLDL-PL%,0.0063,0.0092,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,0.0050,0.0086,Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-PL%,0.0072,0.0086,Phospholipids to Total-Lipids in Small HDL percentage
PUFA/MUFA,0.0077,0.0070,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-FC%,0.0047,0.0065,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-FC%,0.0090,0.0063,Free Cholesterol to Total-Lipids in IDL percentage
Tyr,0.0062,0.0058,Tyrosine
M-LDL-PL%,0.0038,0.0054,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,0.0045,0.0054,Free Cholesterol to Total-Lipids in Large VLDL percentage
XXL-VLDL-L,0.0038,0.0050,Total-Lipids in Chylomicrons and Extremely Large VLDL
IDL-TG%,0.0062,0.0047,Triglycerides to Total-Lipids in IDL percentage
DHA%,0.0013,0.0044,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-P,0.0013,0.0044,Concentration of Medium LDL Particles
Omega-6%,0.0063,0.0043,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,0.0010,0.0042,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-HDL-CE%,0.0035,0.0042,Cholesteryl Esters to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,0.0020,0.0037,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-FC,0.0010,0.0035,Free Cholesterol in Very Large HDL
S-LDL-C%,0.0013,0.0035,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC%,0.0025,0.0034,Free Cholesterol to Total-Lipids in Large LDL percentage
SFA%,0.0020,0.0034,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,0.0023,0.0032,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Leu,0.0032,0.0031,Leucine
XL-HDL-CE%,0.0030,0.0030,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-HDL-C,0.0027,0.0030,Cholesterol in Small HDL
XL-HDL-TG%,0.0032,0.0029,Triglycerides to Total-Lipids in Very Large HDL percentage
XS-VLDL-C%,0.0020,0.0028,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-PL%,0.0038,0.0027,Phospholipids to Total-Lipids in Very Large VLDL percentage
M-HDL-PL%,0.0012,0.0023,Phospholipids to Total-Lipids in Medium HDL percentage
IDL-P,0.0022,0.0022,Concentration of IDL Particles
L-HDL-FC%,0.0022,0.0020,Free Cholesterol to Total-Lipids in Large HDL percentage
MUFA,0.0017,0.0018,Monounsaturated Fatty Acids
S-LDL-FC%,0.0033,0.0018,Free Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-PL%,0.0015,0.0015,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-FC,0.0013,0.0014,Free Cholesterol in Small HDL
VLDL-size,0.0007,0.0014,Average Diameter for VLDL Particles
L-LDL-C%,0.0008,0.0013,Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-CE%,0.0012,0.0013,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-HDL-C%,0.0005,0.0011,Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,0.0012,0.0011,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-FC%,0.0010,0.0008,Free Cholesterol to Total-Lipids in Small HDL percentage
