Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Tyr,0.0838,0.0873,Tyrosine
L-LDL-TG%,0.0555,0.0785,Triglycerides to Total-Lipids in Large LDL percentage
Gln,0.0553,0.0581,Glutamine
Gly,0.0645,0.0515,Glycine
Unsaturation,0.0495,0.0505,Degree of Unsaturation
M-LDL-C%,0.0458,0.0472,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.0612,0.0461,Cholesterol to Total-Lipids in Large LDL percentage
Creatinine,0.0492,0.0425,Creatinine
Albumin,0.0408,0.0347,Albumin
Acetone,0.0422,0.0327,Acetone
Phe,0.0312,0.0317,Phenylalanine
GlycA,0.0195,0.0294,Glycoprotein Acetyls
IDL-FC%,0.0227,0.0293,Free Cholesterol to Total-Lipids in IDL percentage
Leu,0.0220,0.0282,Leucine
Citrate,0.0317,0.0253,Citrate
3-Hydroxybutyrate,0.0315,0.0253,3-Hydroxybutyrate
Total-BCAA,0.0152,0.0230,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Pyruvate,0.0145,0.0217,Pyruvate
DHA,0.0307,0.0217,Docosahexaenoic Acid
Glu,0.0253,0.0203,Glucose
Val,0.0105,0.0165,Valine
Acetoacetate,0.0213,0.0156,Acetoacetate
Glu-lactate,0.0168,0.0148,Glucose-lactate
His,0.0140,0.0145,Histidine
Omega-3,0.0107,0.0138,Omega-3 Fatty Acids
Omega-6/Omega-3,0.0108,0.0128,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ala,0.0058,0.0122,Alanine
Omega-3%,0.0150,0.0103,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Acetate,0.0070,0.0089,Acetate
XXL-VLDL-CE%,0.0058,0.0074,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Ile,0.0037,0.0073,Isoleucine
SFA%,0.0040,0.0069,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL%,0.0098,0.0067,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Lactate,0.0057,0.0067,Lactate
Sc-ala,0.0028,0.0066,Spectrometer-corrected alanine
IDL-PL%,0.0083,0.0061,Phospholipids to Total-Lipids in IDL percentage
L-HDL-C%,0.0090,0.0051,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-PL%,0.0042,0.0050,Phospholipids to Total-Lipids in Small LDL percentage
L-VLDL-PL%,0.0050,0.0047,Phospholipids to Total-Lipids in Large VLDL percentage
LDL-size,0.0038,0.0044,Average Diameter for LDL Particles
S-VLDL-CE%,0.0032,0.0042,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-CE,0.0023,0.0039,Cholesteryl Esters in Small HDL
PUFA/MUFA,0.0053,0.0034,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
IDL-C%,0.0018,0.0032,Cholesterol to Total-Lipids in IDL percentage
XL-HDL-FC,0.0042,0.0026,Free Cholesterol in Very Large HDL
S-HDL-FC%,0.0038,0.0025,Free Cholesterol to Total-Lipids in Small HDL percentage
LA%,0.0045,0.0025,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-PL%,0.0035,0.0025,Phospholipids to Total-Lipids in Large HDL percentage
IDL-CE%,0.0017,0.0016,Cholesteryl Esters to Total-Lipids in IDL percentage
MUFA%,0.0013,0.0011,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,0.0017,0.0008,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-PL%,0.0005,0.0004,Phospholipids to Total-Lipids in Medium LDL percentage
