Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
L-HDL-P,0.1543,0.4845,Concentration of Large HDL Particles
XL-HDL-FC%,0.0458,0.0570,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-HDL-C,0.0390,0.0482,Cholesterol in Large HDL
Total-BCAA,0.0598,0.0393,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Gly,0.0595,0.0330,Glycine
Acetate,0.0695,0.0297,Acetate
XL-VLDL-FC%,0.0360,0.0231,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL%,0.0488,0.0221,Phospholipids to Total-Lipids in Very Small VLDL percentage
XL-VLDL-PL%,0.0303,0.0217,Phospholipids to Total-Lipids in Very Large VLDL percentage
3-Hydroxybutyrate,0.0327,0.0187,3-Hydroxybutyrate
XXL-VLDL-FC%,0.0285,0.0173,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetone,0.0310,0.0160,Acetone
Unsaturation,0.0300,0.0149,Degree of Unsaturation
L-VLDL-TG%,0.0240,0.0145,Triglycerides to Total-Lipids in Large VLDL percentage
PUFA%,0.0302,0.0141,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE%,0.0252,0.0137,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
HDL-L,0.0272,0.0118,Total-Lipids in HDL
XL-HDL-CE,0.0205,0.0102,Cholesteryl Esters in Very Large HDL
L-HDL-CE,0.0157,0.0085,Cholesteryl Esters in Large HDL
HDL-C,0.0112,0.0081,HDL Cholesterol
L-HDL-FC,0.0060,0.0076,Free Cholesterol in Large HDL
Phe,0.0123,0.0064,Phenylalanine
XS-VLDL-CE,0.0083,0.0061,Cholesteryl Esters in Very Small VLDL
Ala,0.0120,0.0061,Alanine
M-HDL-FC%,0.0060,0.0054,Free Cholesterol to Total-Lipids in Medium HDL percentage
Acetoacetate,0.0095,0.0046,Acetoacetate
S-HDL-PL%,0.0090,0.0040,Phospholipids to Total-Lipids in Small HDL percentage
GlycA,0.0085,0.0039,Glycoprotein Acetyls
L-VLDL-PL%,0.0060,0.0036,Phospholipids to Total-Lipids in Large VLDL percentage
LDL-size,0.0095,0.0035,Average Diameter for LDL Particles
DHA%,0.0077,0.0034,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-CE%,0.0063,0.0031,Cholesteryl Esters to Total-Lipids in IDL percentage
Gln,0.0067,0.0030,Glutamine
Creatinine,0.0065,0.0025,Creatinine
Glu,0.0057,0.0024,Glucose
Val,0.0045,0.0023,Valine
LA%,0.0057,0.0023,Linoleic Acid to Total-Fatty Acids percentage
Sc-ala,0.0052,0.0022,Spectrometer-corrected alanine
Ile,0.0048,0.0022,Isoleucine
His,0.0047,0.0020,Histidine
XXL-VLDL-CE,0.0040,0.0019,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL%,0.0027,0.0017,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Lactate,0.0035,0.0015,Lactate
M-HDL-TG,0.0030,0.0014,Triglycerides in Medium HDL
Omega-6/Omega-3,0.0027,0.0014,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Albumin,0.0023,0.0012,Albumin
IDL-FC%,0.0023,0.0011,Free Cholesterol to Total-Lipids in IDL percentage
Omega-3%,0.0020,0.0010,Omega-3 Fatty Acids to Total-Fatty Acids percentage
IDL-PL%,0.0025,0.0010,Phospholipids to Total-Lipids in IDL percentage
Pyruvate,0.0020,0.0009,Pyruvate
L-VLDL-FC%,0.0017,0.0007,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-PL%,0.0015,0.0006,Phospholipids to Total-Lipids in Medium LDL percentage
SFA%,0.0012,0.0005,Saturated Fatty Acids to Total-Fatty Acids percentage
Citrate,0.0012,0.0004,Citrate
L-HDL-TG,0.0008,0.0004,Triglycerides in Large HDL
L-LDL-CE%,0.0008,0.0003,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-PL%,0.0007,0.0002,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-FC,0.0005,0.0002,Free Cholesterol in Very Large HDL
S-HDL-FC%,0.0005,0.0002,Free Cholesterol to Total-Lipids in Small HDL percentage
Tyr,0.0002,5.6553e-05,Tyrosine
