Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
IDL-CE%,0.0797,0.1469,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.0643,0.0866,Cholesterol to Total-Lipids in Large LDL percentage
Albumin,0.0932,0.0741,Albumin
IDL-TG%,0.0288,0.0618,Triglycerides to Total-Lipids in IDL percentage
IDL-CE,0.0330,0.0586,Cholesteryl Esters in IDL
GlycA,0.0602,0.0469,Glycoprotein Acetyls
S-LDL-CE%,0.0502,0.0440,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Creatinine,0.0493,0.0411,Creatinine
3-Hydroxybutyrate,0.0515,0.0362,3-Hydroxybutyrate
L-LDL-TG%,0.0195,0.0284,Triglycerides to Total-Lipids in Large LDL percentage
MUFA%,0.0320,0.0271,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-FC,0.0288,0.0248,Free Cholesterol in Very Large HDL
Glu-lactate,0.0317,0.0246,Glucose-lactate
DHA,0.0273,0.0232,Docosahexaenoic Acid
XXL-VLDL-PL%,0.0292,0.0210,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,0.0268,0.0200,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-FC%,0.0215,0.0189,Free Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0197,0.0173,Phospholipids to Total-Lipids in Very Small VLDL percentage
Gln,0.0205,0.0165,Glutamine
Acetate,0.0182,0.0153,Acetate
Sc-ala,0.0172,0.0132,Spectrometer-corrected alanine
XL-VLDL-PL%,0.0178,0.0120,Phospholipids to Total-Lipids in Very Large VLDL percentage
XS-VLDL-CE%,0.0087,0.0111,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-LDL-PL%,0.0155,0.0107,Phospholipids to Total-Lipids in Small LDL percentage
Val,0.0143,0.0102,Valine
Lactate,0.0133,0.0088,Lactate
Tyr,0.0110,0.0087,Tyrosine
XXL-VLDL-FC%,0.0082,0.0081,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Glu,0.0070,0.0075,Glucose
LA%,0.0097,0.0071,Linoleic Acid to Total-Fatty Acids percentage
Gly,0.0092,0.0069,Glycine
Acetoacetate,0.0098,0.0067,Acetoacetate
Ala,0.0065,0.0066,Alanine
IDL-C%,0.0045,0.0060,Cholesterol to Total-Lipids in IDL percentage
Pyruvate,0.0075,0.0057,Pyruvate
Phe,0.0092,0.0055,Phenylalanine
L-VLDL-FC%,0.0063,0.0046,Free Cholesterol to Total-Lipids in Large VLDL percentage
Citrate,0.0055,0.0042,Citrate
Acetone,0.0060,0.0038,Acetone
L-HDL-C%,0.0028,0.0026,Cholesterol to Total-Lipids in Large HDL percentage
IDL-PL%,0.0042,0.0026,Phospholipids to Total-Lipids in IDL percentage
His,0.0038,0.0024,Histidine
DHA%,0.0027,0.0018,Docosahexaenoic Acid to Total-Fatty Acids percentage
LDL-size,0.0023,0.0016,Average Diameter for LDL Particles
L-VLDL-PL%,0.0018,0.0014,Phospholipids to Total-Lipids in Large VLDL percentage
Leu,0.0022,0.0014,Leucine
Ile,0.0015,0.0011,Isoleucine
XS-VLDL-FC%,0.0018,0.0011,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE,0.0015,0.0010,Cholesteryl Esters in Small HDL
L-LDL-CE%,0.0013,0.0009,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Total-BCAA,0.0005,0.0005,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
SFA%,0.0003,0.0003,Saturated Fatty Acids to Total-Fatty Acids percentage
M-HDL-PL%,0.0003,0.0002,Phospholipids to Total-Lipids in Medium HDL percentage
Omega-3%,0.0003,0.0002,Omega-3 Fatty Acids to Total-Fatty Acids percentage
