Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.35 [1.16-1.58],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-TG%,1.14 [0.96-1.35],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Phe,1.08 [0.92-1.27],1.000,,Phenylalanine
Tyr,1.02 [0.86-1.20],1.000,,Tyrosine
M-LDL-CE%,1.02 [0.86-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Remnant-C,0.83 [0.71-0.98],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.82 [0.70-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,0.82 [0.70-0.96],1.000,,Total-Cholesterol Minus HDL-C
IDL-C%,0.71 [0.62-0.82],0.569,,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.68 [0.59-0.78],0.024,*,Cholesteryl Esters to Total-Lipids in IDL percentage
