Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.22 [1.04-1.42],1.000,,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.20 [1.03-1.41],1.000,,Phospholipids to Total-Lipids in IDL percentage
M-LDL-PL%,1.09 [0.93-1.28],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.08 [0.92-1.28],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-FC%,1.02 [0.86-1.20],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.96 [0.82-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,0.91 [0.77-1.06],1.000,,LDL Cholesterol
HDL-C,0.90 [0.75-1.08],1.000,,HDL Cholesterol
Non-HDL-C,0.90 [0.77-1.05],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.90 [0.76-1.05],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
