Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.07 [0.89-1.29],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.06 [0.88-1.27],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-CE%,1.05 [0.87-1.26],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,1.03 [0.86-1.24],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-PL%,1.00 [0.82-1.22],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.96 [0.80-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.87 [0.73-1.05],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
S-LDL-C%,0.68 [0.59-0.80],0.263,,Cholesterol to Total-Lipids in Small LDL percentage
Val,0.66 [0.53-0.81],1.000,,Valine
Total-BCAA,0.65 [0.52-0.80],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
