Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.09 [0.93-1.29],1.000,,Triglycerides to Total-Lipids in IDL percentage
IDL-PL%,1.09 [0.93-1.27],1.000,,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.06 [0.89-1.26],1.000,,Triglycerides to Phosphoglycerides ratio
M-LDL-TG%,1.06 [0.90-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.02 [0.86-1.20],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
VLDL-C,0.94 [0.80-1.11],1.000,,VLDL Cholesterol
Non-HDL-C,0.91 [0.78-1.07],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.91 [0.77-1.07],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.91 [0.77-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-C,0.90 [0.76-1.06],1.000,,Total-Cholesterol
