Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-TG%,1.75 [1.63-1.88],3.708e-50,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.71 [1.60-1.83],1.488e-48,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.70 [1.60-1.81],6.595e-54,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.66 [1.56-1.76],1.502e-56,***,Triglycerides to Total-Lipids in IDL percentage
XL-VLDL-TG%,1.60 [1.47-1.74],1.155e-21,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-LDL-TG%,1.59 [1.50-1.69],1.139e-49,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.58 [1.49-1.67],2.420e-50,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-PL%,1.46 [1.38-1.56],5.079e-28,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-PL%,1.42 [1.33-1.51],6.619e-23,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
S-LDL-TG%,1.40 [1.32-1.49],7.869e-23,***,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.35 [1.27-1.44],7.135e-18,***,Phospholipids to Total-Lipids in Large HDL percentage
XXL-VLDL-PL%,1.34 [1.25-1.43],7.807e-11,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-TG%,1.32 [1.23-1.41],1.598e-10,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-LDL-PL%,1.28 [1.20-1.36],3.947e-09,***,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-PL%,1.25 [1.17-1.33],3.403e-06,***,Phospholipids to Total-Lipids in Small HDL percentage
Creatinine,1.21 [1.14-1.30],0.001,**,Creatinine
MUFA%,1.21 [1.13-1.29],0.006,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-C%,0.85 [0.81-0.90],0.008,**,Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-CE%,0.85 [0.80-0.90],0.007,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-LDL-FC%,0.85 [0.80-0.90],0.016,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-FC%,0.85 [0.80-0.89],4.356e-04,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-CE,0.84 [0.79-0.89],0.012,*,Cholesteryl Esters in Small HDL
Total-TG,0.83 [0.78-0.89],0.016,*,Total-Triglycerides
VLDL-TG,0.83 [0.78-0.89],0.017,*,Triglycerides in VLDL
IDL-TG,0.83 [0.78-0.89],0.026,*,Triglycerides in IDL
L-VLDL-FC%,0.83 [0.78-0.88],0.002,**,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-TG,0.83 [0.77-0.89],0.009,**,Triglycerides in Medium LDL
IDL-FC%,0.83 [0.78-0.87],1.132e-05,***,Free Cholesterol to Total-Lipids in IDL percentage
MUFA,0.82 [0.77-0.88],9.622e-04,***,Monounsaturated Fatty Acids
L-LDL-CE%,0.82 [0.77-0.87],3.856e-06,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XXL-VLDL-CE,0.82 [0.76-0.88],0.002,**,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-HDL-C,0.82 [0.77-0.87],4.439e-05,***,Cholesterol in Small HDL
LDL-TG,0.81 [0.76-0.87],6.009e-04,***,Triglycerides in LDL
HDL-P,0.81 [0.76-0.87],7.667e-04,***,Concentration of HDL Particles
XL-HDL-TG,0.81 [0.76-0.87],3.584e-04,***,Triglycerides in Very Large HDL
XL-VLDL-P,0.81 [0.75-0.87],4.586e-04,***,Concentration of Very Large VLDL Particles
L-LDL-TG,0.81 [0.75-0.87],1.890e-04,***,Triglycerides in Large LDL
L-VLDL-TG,0.81 [0.75-0.87],2.107e-04,***,Triglycerides in Large VLDL
XL-VLDL-L,0.80 [0.75-0.86],8.016e-05,***,Total-Lipids in Very Large VLDL
S-HDL-P,0.80 [0.75-0.85],4.777e-07,***,Concentration of Small HDL Particles
XL-VLDL-PL,0.78 [0.72-0.83],2.464e-07,***,Phospholipids in Very Large VLDL
HDL-FC,0.78 [0.72-0.84],1.637e-05,***,Free Cholesterol in HDL
L-VLDL-PL,0.78 [0.72-0.83],1.324e-07,***,Phospholipids in Large VLDL
L-VLDL-P,0.77 [0.72-0.83],1.043e-07,***,Concentration of Large VLDL Particles
M-VLDL-TG,0.77 [0.72-0.82],5.738e-09,***,Triglycerides in Medium VLDL
XL-HDL-L,0.77 [0.71-0.83],5.069e-05,***,Total-Lipids in Very Large HDL
S-HDL-FC,0.76 [0.72-0.82],1.283e-10,***,Free Cholesterol in Small HDL
L-VLDL-L,0.76 [0.71-0.82],1.756e-09,***,Total-Lipids in Large VLDL
XL-VLDL-FC,0.75 [0.70-0.81],2.968e-10,***,Free Cholesterol in Very Large VLDL
L-HDL-FC%,0.75 [0.71-0.79],1.709e-24,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-FC,0.74 [0.69-0.79],1.241e-11,***,Free Cholesterol in Large VLDL
Total-P,0.74 [0.69-0.79],4.306e-13,***,Total-Concentration of Lipoprotein Particles
XL-VLDL-PL%,0.74 [0.70-0.77],2.918e-27,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-LDL-CE%,0.73 [0.69-0.78],7.169e-19,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-CE%,0.73 [0.69-0.78],2.290e-18,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-C%,0.73 [0.68-0.78],2.076e-16,***,Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-CE,0.73 [0.67-0.79],6.725e-08,***,Cholesteryl Esters in Very Large HDL
