Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.27 [1.22-1.33],4.803e-23,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,1.22 [1.17-1.28],2.522e-16,***,Glycoprotein Acetyls
TG/PG,1.20 [1.15-1.25],3.611e-11,***,Triglycerides to Phosphoglycerides ratio
M-HDL-PL%,1.20 [1.15-1.25],5.093e-12,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.19 [1.14-1.25],5.789e-11,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,1.19 [1.14-1.24],4.016e-11,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-PL%,1.19 [1.14-1.24],4.172e-12,***,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,1.19 [1.14-1.24],3.287e-11,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.18 [1.14-1.23],2.314e-11,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-TG%,1.18 [1.13-1.23],8.270e-09,***,Triglycerides to Total-Lipids in Small HDL percentage
VLDL-size,1.18 [1.13-1.23],2.924e-08,***,Average Diameter for VLDL Particles
L-HDL-TG%,1.18 [1.13-1.23],1.183e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.17 [1.12-1.23],6.408e-06,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Creatinine,1.17 [1.12-1.23],8.809e-08,***,Creatinine
XL-HDL-FC%,1.17 [1.12-1.23],1.415e-06,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-TG%,1.16 [1.11-1.21],9.427e-07,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.16 [1.11-1.22],3.457e-04,***,Phospholipids to Total-Lipids in Large VLDL percentage
L-LDL-TG%,1.16 [1.11-1.21],5.949e-08,***,Triglycerides to Total-Lipids in Large LDL percentage
S-LDL-TG%,1.16 [1.11-1.21],1.035e-07,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,1.15 [1.11-1.20],6.624e-06,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG,1.15 [1.11-1.20],1.015e-06,***,Triglycerides in Small HDL
XL-VLDL-TG,1.14 [1.09-1.19],2.596e-05,***,Triglycerides in Very Large VLDL
XS-VLDL-PL%,1.14 [1.09-1.18],1.611e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
VLDL-TG,1.13 [1.09-1.18],5.322e-04,***,Triglycerides in VLDL
M-LDL-TG%,1.13 [1.09-1.18],1.225e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
