Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.20 [1.17-1.24],7.781e-35,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.20 [1.17-1.24],1.912e-28,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-TG%,1.19 [1.16-1.22],1.404e-30,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-TG%,1.18 [1.15-1.22],5.426e-25,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.17 [1.14-1.20],6.309e-25,***,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.17 [1.13-1.20],7.453e-21,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.16 [1.13-1.20],3.826e-22,***,Triglycerides to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.16 [1.13-1.19],5.575e-18,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-PL%,1.16 [1.13-1.19],3.526e-19,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-HDL-PL%,1.15 [1.12-1.19],2.127e-17,***,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.15 [1.12-1.19],3.595e-16,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-HDL-TG%,1.15 [1.12-1.18],7.339e-16,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG%,1.15 [1.11-1.18],3.544e-15,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-HDL-TG%,1.14 [1.11-1.17],1.266e-13,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,1.14 [1.10-1.17],2.133e-12,***,Triglycerides to Phosphoglycerides ratio
M-HDL-TG%,1.14 [1.10-1.17],9.689e-13,***,Triglycerides to Total-Lipids in Medium HDL percentage
GlycA,1.13 [1.10-1.17],4.872e-12,***,Glycoprotein Acetyls
L-VLDL-PL%,1.13 [1.09-1.17],7.882e-09,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-VLDL-TG%,1.13 [1.09-1.16],6.923e-09,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG,1.13 [1.10-1.16],2.970e-12,***,Triglycerides in Small HDL
IDL-PL%,1.11 [1.08-1.14],2.600e-09,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG,1.11 [1.08-1.14],3.253e-08,***,Triglycerides in Very Small VLDL
XXL-VLDL-PL,1.10 [1.07-1.13],3.592e-07,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG,1.10 [1.07-1.13],1.113e-06,***,Triglycerides in Very Large VLDL
Creatinine,1.10 [1.07-1.14],2.799e-04,***,Creatinine
S-VLDL-TG,1.10 [1.07-1.13],1.058e-06,***,Triglycerides in Small VLDL
XXL-VLDL-P,1.10 [1.07-1.13],1.312e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
VLDL-size,1.10 [1.07-1.13],1.245e-04,***,Average Diameter for VLDL Particles
XXL-VLDL-L,1.10 [1.07-1.13],6.047e-06,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-HDL-FC%,1.10 [1.06-1.13],0.001,**,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-FC,1.10 [1.07-1.13],3.471e-06,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-HDL-TG,1.10 [1.07-1.13],2.900e-06,***,Triglycerides in Medium HDL
Total-TG,1.10 [1.07-1.13],2.245e-05,***,Total-Triglycerides
XXL-VLDL-TG,1.09 [1.06-1.12],2.053e-05,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-P,1.09 [1.06-1.12],2.983e-05,***,Concentration of Very Large VLDL Particles
VLDL-TG,1.09 [1.06-1.13],7.827e-05,***,Triglycerides in VLDL
XL-VLDL-L,1.09 [1.06-1.12],9.418e-05,***,Total-Lipids in Very Large VLDL
XXL-VLDL-C,1.09 [1.06-1.12],4.708e-05,***,Cholesterol in Chylomicrons and Extremely Large VLDL
HDL-TG,1.09 [1.06-1.12],2.293e-05,***,Triglycerides in HDL
L-VLDL-PL,1.09 [1.06-1.12],2.269e-04,***,Phospholipids in Large VLDL
XL-VLDL-PL,1.09 [1.06-1.12],4.429e-04,***,Phospholipids in Very Large VLDL
XXL-VLDL-CE,1.09 [1.06-1.12],7.009e-04,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-TG,1.09 [1.06-1.12],2.422e-04,***,Triglycerides in Small LDL
IDL-TG,1.09 [1.06-1.12],2.668e-04,***,Triglycerides in IDL
MUFA,1.09 [1.06-1.12],0.001,**,Monounsaturated Fatty Acids
L-VLDL-P,1.08 [1.05-1.11],0.003,**,Concentration of Large VLDL Particles
XL-VLDL-FC,1.08 [1.05-1.11],0.006,**,Free Cholesterol in Very Large VLDL
M-LDL-TG,1.08 [1.05-1.11],0.003,**,Triglycerides in Medium LDL
LDL-TG,1.08 [1.05-1.11],0.004,**,Triglycerides in LDL
L-VLDL-FC,1.08 [1.05-1.11],0.022,*,Free Cholesterol in Large VLDL
L-VLDL-L,1.08 [1.05-1.11],0.033,*,Total-Lipids in Large VLDL
L-VLDL-TG,1.08 [1.05-1.11],0.024,*,Triglycerides in Large VLDL
L-LDL-TG,1.08 [1.05-1.11],0.014,*,Triglycerides in Large LDL
LDL-L,0.93 [0.90-0.96],0.044,*,Total-Lipids in LDL
Non-HDL-C,0.93 [0.90-0.95],0.023,*,Total-Cholesterol Minus HDL-C
L-VLDL-C%,0.93 [0.90-0.95],0.030,*,Cholesterol to Total-Lipids in Large VLDL percentage
LDL-PL,0.93 [0.90-0.95],0.012,*,Phospholipids in LDL
L-LDL-CE,0.92 [0.90-0.95],0.003,**,Cholesteryl Esters in Large LDL
LDL-C,0.92 [0.90-0.95],0.002,**,LDL Cholesterol
Total-FC,0.92 [0.90-0.95],0.003,**,Total-Free Cholesterol
SM,0.92 [0.90-0.95],0.012,*,Sphingomyelins
IDL-P,0.92 [0.90-0.95],0.002,**,Concentration of IDL Particles
