Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG,1.21 [1.15-1.27],8.561e-09,***,Triglycerides in Very Large VLDL
Total-TG,1.21 [1.15-1.27],1.535e-08,***,Total-Triglycerides
S-HDL-TG,1.21 [1.15-1.27],1.703e-09,***,Triglycerides in Small HDL
TG/PG,1.21 [1.14-1.27],2.145e-06,***,Triglycerides to Phosphoglycerides ratio
VLDL-TG,1.20 [1.15-1.27],5.967e-08,***,Triglycerides in VLDL
XL-VLDL-L,1.20 [1.15-1.26],5.325e-08,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,1.20 [1.15-1.26],2.680e-08,***,Concentration of Very Large VLDL Particles
XXL-VLDL-P,1.20 [1.14-1.26],5.275e-08,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
MUFA,1.20 [1.14-1.26],7.002e-07,***,Monounsaturated Fatty Acids
S-LDL-TG,1.20 [1.14-1.26],4.865e-08,***,Triglycerides in Small LDL
XXL-VLDL-L,1.20 [1.14-1.26],2.800e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
MUFA%,1.20 [1.13-1.27],2.449e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-PL,1.20 [1.14-1.26],1.519e-07,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,1.20 [1.14-1.26],3.910e-07,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,1.20 [1.14-1.26],1.242e-07,***,Phospholipids in Very Large VLDL
S-HDL-TG%,1.19 [1.13-1.26],1.639e-06,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-PL,1.19 [1.14-1.25],2.612e-07,***,Phospholipids in Large VLDL
XXL-VLDL-FC,1.19 [1.14-1.25],3.677e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG,1.19 [1.14-1.25],1.732e-07,***,Triglycerides in Small VLDL
L-VLDL-P,1.19 [1.13-1.25],3.684e-07,***,Concentration of Large VLDL Particles
XL-VLDL-FC,1.19 [1.13-1.25],7.379e-07,***,Free Cholesterol in Very Large VLDL
L-VLDL-TG,1.19 [1.13-1.25],1.021e-06,***,Triglycerides in Large VLDL
M-LDL-TG,1.19 [1.13-1.25],5.624e-07,***,Triglycerides in Medium LDL
L-VLDL-L,1.19 [1.13-1.25],1.409e-06,***,Total-Lipids in Large VLDL
XXL-VLDL-C,1.19 [1.13-1.25],2.035e-06,***,Cholesterol in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,1.19 [1.13-1.24],1.729e-07,***,Triglycerides in Very Small VLDL
LDL-TG,1.18 [1.13-1.24],1.361e-06,***,Triglycerides in LDL
SFA,1.18 [1.12-1.25],3.024e-05,***,Saturated Fatty Acids
L-VLDL-FC,1.18 [1.13-1.24],3.167e-06,***,Free Cholesterol in Large VLDL
VLDL-size,1.18 [1.12-1.25],1.170e-04,***,Average Diameter for VLDL Particles
VLDL-L,1.18 [1.12-1.24],1.172e-05,***,Total-Lipids in VLDL
M-VLDL-TG,1.18 [1.12-1.24],4.686e-06,***,Triglycerides in Medium VLDL
XL-HDL-TG%,1.18 [1.12-1.24],2.126e-04,***,Triglycerides to Total-Lipids in Very Large HDL percentage
HDL-TG,1.18 [1.13-1.24],5.296e-07,***,Triglycerides in HDL
M-HDL-TG%,1.18 [1.12-1.24],4.597e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-CE,1.18 [1.12-1.24],1.561e-05,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-HDL-TG,1.18 [1.12-1.23],6.912e-07,***,Triglycerides in Medium HDL
M-HDL-PL%,1.18 [1.11-1.24],9.141e-04,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-LDL-TG%,1.17 [1.12-1.23],4.394e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
L-LDL-TG,1.17 [1.12-1.23],9.001e-06,***,Triglycerides in Large LDL
IDL-TG,1.17 [1.12-1.23],5.858e-06,***,Triglycerides in IDL
L-HDL-TG%,1.17 [1.11-1.24],0.002,**,Triglycerides to Total-Lipids in Large HDL percentage
Total-FA,1.17 [1.11-1.23],3.483e-04,***,Total-Fatty Acids
XL-VLDL-C,1.17 [1.11-1.23],1.022e-04,***,Cholesterol in Very Large VLDL
VLDL-PL,1.17 [1.11-1.22],1.621e-04,***,Phospholipids in VLDL
L-VLDL-C,1.16 [1.11-1.22],1.254e-04,***,Cholesterol in Large VLDL
IDL-TG%,1.16 [1.10-1.22],0.003,**,Triglycerides to Total-Lipids in IDL percentage
GlycA,1.16 [1.10-1.22],0.006,**,Glycoprotein Acetyls
L-LDL-TG%,1.15 [1.09-1.21],0.026,*,Triglycerides to Total-Lipids in Large LDL percentage
XL-HDL-TG,1.15 [1.10-1.20],0.002,**,Triglycerides in Very Large HDL
S-VLDL-L,1.15 [1.09-1.21],0.003,**,Total-Lipids in Small VLDL
S-VLDL-P,1.15 [1.10-1.20],0.002,**,Concentration of Small VLDL Particles
XL-VLDL-TG%,1.15 [1.09-1.21],0.017,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
VLDL-FC,1.15 [1.09-1.20],0.008,**,Free Cholesterol in VLDL
L-VLDL-CE,1.14 [1.09-1.20],0.008,**,Cholesteryl Esters in Large VLDL
XL-VLDL-CE,1.14 [1.09-1.20],0.018,*,Cholesteryl Esters in Very Large VLDL
VLDL-P,1.14 [1.09-1.20],0.013,*,Concentration of VLDL Particles
IDL-C%,0.87 [0.83-0.92],0.032,*,Cholesterol to Total-Lipids in IDL percentage
S-VLDL-PL%,0.87 [0.83-0.92],0.015,*,Phospholipids to Total-Lipids in Small VLDL percentage
S-HDL-CE%,0.87 [0.83-0.91],0.001,**,Cholesteryl Esters to Total-Lipids in Small HDL percentage
