Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.10 [0.91-1.32],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Leu,1.09 [0.89-1.33],1.000,,Leucine
Total-BCAA,1.05 [0.86-1.28],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Phe,1.02 [0.85-1.23],1.000,,Phenylalanine
Ile,1.01 [0.82-1.23],1.000,,Isoleucine
M-LDL-FC%,0.93 [0.75-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.92 [0.74-1.13],1.000,,VLDL Cholesterol
HDL-CE,0.87 [0.70-1.08],1.000,,Cholesteryl Esters in HDL
Remnant-C,0.86 [0.69-1.07],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.83 [0.67-1.04],1.000,,Total-Cholesterol
