Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gly,1.07 [1.02-1.12],1.000,,Glycine
Gln,1.06 [1.01-1.12],1.000,,Glutamine
M-LDL-CE%,1.01 [0.96-1.07],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-C%,1.01 [0.95-1.07],1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.01 [0.96-1.06],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.99 [0.93-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.96 [0.91-1.02],1.000,,VLDL Cholesterol
Remnant-C,0.93 [0.88-0.99],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.90 [0.85-0.96],1.000,,Total-Cholesterol
DHA,0.85 [0.79-0.91],0.522,,Docosahexaenoic Acid
