Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.20 [1.01-1.42],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
ApoB/ApoA1,1.15 [0.98-1.37],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Val,1.05 [0.89-1.24],1.000,,Valine
Total-BCAA,1.04 [0.89-1.23],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,1.03 [0.87-1.21],1.000,,Leucine
SFA%,1.00 [0.84-1.18],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
Omega-3,0.93 [0.77-1.11],1.000,,Omega-3 Fatty Acids
PUFA%,0.90 [0.74-1.08],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.88 [0.74-1.05],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA,0.85 [0.69-1.04],1.000,,Docosahexaenoic Acid
