Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-L,1.59 [1.48-1.71],1.383e-30,***,Total-Lipids in Medium HDL
M-HDL-PL,1.59 [1.48-1.70],5.318e-33,***,Phospholipids in Medium HDL
HDL-PL,1.58 [1.46-1.70],1.310e-26,***,Phospholipids in HDL
M-HDL-P,1.57 [1.46-1.68],6.272e-31,***,Concentration of Medium HDL Particles
M-HDL-C,1.57 [1.46-1.69],9.419e-28,***,Cholesterol in Medium HDL
M-HDL-FC,1.57 [1.46-1.68],2.099e-28,***,Free Cholesterol in Medium HDL
M-HDL-CE,1.56 [1.45-1.68],1.016e-27,***,Cholesteryl Esters in Medium HDL
ApoA1,1.56 [1.45-1.68],7.270e-26,***,Apolipoprotein A1
HDL-L,1.56 [1.44-1.68],1.796e-23,***,Total-Lipids in HDL
HDL-P,1.50 [1.40-1.61],5.988e-24,***,Concentration of HDL Particles
HDL-C,1.50 [1.38-1.62],7.678e-18,***,HDL Cholesterol
HDL-FC,1.49 [1.38-1.62],2.066e-18,***,Free Cholesterol in HDL
HDL-CE,1.49 [1.37-1.61],2.368e-17,***,Cholesteryl Esters in HDL
S-HDL-PL,1.48 [1.39-1.59],3.944e-24,***,Phospholipids in Small HDL
Total-P,1.46 [1.36-1.57],3.779e-19,***,Total-Concentration of Lipoprotein Particles
S-HDL-L,1.45 [1.35-1.56],1.140e-19,***,Total-Lipids in Small HDL
L-HDL-PL,1.43 [1.32-1.55],3.320e-12,***,Phospholipids in Large HDL
S-HDL-FC,1.40 [1.31-1.51],5.002e-16,***,Free Cholesterol in Small HDL
SFA%,1.38 [1.29-1.48],1.065e-14,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-C,1.38 [1.29-1.48],1.473e-13,***,Cholesterol in Small HDL
L-HDL-L,1.38 [1.27-1.50],2.085e-08,***,Total-Lipids in Large HDL
Phosphoglyc,1.37 [1.27-1.47],1.211e-10,***,Phosphoglycerides
PC,1.36 [1.26-1.47],4.601e-10,***,Phosphatidylcholines
S-HDL-P,1.36 [1.27-1.46],2.313e-12,***,Concentration of Small HDL Particles
S-HDL-CE,1.36 [1.26-1.45],1.561e-11,***,Cholesteryl Esters in Small HDL
Cholines,1.33 [1.24-1.44],4.526e-08,***,Total-Cholines
L-HDL-P,1.33 [1.22-1.44],5.101e-06,***,Concentration of Large HDL Particles
S-HDL-PL%,1.33 [1.23-1.43],1.108e-08,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-FC,1.32 [1.21-1.43],2.989e-05,***,Free Cholesterol in Large HDL
L-HDL-C,1.30 [1.19-1.41],6.593e-04,***,Cholesterol in Large HDL
L-HDL-CE,1.29 [1.18-1.40],0.002,**,Cholesteryl Esters in Large HDL
M-HDL-FC%,1.27 [1.17-1.38],0.008,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
Total-PL,1.27 [1.18-1.37],1.887e-04,***,Total-Phospholipids in Lipoprotein Particles
M-HDL-TG,1.26 [1.18-1.35],4.743e-06,***,Triglycerides in Medium HDL
HDL-size,1.26 [1.16-1.37],0.020,*,Average Diameter for HDL Particles
MUFA%,1.26 [1.17-1.36],4.915e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
SFA,1.26 [1.17-1.35],5.680e-05,***,Saturated Fatty Acids
L-HDL-TG,1.24 [1.15-1.33],0.001,**,Triglycerides in Large HDL
SM,1.24 [1.15-1.34],0.018,*,Sphingomyelins
M-LDL-TG%,1.23 [1.15-1.32],0.001,**,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.22 [1.14-1.31],0.005,**,Monounsaturated Fatty Acids
3-Hydroxybutyrate,1.22 [1.15-1.30],2.703e-04,***,3-Hydroxybutyrate
L-LDL-TG%,1.22 [1.13-1.30],0.013,*,Triglycerides to Total-Lipids in Large LDL percentage
HDL-TG,1.21 [1.13-1.30],0.008,**,Triglycerides in HDL
XS-VLDL-FC%,0.83 [0.78-0.88],4.922e-04,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC%,0.77 [0.71-0.84],9.496e-04,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Unsaturation,0.77 [0.72-0.83],4.979e-06,***,Degree of Unsaturation
Omega-6%,0.74 [0.70-0.79],2.258e-13,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.74 [0.69-0.80],6.651e-10,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,0.73 [0.68-0.78],1.804e-15,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
ApoB/ApoA1,0.72 [0.67-0.78],2.392e-11,***,Apolipoprotein B to Apolipoprotein A1 ratio
LA%,0.68 [0.64-0.73],2.706e-22,***,Linoleic Acid to Total-Fatty Acids percentage
