Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-TG%,1.08 [1.07-1.10],5.537e-23,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.08 [1.06-1.09],4.876e-20,***,Triglycerides to Total-Lipids in IDL percentage
M-VLDL-TG%,1.07 [1.06-1.09],1.040e-16,***,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,1.07 [1.06-1.09],1.953e-14,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
TG/PG,1.07 [1.05-1.09],6.486e-14,***,Triglycerides to Phosphoglycerides ratio
L-LDL-TG%,1.07 [1.06-1.08],2.426e-16,***,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-PL%,1.07 [1.05-1.08],2.034e-14,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-HDL-TG%,1.07 [1.05-1.08],1.232e-12,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,1.07 [1.05-1.08],1.662e-11,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-VLDL-TG%,1.07 [1.05-1.08],3.452e-13,***,Triglycerides to Total-Lipids in Small VLDL percentage
GlycA,1.06 [1.05-1.08],2.424e-12,***,Glycoprotein Acetyls
S-HDL-TG%,1.06 [1.05-1.08],8.433e-12,***,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.06 [1.05-1.08],1.468e-13,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,1.06 [1.05-1.08],7.428e-13,***,Triglycerides to Total-Lipids in Small LDL percentage
M-HDL-PL%,1.06 [1.05-1.08],6.919e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
VLDL-size,1.06 [1.04-1.07],9.202e-09,***,Average Diameter for VLDL Particles
S-HDL-TG,1.06 [1.04-1.07],3.308e-10,***,Triglycerides in Small HDL
XL-VLDL-TG,1.06 [1.04-1.07],6.229e-10,***,Triglycerides in Very Large VLDL
VLDL-TG,1.05 [1.04-1.07],6.187e-08,***,Triglycerides in VLDL
S-VLDL-TG,1.05 [1.04-1.07],1.922e-08,***,Triglycerides in Small VLDL
Total-TG,1.05 [1.04-1.07],8.809e-08,***,Total-Triglycerides
L-HDL-TG%,1.05 [1.04-1.07],4.928e-07,***,Triglycerides to Total-Lipids in Large HDL percentage
