Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.16 [1.12-1.21],7.128e-11,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-TG%,1.14 [1.10-1.19],2.165e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG%,1.14 [1.09-1.18],2.334e-05,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.13 [1.09-1.18],1.664e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
MUFA%,1.12 [1.08-1.17],8.843e-04,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,1.12 [1.08-1.17],0.004,**,Average Diameter for VLDL Particles
GlycA,1.12 [1.08-1.16],0.003,**,Glycoprotein Acetyls
XL-HDL-TG%,1.12 [1.08-1.16],0.003,**,Triglycerides to Total-Lipids in Very Large HDL percentage
S-VLDL-TG%,1.11 [1.07-1.16],0.006,**,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-FC%,0.91 [0.88-0.94],0.010,**,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-FC%,0.91 [0.87-0.94],0.019,*,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-CE%,0.91 [0.88-0.94],0.003,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-PL%,0.91 [0.87-0.94],0.032,*,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-FC%,0.90 [0.87-0.94],0.006,**,Free Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-C%,0.90 [0.87-0.93],6.344e-04,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-PL%,0.90 [0.87-0.93],8.278e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-CE%,0.90 [0.87-0.93],3.226e-04,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
PUFA%,0.90 [0.86-0.93],6.943e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-C%,0.90 [0.86-0.93],1.976e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-LDL-FC%,0.89 [0.86-0.92],7.366e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-FC%,0.89 [0.86-0.92],4.426e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.89 [0.86-0.92],6.825e-07,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,0.89 [0.86-0.92],9.691e-06,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-C%,0.89 [0.85-0.92],1.215e-04,***,Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-CE%,0.89 [0.86-0.92],5.582e-06,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA/MUFA,0.89 [0.85-0.92],1.463e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-C%,0.88 [0.85-0.91],6.448e-07,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-L,0.88 [0.84-0.92],0.025,*,Total-Lipids in Very Large HDL
XL-HDL-CE,0.88 [0.84-0.92],0.021,*,Cholesteryl Esters in Very Large HDL
XL-HDL-FC,0.88 [0.84-0.92],9.391e-04,***,Free Cholesterol in Very Large HDL
XL-HDL-C,0.88 [0.84-0.92],0.006,**,Cholesterol in Very Large HDL
Omega-6%,0.88 [0.85-0.91],7.534e-08,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-FC%,0.87 [0.84-0.91],1.533e-05,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,0.87 [0.84-0.91],7.883e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-CE%,0.87 [0.84-0.90],6.378e-07,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.86 [0.83-0.90],2.036e-07,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
LA%,0.85 [0.82-0.88],5.809e-14,***,Linoleic Acid to Total-Fatty Acids percentage
